miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	250559	26530.898572	N
hsa-let-7a-2	240884	25506.443478	Y
hsa-let-7a-3	242624	25690.686565	N
hsa-let-7b	97624	10337.096022	N
hsa-let-7c	32275	3417.497481	Y
hsa-let-7d	37198	3938.778352	N
hsa-let-7e	25459	2695.772839	N
hsa-let-7f-1	155502	16465.614046	N
hsa-let-7f-2	166858	17668.064902	N
hsa-let-7g	159719	16912.138813	N
hsa-let-7i	86681	9178.376427	N
hsa-mir-1-1	768	81.321086	N
hsa-mir-1-2	856	90.639128	N
hsa-mir-100	58939	6240.863952	Y
hsa-mir-101-1	6984	739.513630	N
hsa-mir-101-2	7557	800.186784	N
hsa-mir-103a-1	56559	5988.853293	Y
hsa-mir-103a-2	58653	6210.580318	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	206	21.812687	Y
hsa-mir-106b	6798	719.818679	N
hsa-mir-107	5748	608.637506	Y
hsa-mir-10a	115407	12220.081543	N
hsa-mir-10b	10049	1064.056768	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	16	1.694189	N
hsa-mir-1180	335	35.472088	N
hsa-mir-1181	2	0.211774	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.164755	N
hsa-mir-1185-2	5	0.529434	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.741208	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	9	0.952981	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.105887	N
hsa-mir-1226	29	3.070718	N
hsa-mir-1227	1	0.105887	N
hsa-mir-1228	10	1.058868	N
hsa-mir-1229	2	0.211774	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.529434	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	40	4.235473	N
hsa-mir-1245b	6	0.635321	N
hsa-mir-1246	5	0.529434	N
hsa-mir-1247	458	48.496169	N
hsa-mir-1248	120	12.706420	N
hsa-mir-1249	280	29.648313	N
hsa-mir-1250	2	0.211774	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.800076	N
hsa-mir-1254-2	8	0.847095	N
hsa-mir-1255a	2	0.211774	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.105887	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	146901	15554.881409	N
hsa-mir-125b-1	60498	6405.941522	N
hsa-mir-125b-2	60312	6386.246571	N
hsa-mir-126	34766	3681.261578	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	11	1.164755	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	22	2.329510	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.317660	N
