miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	443271	32046.509156	N
hsa-let-7a-2	429041	31017.743852	Y
hsa-let-7a-3	429407	31044.204014	N
hsa-let-7b	119623	8648.207451	N
hsa-let-7c	33369	2412.429336	Y
hsa-let-7d	78851	5700.574352	N
hsa-let-7e	32504	2349.893708	N
hsa-let-7f-1	402409	29092.369460	N
hsa-let-7f-2	424890	30717.645132	N
hsa-let-7g	339919	24574.622175	N
hsa-let-7i	82829	5988.165946	N
hsa-mir-1-1	5443	393.504536	N
hsa-mir-1-2	5596	404.565752	N
hsa-mir-100	79036	5713.949024	Y
hsa-mir-101-1	24791	1792.278332	N
hsa-mir-101-2	26488	1914.963836	N
hsa-mir-103a-1	107842	7796.493884	Y
hsa-mir-103a-2	113759	8224.266499	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	836	60.439058	Y
hsa-mir-106b	17893	1293.583808	N
hsa-mir-107	16208	1171.765851	Y
hsa-mir-10a	137282	9924.874106	N
hsa-mir-10b	8277	598.390051	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	23	1.662797	N
hsa-mir-1180	867	62.680219	N
hsa-mir-1181	2	0.144591	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.433773	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	16	1.156728	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.289182	N
hsa-mir-1226	23	1.662797	N
hsa-mir-1227	2	0.144591	N
hsa-mir-1228	4	0.289182	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.433773	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.144591	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.072296	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.072296	N
hsa-mir-1243	3	0.216887	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	1.012137	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	262	18.941427	N
hsa-mir-1248	8	0.578364	N
hsa-mir-1249	88	6.362006	N
hsa-mir-1250	21	1.518206	N
hsa-mir-1251	1	0.072296	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.289182	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	37	2.674934	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.578364	N
hsa-mir-125a	279663	20218.383089	N
hsa-mir-125b-1	48140	3480.306519	N
hsa-mir-125b-2	48686	3519.779875	N
hsa-mir-126	286859	20738.621679	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	0.939842	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.156728	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.144591	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	369	26.677048	N
hsa-mir-1270	16	1.156728	N
hsa-mir-1271	612	44.244861	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.072296	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	8	0.578364	N
hsa-mir-1275	6	0.433773	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.072296	N
hsa-mir-1278	11	0.795251	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4432	320.413762	N
hsa-mir-128-2	3151	227.803196	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	18	1.301319	N
hsa-mir-1283-2	26	1.879684	N
hsa-mir-1284	16	1.156728	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	88	6.362006	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.216887	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.361478	N
hsa-mir-129-2	6	0.433773	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	23	1.662797	N
hsa-mir-1292	25	1.807388	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	12	0.867546	N
hsa-mir-1295a	41	2.964116	N
hsa-mir-1295b	6	0.433773	N
hsa-mir-1296	204	14.748287	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	12	0.867546	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	732	52.920323	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.361478	N
hsa-mir-1304	56	4.048549	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	50	3.614776	N
hsa-mir-1307	1445	104.467032	N
hsa-mir-130a	1401	101.286029	N
hsa-mir-130b	666	48.148819	N
hsa-mir-132	1319	95.357796	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	31	2.241161	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	964	69.692885	Y
hsa-mir-133a-2	977	70.632727	Y
hsa-mir-133b	21	1.518206	Y
hsa-mir-134	38	2.747230	N
hsa-mir-1343	9	0.650660	N
hsa-mir-135a-1	1402	101.358324	N
hsa-mir-135a-2	1600	115.672838	N
hsa-mir-135b	1269	91.743020	N
hsa-mir-136	68	4.916096	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	581	42.003699	N
hsa-mir-138-2	193	13.953036	N
hsa-mir-139	5063	366.032237	N
hsa-mir-140	49098	3549.565630	N
hsa-mir-141	740	53.498688	N
hsa-mir-142	6750	487.994786	N
hsa-mir-143	581163	42015.483532	N
hsa-mir-144	11885	859.232301	N
hsa-mir-145	89079	6440.012970	N
hsa-mir-1468	111	8.024803	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	12806	925.816479	N
hsa-mir-146b	117842	8519.449123	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.072296	N
hsa-mir-148a	10605	766.694031	N
hsa-mir-148b	3588	259.396340	N
hsa-mir-149	641	46.341431	N
hsa-mir-150	16794	1214.131028	N
hsa-mir-151a	42030	3038.580868	N
hsa-mir-151b	371	26.821639	N
hsa-mir-152	1209	87.405288	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	27	1.951979	N
hsa-mir-155	6460	467.029084	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2851	206.114539	N
hsa-mir-15b	34751	2512.341750	N
hsa-mir-16-1	68498	4952.098793	N
