miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	92186	9488.841250	N
hsa-let-7a-2	89306	9192.398593	N
hsa-let-7a-3	89572	9219.778366	N
hsa-let-7b	31594	3252.017122	N
hsa-let-7c	5895	606.781064	N
hsa-let-7d	33499	3448.101588	N
hsa-let-7e	11306	1163.743293	N
hsa-let-7f-1	160811	16552.513942	N
hsa-let-7f-2	171462	17648.837116	N
hsa-let-7g	141807	14596.404130	N
hsa-let-7i	63609	6547.368397	N
hsa-mir-1-1	1112	114.459804	N
hsa-mir-1-2	1273	131.031772	N
hsa-mir-100	32974	3394.062562	Y
hsa-mir-101-1	10459	1076.560331	N
hsa-mir-101-2	11382	1171.566085	N
hsa-mir-103a-1	83013	8544.650800	Y
hsa-mir-103a-2	85775	8828.947543	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.102931	N
hsa-mir-105-2	1	0.102931	N
hsa-mir-106a	393	40.452071	Y
hsa-mir-106b	20474	2107.419085	N
hsa-mir-107	7764	799.159997	Y
hsa-mir-10a	162644	16741.187341	N
hsa-mir-10b	5649	581.459920	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.102931	N
hsa-mir-1180	934	96.138001	N
hsa-mir-1181	4	0.411726	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	3	0.308794	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.102931	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.102931	N
hsa-mir-1226	60	6.175889	N
hsa-mir-1227	3	0.308794	N
hsa-mir-1228	18	1.852767	N
hsa-mir-1229	17	1.749835	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.514657	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.205863	N
hsa-mir-1238	4	0.411726	N
hsa-mir-124-1	1	0.102931	N
hsa-mir-124-2	1	0.102931	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.617589	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.102931	N
hsa-mir-1247	91	9.366765	N
hsa-mir-1248	31	3.190876	N
hsa-mir-1249	79	8.131587	N
hsa-mir-1250	11	1.132246	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.102931	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	21	2.161561	N
hsa-mir-1254-2	15	1.543972	N
hsa-mir-1255a	71	7.308135	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	12	1.235178	N
hsa-mir-1257	1	0.102931	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	81218	8359.888797	N
hsa-mir-125b-1	21699	2233.510146	N
hsa-mir-125b-2	21523	2215.394205	N
hsa-mir-126	21646	2228.054777	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	24	2.470355	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	77	7.925724	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	39	4.014328	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	0.617589	N
hsa-mir-1269b	9	0.926383	N
hsa-mir-127	1142	117.547748	N
hsa-mir-1270	212	21.821473	N
hsa-mir-1271	176	18.115940	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.308794	N
hsa-mir-1276	10	1.029315	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	15	1.543972	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6182	636.322398	N
hsa-mir-128-2	4103	422.327855	N
hsa-mir-1281	1	0.102931	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	2	0.205863	N
hsa-mir-1284	17	1.749835	N
hsa-mir-1285-1	1	0.102931	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.308794	N
hsa-mir-1287	185	19.042323	N
hsa-mir-1288	3	0.308794	N
hsa-mir-1289-1	3	0.308794	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.205863	N
hsa-mir-129-2	5	0.514657	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	31	3.190876	N
hsa-mir-1292	49	5.043642	N
hsa-mir-1293	2	0.205863	N
hsa-mir-1294	13	1.338109	N
hsa-mir-1295a	12	1.235178	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	246	25.321144	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.205863	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2111	217.288350	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.720520	N
hsa-mir-1304	66	6.793478	N
hsa-mir-1305	3	0.308794	N
hsa-mir-1306	210	21.615610	N
hsa-mir-1307	1929	198.554821	N
hsa-mir-130a	163	16.777831	N
hsa-mir-130b	3611	371.685568	N
hsa-mir-132	3556	366.024337	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	7	0.720520	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	183	18.836461	Y
hsa-mir-133a-2	176	18.115940	Y
hsa-mir-133b	8	0.823452	Y
hsa-mir-134	60	6.175889	N
hsa-mir-1343	31	3.190876	N
hsa-mir-135a-1	45	4.631917	N
hsa-mir-135a-2	58	5.970026	N
hsa-mir-135b	9473	975.069893	N
hsa-mir-136	125	12.866435	N
hsa-mir-137	5	0.514657	N
hsa-mir-138-1	31	3.190876	N
hsa-mir-138-2	15	1.543972	N
hsa-mir-139	430	44.260536	N
hsa-mir-140	17233	1773.818164	N
