miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	161243	19801.468307	N
hsa-let-7a-2	157335	19321.545842	N
hsa-let-7a-3	157968	19399.281492	N
hsa-let-7b	42713	5245.375711	N
hsa-let-7c	19763	2426.997874	N
hsa-let-7d	27295	3351.966147	N
hsa-let-7e	11036	1355.277465	N
hsa-let-7f-1	206610	25372.768846	N
hsa-let-7f-2	220046	27022.778633	N
hsa-let-7g	285334	35040.480256	N
hsa-let-7i	96109	11802.678675	N
hsa-mir-1-1	2088	256.417121	N
hsa-mir-1-2	2064	253.469798	N
hsa-mir-100	84084	10325.946932	Y
hsa-mir-101-1	29332	3602.120206	N
hsa-mir-101-2	30544	3750.960029	N
hsa-mir-103a-1	50751	6232.483383	Y
hsa-mir-103a-2	52977	6505.847612	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	343	42.122161	Y
hsa-mir-106b	12220	1500.678744	N
hsa-mir-107	6363	781.409071	Y
hsa-mir-10a	66318	8144.190912	N
hsa-mir-10b	22002	2701.958570	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.614026	N
hsa-mir-1180	405	49.736079	N
hsa-mir-1181	5	0.614026	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.105246	N
hsa-mir-1185-2	2	0.245610	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.614026	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	3.438544	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	32	3.929764	N
hsa-mir-1229	2	0.245610	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.245610	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.122805	N
hsa-mir-124-2	7	0.859636	N
hsa-mir-124-3	4	0.491221	N
hsa-mir-1243	1	0.122805	N
hsa-mir-1244-1	1	0.122805	N
hsa-mir-1244-2	1	0.122805	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.982441	N
hsa-mir-1245b	4	0.491221	N
hsa-mir-1246	3	0.368415	N
hsa-mir-1247	94	11.543683	N
hsa-mir-1248	107	13.140149	N
hsa-mir-1249	120	14.736616	N
hsa-mir-1250	7	0.859636	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.122805	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.368415	N
hsa-mir-1254-2	4	0.491221	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.245610	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	99532	12223.040650	N
hsa-mir-125b-1	43259	5312.427315	N
hsa-mir-125b-2	43573	5350.988127	N
hsa-mir-126	53221	6535.812065	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	2.210492	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.245610	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.122805	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	73	8.964775	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1688	207.295067	N
hsa-mir-1270	29	3.561349	N
hsa-mir-1271	461	56.613167	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.368415	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	7	0.859636	N
hsa-mir-1275	2	0.245610	N
hsa-mir-1276	3	0.368415	N
hsa-mir-1277	7	0.859636	N
hsa-mir-1278	11	1.350856	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3318	407.467436	N
hsa-mir-128-2	2151	264.153844	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.122805	N
hsa-mir-1284	16	1.964882	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.122805	N
hsa-mir-1287	57	6.999893	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	19	2.333298	N
hsa-mir-129-2	8	0.982441	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	32	3.929764	N
hsa-mir-1292	28	3.438544	N
hsa-mir-1293	20	2.456103	N
hsa-mir-1294	6	0.736831	N
hsa-mir-1295a	39	4.789400	N
hsa-mir-1295b	2	0.245610	N
hsa-mir-1296	148	18.175160	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	16	1.964882	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	731	89.770553	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.614026	N
hsa-mir-1304	25	3.070128	N
hsa-mir-1305	1	0.122805	N
hsa-mir-1306	48	5.894646	N
hsa-mir-1307	1106	135.822479	N
hsa-mir-130a	520	63.858670	N
hsa-mir-130b	1145	140.611879	N
hsa-mir-132	1970	241.926115	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	247	30.332868	Y
hsa-mir-133a-2	266	32.666166	Y
hsa-mir-133b	11	1.350856	Y
hsa-mir-134	77	9.455995	N
hsa-mir-1343	28	3.438544	N
hsa-mir-135a-1	39	4.789400	N
hsa-mir-135a-2	45	5.526231	N
hsa-mir-135b	4316	530.026961	N
hsa-mir-136	280	34.385438	N
hsa-mir-137	11	1.350856	N
hsa-mir-138-1	328	40.280084	N
hsa-mir-138-2	97	11.912098	N
hsa-mir-139	1527	187.523440	N
hsa-mir-140	28543	3505.226955	N
hsa-mir-141	863	105.980831	N
hsa-mir-142	28465	3495.648154	N
hsa-mir-143	195338	23988.509369	N
hsa-mir-144	1450	178.067445	N
hsa-mir-145	23647	2903.973016	N
hsa-mir-1468	63	7.736723	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	25105	3083.022902	N
hsa-mir-146b	117425	14420.392922	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	27	3.315739	N
hsa-mir-148a	208713	25631.028044	N
hsa-mir-148b	4696	576.692912	N
hsa-mir-149	941	115.559632	N
hsa-mir-150	42866	5264.164897	N
hsa-mir-151a	13601	1670.272635	N
hsa-mir-151b	135	16.578693	N
hsa-mir-152	2084	255.925900	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	6	0.736831	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	184	22.596145	N
hsa-mir-155	33820	4153.269650	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1664	204.347744	N
hsa-mir-15b	15907	1953.461275	N
hsa-mir-16-1	26533	3258.388635	N
hsa-mir-16-2	29932	3675.803287	N
hsa-mir-17	2463	302.469046	Y
hsa-mir-181a-1	29090	3572.401364	N
hsa-mir-181a-2	29500	3622.751469	N
hsa-mir-181b-1	7016	861.600824	N
hsa-mir-181b-2	8472	1040.405100	N
hsa-mir-181c	480	58.946465	N
hsa-mir-181d	183	22.473340	N
hsa-mir-182	14791	1816.410745	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	8199	1006.879298	N
hsa-mir-184	19	2.333298	N
hsa-mir-185	4706	577.920963	N
hsa-mir-186	14934	1833.971879	N
hsa-mir-187	42	5.157816	N
hsa-mir-188	45	5.526231	N
hsa-mir-18a	352	43.227407	N
hsa-mir-18b	7	0.859636	N
hsa-mir-1908	1	0.122805	N
hsa-mir-1909	1	0.122805	N
hsa-mir-190a	92	11.298072	N
hsa-mir-190b	165	20.262847	N
hsa-mir-191	68816	8450.958138	N
hsa-mir-1910	1	0.122805	N
hsa-mir-1911	8	0.982441	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.122805	N
hsa-mir-1914	3	0.368415	N
hsa-mir-1915	0	0.000000	N
