miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	238991	16313.511352	N
hsa-let-7a-2	232995	15904.224751	Y
hsa-let-7a-3	233071	15909.412506	N
hsa-let-7b	79355	5416.767549	N
hsa-let-7c	41259	2816.336870	Y
hsa-let-7d	28218	1926.158991	N
hsa-let-7e	19442	1327.109756	N
hsa-let-7f-1	247424	16889.147427	N
hsa-let-7f-2	261147	17825.878586	N
hsa-let-7g	336473	22967.626836	N
hsa-let-7i	90821	6199.436023	N
hsa-mir-1-1	11819	806.764232	N
hsa-mir-1-2	12416	847.515417	N
hsa-mir-100	113893	7774.329361	Y
hsa-mir-101-1	45954	3136.817289	N
hsa-mir-101-2	48523	3312.177075	N
hsa-mir-103a-1	63930	4363.857973	Y
hsa-mir-103a-2	65865	4495.940957	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	623	42.525943	Y
hsa-mir-106b	11038	753.453219	N
hsa-mir-107	6032	411.743959	Y
hsa-mir-10a	531036	36248.485568	N
hsa-mir-10b	1210256	82612.002104	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	1.023899	N
hsa-mir-1180	807	55.085772	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	60	4.095596	N
hsa-mir-1185-2	26	1.774758	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	11	0.750859	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14	0.955639	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.136520	N
hsa-mir-1226	31	2.116058	N
hsa-mir-1227	2	0.136520	N
hsa-mir-1228	8	0.546080	N
hsa-mir-1229	8	0.546080	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.341300	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	72	4.914716	N
hsa-mir-124-2	81	5.529055	N
hsa-mir-124-3	82	5.597315	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.273040	N
hsa-mir-1245b	3	0.204780	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	216	14.744147	N
hsa-mir-1248	21	1.433459	N
hsa-mir-1249	166	11.331150	N
hsa-mir-1250	11	0.750859	N
hsa-mir-1251	9	0.614339	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.477820	N
hsa-mir-1254-2	8	0.546080	N
hsa-mir-1255a	4	0.273040	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	433741	29607.134693	N
hsa-mir-125b-1	188684	12879.558544	N
hsa-mir-125b-2	189740	12951.641041	N
hsa-mir-126	103521	7066.337262	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.092159	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.204780	N
hsa-mir-1263	57	3.890817	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.068260	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	171	11.672450	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5036	343.757059	N
hsa-mir-1270	54	3.686037	N
hsa-mir-1271	1837	125.393510	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.273040	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.273040	N
hsa-mir-1275	5	0.341300	N
hsa-mir-1276	3	0.204780	N
hsa-mir-1277	1	0.068260	N
hsa-mir-1278	15	1.023899	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4887	333.586327	N
hsa-mir-128-2	3241	221.230466	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	16	1.092159	N
hsa-mir-1285-1	1	0.068260	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	95	6.484694	N
hsa-mir-1288	2	0.136520	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	224	15.290227	N
hsa-mir-129-2	184	12.559829	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	57	3.890817	N
hsa-mir-1292	31	2.116058	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.477820	N
hsa-mir-1295a	32	2.184318	N
hsa-mir-1295b	9	0.614339	N
hsa-mir-1296	799	54.539692	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.068260	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	993	67.782121	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	13	0.887379	N
hsa-mir-1304	15	1.023899	N
hsa-mir-1305	3	0.204780	N
hsa-mir-1306	176	12.013749	N
hsa-mir-1307	1223	83.481907	N
hsa-mir-130a	1284	87.645763	N
hsa-mir-130b	751	51.263215	N
hsa-mir-132	5082	346.897016	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.068260	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2215	151.195767	Y
hsa-mir-133a-2	2116	144.438033	Y
hsa-mir-133b	37	2.525618	Y
hsa-mir-134	293	20.000162	N
hsa-mir-1343	56	3.822557	N
hsa-mir-135a-1	4839	330.309850	N
hsa-mir-135a-2	5189	354.200829	N
hsa-mir-135b	10609	724.169705	N
hsa-mir-136	786	53.652313	N
hsa-mir-137	8	0.546080	N
hsa-mir-138-1	241	16.450646	N
hsa-mir-138-2	98	6.689474	N
hsa-mir-139	5550	378.842668	N
hsa-mir-140	80276	5479.634954	N
hsa-mir-141	329	22.457520	N
hsa-mir-142	14804	1010.520154	N
hsa-mir-143	985240	67252.423416	N
hsa-mir-144	776	52.969714	N
hsa-mir-145	111512	7611.802444	N
hsa-mir-1468	145	9.897691	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	19464	1328.611475	N
hsa-mir-146b	107332	7326.475894	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	26	1.774758	N
hsa-mir-148a	29887	2040.084831	N
hsa-mir-148b	7218	492.700248	N
hsa-mir-149	1465	100.000812	N
hsa-mir-150	31802	2170.802616	N
hsa-mir-151a	32075	2189.437580	N
hsa-mir-151b	308	21.024062	N
hsa-mir-152	5721	390.515117	N
hsa-mir-153-1	2	0.136520	N
hsa-mir-153-2	2	0.136520	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	10	0.682599	N
hsa-mir-1539	1	0.068260	N
hsa-mir-154	339	23.140120	N
hsa-mir-155	4942	337.340624	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1531	104.505968	N
hsa-mir-15b	10736	732.838717	N
hsa-mir-16-1	32389	2210.871201	N
hsa-mir-16-2	34017	2321.998383	N
hsa-mir-17	2652	181.025361	Y
