miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	349992	33913.253535	N
hsa-let-7a-2	337424	32695.449212	Y
hsa-let-7a-3	337565	32709.111721	N
hsa-let-7b	84362	8174.443686	N
hsa-let-7c	36351	3522.311022	Y
hsa-let-7d	68150	6603.545876	N
hsa-let-7e	15621	1513.631550	N
hsa-let-7f-1	306394	29688.728324	N
hsa-let-7f-2	325388	31529.194213	N
hsa-let-7g	277773	26915.432850	N
hsa-let-7i	75922	7356.631108	N
hsa-mir-1-1	5252	508.904225	N
hsa-mir-1-2	5575	540.202029	N
hsa-mir-100	92696	8981.985159	Y
hsa-mir-101-1	27294	2644.712856	N
hsa-mir-101-2	29791	2886.665227	N
hsa-mir-103a-1	99544	9645.537355	Y
hsa-mir-103a-2	103320	10011.421276	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.290692	N
hsa-mir-105-2	3	0.290692	N
hsa-mir-106a	508	49.223790	Y
hsa-mir-106b	13090	1268.384674	N
hsa-mir-107	11306	1095.520025	Y
hsa-mir-10a	132711	12859.327613	N
hsa-mir-10b	11848	1148.038321	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.387589	N
hsa-mir-1180	598	57.944540	N
hsa-mir-1181	1	0.096897	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.968972	N
hsa-mir-1185-2	1	0.096897	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.096897	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
