miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	200694	38839.787762	N
hsa-let-7a-2	193026	37355.819669	Y
hsa-let-7a-3	193148	37379.430011	N
hsa-let-7b	69827	13513.437672	N
hsa-let-7c	20459	3959.377051	Y
hsa-let-7d	34215	6621.539948	N
hsa-let-7e	13048	2525.145499	N
hsa-let-7f-1	138399	26783.998458	N
hsa-let-7f-2	146720	28394.339943	N
hsa-let-7g	141866	27454.957949	N
hsa-let-7i	35467	6863.836251	N
hsa-mir-1-1	3145	608.643669	N
hsa-mir-1-2	3364	651.026169	N
hsa-mir-100	56662	10965.649467	Y
hsa-mir-101-1	12070	2335.875703	N
hsa-mir-101-2	13053	2526.113136	N
hsa-mir-103a-1	43342	8387.864516	Y
hsa-mir-103a-2	45280	8762.920615	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	393	76.056268	Y
hsa-mir-106b	8625	1669.173814	N
hsa-mir-107	6613	1279.796688	Y
hsa-mir-10a	70539	13651.229180	N
hsa-mir-10b	5330	1031.501035	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	1.161164	N
hsa-mir-1180	288	55.735891	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	62	11.998699	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	3.096438	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.967637	N
hsa-mir-1229	6	1.161164	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.387055	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.193527	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	122	23.610343	N
hsa-mir-1248	9	1.741747	N
hsa-mir-1249	33	6.386404	N
hsa-mir-1250	11	2.128801	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.967637	N
hsa-mir-1254-2	4	0.774110	N
hsa-mir-1255a	9	1.741747	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.193527	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.967637	N
hsa-mir-125a	103285	19988.477379	N
hsa-mir-125b-1	35073	6787.586456	N
hsa-mir-125b-2	35064	6785.844709	N
hsa-mir-126	93395	18074.491405	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	1.935274	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.774110	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.193527	N
hsa-mir-1266	2	0.387055	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	392	75.862740	N
hsa-mir-1270	29	5.612295	N
hsa-mir-1271	271	52.445925	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.193527	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	4	0.774110	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1561	302.096269	N
hsa-mir-128-2	1023	197.978529	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	10	1.935274	N
hsa-mir-1283-2	9	1.741747	N
hsa-mir-1284	11	2.128801	N
hsa-mir-1285-1	1	0.193527	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	33	6.386404	N
hsa-mir-1288	1	0.193527	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.580582	N
hsa-mir-129-2	11	2.128801	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	1.935274	N
hsa-mir-1292	34	6.579932	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	18	3.483493	N
hsa-mir-1295a	15	2.902911	N
hsa-mir-1295b	2	0.387055	N
hsa-mir-1296	114	22.062123	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.387055	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	309	59.799966	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	18	3.483493	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	19	3.677021	N
hsa-mir-1307	737	142.629693	N
hsa-mir-130a	571	110.504145	N
hsa-mir-130b	309	59.799966	N
hsa-mir-132	638	123.470480	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	10	1.935274	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	839	162.369488	Y
hsa-mir-133a-2	861	166.627090	Y
hsa-mir-133b	16	3.096438	Y
hsa-mir-134	28	5.418767	N
hsa-mir-1343	9	1.741747	N
hsa-mir-135a-1	268	51.865343	N
hsa-mir-135a-2	375	72.572775	N
hsa-mir-135b	542	104.891850	N
hsa-mir-136	65	12.579281	N
hsa-mir-137	2	0.387055	N
hsa-mir-138-1	139	26.900308	N
hsa-mir-138-2	48	9.289315	N
hsa-mir-139	2060	398.666441	N
hsa-mir-140	29772	5761.697715	N
hsa-mir-141	334	64.638151	N
hsa-mir-142	3388	655.670827	N
hsa-mir-143	204360	39549.259206	N
hsa-mir-144	4005	775.077232	N
hsa-mir-145	48705	9425.751956	N
hsa-mir-1468	59	11.418117	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6466	1251.348160	N
hsa-mir-146b	53706	10393.582477	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.967637	N
hsa-mir-148a	10410	2014.620221	N
hsa-mir-148b	2048	396.344113	N
hsa-mir-149	394	76.249795	N
hsa-mir-150	8383	1622.340184	N
hsa-mir-151a	12485	2416.189573	N
hsa-mir-151b	110	21.288014	N
hsa-mir-152	881	170.497638	N
hsa-mir-153-1	1	0.193527	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.193527	N
hsa-mir-1538	3	0.580582	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	28	5.418767	N
hsa-mir-155	4249	822.297917	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1573	304.418598	N
hsa-mir-15b	19950	3860.871605	N
hsa-mir-16-1	26607	5149.183498	N
hsa-mir-16-2	29837	5774.276996	N
hsa-mir-17	1552	300.354523	Y
hsa-mir-181a-1	28124	5442.764562	N
hsa-mir-181a-2	28852	5583.652508	N
hsa-mir-181b-1	4535	877.646753	N
hsa-mir-181b-2	5376	1040.403296	N
hsa-mir-181c	408	78.959179	N
hsa-mir-181d	154	29.803219	N
hsa-mir-182	6690	1294.698298	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3704	716.825485	N
hsa-mir-184	82	15.869247	N
hsa-mir-185	4609	891.967781	N
hsa-mir-186	7164	1386.430285	N
hsa-mir-187	29	5.612295	N
hsa-mir-188	9	1.741747	N
hsa-mir-18a	220	42.576028	N
hsa-mir-18b	13	2.515856	N
hsa-mir-1908	1	0.193527	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	48	9.289315	N
hsa-mir-190b	41	7.934623	N
hsa-mir-191	38848	7518.152386	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.193527	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.193527	N
hsa-mir-1914	1	0.193527	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	804	155.596029	N
hsa-mir-193a	1316	254.682057	N
hsa-mir-193b	842	162.950070	N
hsa-mir-194-1	149	28.835582	N
hsa-mir-194-2	486	94.054316	N
hsa-mir-195	8636	1671.302616	N
hsa-mir-196a-1	3	0.580582	N
hsa-mir-196a-2	18	3.483493	N
hsa-mir-196b	45	8.708733	N
hsa-mir-197	2173	420.535037	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	17	3.289966	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	15412	2982.644269	Y
hsa-mir-199a-2	27720	5364.579493	Y
hsa-mir-199b	45738	8851.556163	Y
hsa-mir-19a	175	33.867295	N
hsa-mir-19b-1	729	141.081474	N
hsa-mir-19b-2	770	149.016097	N
hsa-mir-200a	4417	854.810520	N
hsa-mir-200b	19399	3754.238008	N
hsa-mir-200c	32191	6229.840493	N
hsa-mir-202	1	0.193527	N
hsa-mir-203a	4538	878.227335	N
hsa-mir-203b	29	5.612295	N
hsa-mir-204	421	81.475035	N
hsa-mir-205	1346	260.487879	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	12	2.322329	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4472	865.454527	N
hsa-mir-20b	401	77.604487	N
hsa-mir-21	160088	30981.414209	N
hsa-mir-210	98	18.965685	N
hsa-mir-211	9	1.741747	N
hsa-mir-2110	193	37.350788	N
