miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	142659	13124.763500	N
hsa-let-7a-2	137900	12686.930980	Y
hsa-let-7a-3	138632	12754.275675	N
hsa-let-7b	80459	7402.304421	N
hsa-let-7c	25214	2319.711949	Y
hsa-let-7d	19592	1802.482609	N
hsa-let-7e	9577	881.093096	N
hsa-let-7f-1	193843	17833.740116	N
hsa-let-7f-2	210494	19365.647931	N
hsa-let-7g	214997	19779.928208	N
hsa-let-7i	30837	2837.033290	N
hsa-mir-1-1	3374	310.411205	N
hsa-mir-1-2	3578	329.179398	N
hsa-mir-100	74085	6815.890367	Y
hsa-mir-101-1	35297	3247.357526	N
hsa-mir-101-2	37310	3432.555438	N
hsa-mir-103a-1	62046	5708.290932	Y
hsa-mir-103a-2	64903	5971.137646	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.460005	N
hsa-mir-105-2	6	0.552006	N
hsa-mir-106a	1321	121.533255	Y
hsa-mir-106b	6553	602.882224	N
hsa-mir-107	18970	1745.258018	Y
hsa-mir-10a	405149	37274.092818	N
hsa-mir-10b	1332321	122574.797462	N
hsa-mir-1178	3	0.276003	N
hsa-mir-1179	7	0.644007	N
hsa-mir-1180	667	61.364634	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	29	2.668028	N
hsa-mir-1185-2	11	1.012010	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	25	2.300024	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.552006	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	66	6.072063	N
hsa-mir-1227	1	0.092001	N
hsa-mir-1228	4	0.368004	N
hsa-mir-1229	25	2.300024	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.368004	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	114	10.488108	N
hsa-mir-124-2	116	10.672110	N
hsa-mir-124-3	113	10.396107	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	155	14.260147	N
hsa-mir-1248	35	3.220033	N
hsa-mir-1249	77	7.084073	N
hsa-mir-1250	4	0.368004	N
hsa-mir-1251	17	1.564016	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	1.012010	N
hsa-mir-1254-2	15	1.380014	N
hsa-mir-1255a	5	0.460005	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.276003	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	291587	26826.280955	N
hsa-mir-125b-1	78387	7211.678453	N
hsa-mir-125b-2	79360	7301.195378	N
hsa-mir-126	86348	7944.098015	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	17	1.564016	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.828009	N
hsa-mir-1263	54	4.968051	N
hsa-mir-1264	0	0.000000	N
