miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	126757	15997.339603	N
hsa-let-7a-2	120065	15152.777199	Y
hsa-let-7a-3	119675	15103.557334	N
hsa-let-7b	73235	9242.607239	N
hsa-let-7c	29132	3676.597721	Y
hsa-let-7d	19317	2437.897782	N
hsa-let-7e	11237	1418.163140	N
hsa-let-7f-1	161453	20376.140733	N
hsa-let-7f-2	177591	22412.833512	N
hsa-let-7g	185595	23422.976590	N
hsa-let-7i	27903	3521.492043	N
hsa-mir-1-1	2781	350.975500	N
hsa-mir-1-2	2868	361.955316	N
hsa-mir-100	54352	6859.482333	Y
hsa-mir-101-1	23844	3009.226832	N
hsa-mir-101-2	25663	3238.793331	N
hsa-mir-103a-1	53316	6728.734179	Y
hsa-mir-103a-2	55227	6969.911518	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1158	146.145138	Y
hsa-mir-106b	4491	566.785678	N
hsa-mir-107	12375	1561.784182	Y
hsa-mir-10a	290740	36692.778436	N
hsa-mir-10b	706052	89107.139026	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.757229	N
hsa-mir-1180	1195	150.814715	N
hsa-mir-1181	7	0.883433	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.640662	N
hsa-mir-1185-2	2	0.252410	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.504819	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	17	2.145481	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	33	4.164758	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.514457	N
hsa-mir-1229	9	1.135843	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.252410	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	40	5.048191	N
hsa-mir-124-2	48	6.057830	N
hsa-mir-124-3	34	4.290963	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.252410	N
hsa-mir-1245b	2	0.252410	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	170	21.454813	N
hsa-mir-1248	16	2.019277	N
hsa-mir-1249	64	8.077106	N
hsa-mir-1250	11	1.388253	N
hsa-mir-1251	8	1.009638	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.757229	N
hsa-mir-1254-2	10	1.262048	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.378614	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	189899	23966.161974	N
hsa-mir-125b-1	57675	7278.860825	N
hsa-mir-125b-2	58082	7330.226172	N
hsa-mir-126	48590	6132.290377	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.135843	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.135843	N
hsa-mir-1263	21	2.650300	N
hsa-mir-1264	2	0.252410	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.757229	N
hsa-mir-1267	1	0.126205	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	85	10.727407	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2046	258.214985	N
hsa-mir-1270	143	18.047284	N
hsa-mir-1271	438	55.277695	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.126205	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.126205	N
hsa-mir-1277	2	0.252410	N
hsa-mir-1278	2	0.252410	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5387	679.865163	N
hsa-mir-128-2	3030	382.400491	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
