miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	123962	17273.154167	N
hsa-let-7a-2	118157	16464.271929	Y
hsa-let-7a-3	118250	16477.230766	N
hsa-let-7b	69067	9623.956848	N
hsa-let-7c	27671	3855.741670	Y
hsa-let-7d	16322	2274.345544	N
hsa-let-7e	11726	1633.928186	N
hsa-let-7f-1	139803	19480.476049	N
hsa-let-7f-2	152802	21291.787024	N
hsa-let-7g	144242	20099.016661	N
hsa-let-7i	33074	4608.608291	N
hsa-mir-1-1	2795	389.461818	N
hsa-mir-1-2	2838	395.453538	N
hsa-mir-100	52517	7317.841253	Y
hsa-mir-101-1	19021	2650.430498	N
hsa-mir-101-2	20588	2868.779932	N
hsa-mir-103a-1	49637	6916.535337	Y
hsa-mir-103a-2	51948	7238.555466	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.139342	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	634	88.343039	Y
hsa-mir-106b	4260	593.598335	N
hsa-mir-107	8797	1225.794495	Y
hsa-mir-10a	202264	28183.937452	N
hsa-mir-10b	521892	72721.648364	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.696712	N
hsa-mir-1180	631	87.925012	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.672108	N
hsa-mir-1185-2	13	1.811450	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.139342	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.418027	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	19	2.647504	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.254081	N
hsa-mir-1229	6	0.836054	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.418027	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	27	3.762243	N
hsa-mir-124-2	29	4.040928	N
hsa-mir-124-3	15	2.090135	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.696712	N
hsa-mir-1245b	2	0.278685	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	56	7.803171	N
hsa-mir-1248	48	6.688432	N
hsa-mir-1249	118	16.442395	N
hsa-mir-1250	4	0.557369	N
hsa-mir-1251	32	4.458955	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.557369	N
hsa-mir-1254-2	1	0.139342	N
hsa-mir-1255a	8	1.114739	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	150125	20918.767601	N
hsa-mir-125b-1	51804	7218.490170	N
hsa-mir-125b-2	52778	7354.209602	N
hsa-mir-126	41465	5777.829799	N
hsa-mir-1260a	1	0.139342	N
hsa-mir-1260b	16	2.229477	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.532766	N
hsa-mir-1263	5	0.696712	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.278685	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	49	6.827774	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1618	225.455893	N
hsa-mir-1270	98	13.655549	N
hsa-mir-1271	393	54.761537	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.278685	N
hsa-mir-1277	2	0.278685	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3598	501.353711	N
hsa-mir-128-2	2017	281.053484	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.557369	N
hsa-mir-1285-1	2	0.278685	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	46	6.409747	N
hsa-mir-1288	5	0.696712	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	90	12.540810	N
hsa-mir-129-2	69	9.614621	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	31	4.319612	N
hsa-mir-1292	15	2.090135	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.557369	N
hsa-mir-1295a	8	1.114739	N
hsa-mir-1295b	6	0.836054	N
hsa-mir-1296	378	52.671402	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	9	1.254081	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	458	63.818788	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.975396	N
hsa-mir-1304	7	0.975396	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	61	8.499882	N
hsa-mir-1307	1452	202.325066	N
hsa-mir-130a	921	128.334288	N
hsa-mir-130b	274	38.179799	N
hsa-mir-132	2208	307.667869	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	358	49.884555	Y
hsa-mir-133a-2	339	47.237051	Y
hsa-mir-133b	14	1.950793	Y
hsa-mir-134	122	16.999765	N
hsa-mir-1343	9	1.254081	N
hsa-mir-135a-1	8155	1136.336718	N
hsa-mir-135a-2	9148	1274.703654	N
hsa-mir-135b	2097	292.200870	N
hsa-mir-136	185	25.778331	N
hsa-mir-137	3	0.418027	N
hsa-mir-138-1	577	80.400526	N
hsa-mir-138-2	248	34.556898	N
hsa-mir-139	3595	500.935684	N
hsa-mir-140	48363	6739.013205	N
hsa-mir-141	121	16.860422	N
hsa-mir-142	2019	281.332168	N
hsa-mir-143	282178	39319.340576	N
hsa-mir-144	189	26.335701	N
hsa-mir-145	51361	7156.761517	N
hsa-mir-1468	143	19.925953	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6308	878.971431	N
hsa-mir-146b	34826	4852.736056	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.139342	N
hsa-mir-148a	13900	1936.858416	N
hsa-mir-148b	2501	348.495172	N
hsa-mir-149	349	48.630474	N
hsa-mir-150	5138	715.940902	N
hsa-mir-151a	19258	2683.454631	N
hsa-mir-151b	125	17.417792	N
hsa-mir-152	2542	354.208208	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	139	19.368584	N
hsa-mir-155	2638	367.585072	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	808	112.588604	N
hsa-mir-15b	5064	705.629570	N
hsa-mir-16-1	9188	1280.277347	N
hsa-mir-16-2	9674	1347.997720	N
hsa-mir-17	2016	280.914141	Y
hsa-mir-181a-1	17785	2478.203376	N
hsa-mir-181a-2	18058	2516.243832	N
hsa-mir-181b-1	3451	480.870388	N
hsa-mir-181b-2	4132	575.762516	N
hsa-mir-181c	302	42.081384	N
hsa-mir-181d	141	19.647269	N
hsa-mir-182	5879	819.193570	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	4196	584.680425	N
hsa-mir-184	259	36.089664	N
hsa-mir-185	2125	296.102456	N
hsa-mir-186	5603	780.735087	N
hsa-mir-187	57	7.942513	N
hsa-mir-188	108	15.048972	N
hsa-mir-18a	94	13.098179	Y
hsa-mir-18b	4	0.557369	Y
hsa-mir-1908	4	0.557369	N
hsa-mir-1909	2	0.278685	N
hsa-mir-190a	376	52.392717	N
hsa-mir-190b	6	0.836054	N
hsa-mir-191	41338	5760.133323	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	58007	8082.830656	Y
hsa-mir-193a	911	126.940865	N
hsa-mir-193b	1248	173.899230	N
hsa-mir-194-1	7570	1054.821454	N
hsa-mir-194-2	36490	5084.601697	N
hsa-mir-195	8844	1232.343585	N
hsa-mir-196a-1	2251	313.659589	N
hsa-mir-196a-2	6578	916.593860	N
hsa-mir-196b	2756	384.027467	N
hsa-mir-197	2418	336.929759	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	13	1.811450	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	26281	3662.055829	Y
hsa-mir-199a-2	45073	6280.576933	Y
hsa-mir-199b	59863	8341.450024	Y
hsa-mir-19a	167	23.270169	N
hsa-mir-19b-1	1123	156.481439	N
hsa-mir-19b-2	1140	158.850259	N
hsa-mir-200a	15036	2095.151305	N
hsa-mir-200b	68429	9535.056441	N
hsa-mir-200c	16879	2351.959223	N
hsa-mir-202	12	1.672108	N
hsa-mir-203a	1159	161.497763	N
hsa-mir-203b	12	1.672108	N
hsa-mir-204	62575	8719.346429	N
hsa-mir-205	129	17.975161	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	39	5.434351	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	5306	739.350414	N
hsa-mir-20b	659	91.826597	N
hsa-mir-21	717695	100005.295009	N
hsa-mir-210	225	31.352025	N
hsa-mir-211	59	8.221198	N
hsa-mir-2110	80	11.147387	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	6	0.836054	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	18	2.508162	N
hsa-mir-2117	2	0.278685	N
hsa-mir-212	227	31.630709	N
hsa-mir-214	5711	795.784058	N
hsa-mir-215	40	5.573693	Y
hsa-mir-216a	7	0.975396	N
hsa-mir-216b	145	20.204638	N
hsa-mir-217	102	14.212918	N
hsa-mir-218-1	1830	254.996468	N
hsa-mir-218-2	1644	229.078794	N
hsa-mir-219a-1	17	2.368820	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.278685	N
hsa-mir-22	10057	1401.365834	N
hsa-mir-221	15927	2219.305323	N
hsa-mir-222	7676	1069.591741	N
hsa-mir-223	5377	749.243719	N
hsa-mir-224	1752	244.127766	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	35	4.876982	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	112	15.606341	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	116648	16254.004350	Y
hsa-mir-23b	95628	13325.028530	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	15009	2091.389062	N
hsa-mir-24-2	15048	2096.823413	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	7451	1038.239716	N
hsa-mir-2681	2	0.278685	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	382398	53284.229096	N
hsa-mir-26a-2	397954	55451.838413	N
hsa-mir-26b	117587	16384.846800	N
hsa-mir-27a	15571	2169.699453	Y
hsa-mir-27b	159175	22179.815706	Y
hsa-mir-28	9898	1379.210403	N
