miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	100565	13960.857678	N
hsa-let-7a-2	97868	13586.448757	Y
hsa-let-7a-3	98170	13628.373671	N
hsa-let-7b	54799	7607.428428	N
hsa-let-7c	25441	3531.826979	Y
hsa-let-7d	15634	2170.377855	N
hsa-let-7e	5704	791.853351	N
hsa-let-7f-1	112451	15610.922356	N
hsa-let-7f-2	120042	16664.737010	N
hsa-let-7g	146246	20302.486869	N
hsa-let-7i	38622	5361.669023	N
hsa-mir-1-1	802214	111366.732775	N
hsa-mir-1-2	847532	117657.968774	N
hsa-mir-100	33917	4708.501068	Y
hsa-mir-101-1	16339	2268.248930	N
hsa-mir-101-2	16814	2334.190434	N
hsa-mir-103a-1	29794	4136.128809	Y
hsa-mir-103a-2	32001	4442.513862	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.555297	N
hsa-mir-105-2	4	0.555297	N
hsa-mir-106a	409	56.779106	Y
hsa-mir-106b	7486	1039.238110	N
hsa-mir-107	6559	910.548059	Y
hsa-mir-10a	2215	307.495647	N
hsa-mir-10b	38358	5325.019428	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.416473	N
hsa-mir-1180	165	22.905996	N
hsa-mir-1181	4	0.555297	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	22	3.054133	N
hsa-mir-1185-2	11	1.527066	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.138824	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.416473	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.277648	N
hsa-mir-1226	16	2.221188	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.416473	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.138824	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	18	2.498836	N
hsa-mir-124-2	9	1.249418	N
hsa-mir-124-3	14	1.943539	N
hsa-mir-1243	2	0.277648	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.416473	N
hsa-mir-1245b	5	0.694121	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	203	28.181317	N
hsa-mir-1248	45	6.247090	N
hsa-mir-1249	134	18.602445	N
hsa-mir-1250	17	2.360012	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.832945	N
hsa-mir-1254-2	4	0.555297	N
hsa-mir-1255a	10	1.388242	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.416473	N
hsa-mir-125a	42065	5839.640812	N
hsa-mir-125b-1	40017	5555.328809	N
hsa-mir-125b-2	40699	5650.006927	N
hsa-mir-126	41461	5755.790983	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	2.498836	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.694121	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.277648	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	7465	1036.322802	N
hsa-mir-1270	25	3.470605	N
hsa-mir-1271	450	62.470899	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.277648	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.138824	N
hsa-mir-1275	3	0.416473	N
hsa-mir-1276	2	0.277648	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	12	1.665891	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	17554	2436.920357	N
hsa-mir-128-2	9133	1267.881601	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	4	0.555297	N
hsa-mir-1283-2	2	0.277648	N
hsa-mir-1284	2	0.277648	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.277648	N
hsa-mir-1287	35	4.858848	N
hsa-mir-1288	1	0.138824	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.138824	N
hsa-mir-129-1	15	2.082363	N
hsa-mir-129-2	21	2.915309	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.832945	N
hsa-mir-1292	19	2.637660	N
hsa-mir-1293	3	0.416473	N
hsa-mir-1294	13	1.804715	N
hsa-mir-1295a	12	1.665891	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	322	44.701399	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	23	3.192957	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	279	38.731957	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.416473	N
hsa-mir-1304	12	1.665891	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	35	4.858848	N
hsa-mir-1307	695	96.482833	N
hsa-mir-130a	221	30.680153	N
hsa-mir-130b	374	51.920258	N
hsa-mir-132	945	131.188888	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	32	4.442375	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	199965	27759.985140	Y
hsa-mir-133a-2	197376	27400.569235	Y
hsa-mir-133b	9894	1373.526832	Y
hsa-mir-134	219	30.402504	N
hsa-mir-1343	8	1.110594	N
hsa-mir-135a-1	148	20.545985	N
hsa-mir-135a-2	163	22.628348	N
hsa-mir-135b	1501	208.375154	N
hsa-mir-136	1328	184.358564	N
hsa-mir-137	12	1.665891	N
hsa-mir-138-1	80	11.105938	N
hsa-mir-138-2	14	1.943539	N
hsa-mir-139	3109	431.604500	N
hsa-mir-140	25570	3549.735304	N
hsa-mir-141	937	130.078294	N
hsa-mir-142	2377	329.985171	N
hsa-mir-143	297081	41242.038084	N
hsa-mir-144	5921	821.978206	N
hsa-mir-145	36918	5125.112552	N
hsa-mir-1468	45	6.247090	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	28116	3903.181768	N
hsa-mir-146b	8119	1127.113842	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.832945	N
hsa-mir-148a	101450	14083.717113	N
hsa-mir-148b	1920	266.542502	N
hsa-mir-149	1032	143.266595	N
hsa-mir-150	3854	535.028544	N
hsa-mir-151a	12245	1699.902573	N
hsa-mir-151b	122	16.936555	N
hsa-mir-152	2537	352.197046	N
hsa-mir-153-1	2	0.277648	N
hsa-mir-153-2	4	0.555297	N
hsa-mir-1537	3	0.416473	N
hsa-mir-1538	3	0.416473	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	314	43.590805	N
hsa-mir-155	1992	276.537846	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1528	212.123408	N
hsa-mir-15b	11538	1601.753850	N
hsa-mir-16-1	23648	3282.915153	N
hsa-mir-16-2	26150	3630.253351	N
hsa-mir-17	1735	240.860022	Y
hsa-mir-181a-1	7662	1063.671173	N
hsa-mir-181a-2	7946	1103.097252	N
hsa-mir-181b-1	1297	180.055013	N
hsa-mir-181b-2	1699	235.862350	N
hsa-mir-181c	283	39.287254	N
hsa-mir-181d	72	9.995344	N
hsa-mir-182	11686	1622.299834	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	4947	686.763416	N
hsa-mir-184	4	0.555297	N
hsa-mir-185	4121	572.094610	N
hsa-mir-186	10909	1514.433415	N
hsa-mir-187	190	26.376602	N
hsa-mir-188	16	2.221188	N
hsa-mir-18a	244	33.873110	N
hsa-mir-18b	11	1.527066	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	197	27.348371	N
hsa-mir-190b	108	14.993016	N
hsa-mir-191	41178	5716.503729	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	7	0.971770	N
hsa-mir-1912	1	0.138824	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.138824	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	996	138.268923	Y
hsa-mir-193a	1385	192.271545	N
hsa-mir-193b	4660	646.920865	N
hsa-mir-194-1	150	20.823633	N
hsa-mir-194-2	447	62.054426	N
hsa-mir-195	4987	692.316385	N
hsa-mir-196a-1	7	0.971770	N
hsa-mir-196a-2	7	0.971770	N
hsa-mir-196b	27	3.748254	N
hsa-mir-197	1975	274.177834	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	18	2.498836	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	22427	3113.410781	Y
hsa-mir-199a-2	40637	5641.399826	Y
hsa-mir-199b	72406	10051.706469	Y
hsa-mir-19a	170	23.600117	N
hsa-mir-19b-1	957	132.854778	N
hsa-mir-19b-2	1008	139.934814	N
hsa-mir-200a	12190	1692.267241	N
hsa-mir-200b	57715	8012.239854	N
hsa-mir-200c	61615	8553.654312	N
hsa-mir-202	5	0.694121	N
hsa-mir-203a	91444	12694.641968	N
hsa-mir-203b	31	4.303551	N
hsa-mir-204	1129	156.732544	N
hsa-mir-205	125469	17418.136052	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	58842	8168.694750	N
hsa-mir-208a	18	2.498836	N
hsa-mir-208b	35	4.858848	N
hsa-mir-20a	4798	666.078607	N
hsa-mir-20b	328	45.534344	N
hsa-mir-21	217974	30260.070517	N
hsa-mir-210	426	59.139118	N
hsa-mir-211	49	6.802387	N
hsa-mir-2110	158	21.934227	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
