miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	119838	17267.464580	N
hsa-let-7a-2	113949	16418.918218	Y
hsa-let-7a-3	114038	16431.742233	N
hsa-let-7b	76802	11066.404769	N
hsa-let-7c	26683	3844.755064	Y
hsa-let-7d	16401	2363.221070	N
hsa-let-7e	9634	1388.163636	N
hsa-let-7f-1	131742	18982.712651	N
hsa-let-7f-2	142158	20483.554713	N
hsa-let-7g	169816	24468.797586	N
hsa-let-7i	35763	5153.092807	N
hsa-mir-1-1	3261	469.877685	N
hsa-mir-1-2	3516	506.620650	N
hsa-mir-100	51416	7408.534512	Y
hsa-mir-101-1	19418	2797.940780	N
hsa-mir-101-2	21252	3062.201950	N
hsa-mir-103a-1	51746	7456.084232	Y
hsa-mir-103a-2	54691	7880.429458	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.144090	N
hsa-mir-106a	645	92.938089	Y
hsa-mir-106b	4331	624.054049	N
hsa-mir-107	12360	1780.953138	Y
hsa-mir-10a	225390	32476.458566	N
hsa-mir-10b	508748	73305.529715	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.144090	N
hsa-mir-1180	658	94.811259	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.584991	N
hsa-mir-1185-2	7	1.008630	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.288180	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	17	2.449531	N
hsa-mir-1224	2	0.288180	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	1.729081	N
hsa-mir-1227	3	0.432270	N
hsa-mir-1228	15	2.161351	N
hsa-mir-1229	7	1.008630	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.576360	N
hsa-mir-1236	1	0.144090	N
hsa-mir-1237	2	0.288180	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	37	5.331332	N
hsa-mir-124-2	41	5.907692	N
hsa-mir-124-3	40	5.763602	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.432270	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.144090	N
hsa-mir-1247	46	6.628143	N
hsa-mir-1248	19	2.737711	N
hsa-mir-1249	92	13.256285	N
hsa-mir-1250	4	0.576360	N
hsa-mir-1251	12	1.729081	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.432270	N
hsa-mir-1254-2	3	0.432270	N
hsa-mir-1255a	9	1.296811	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.144090	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	149419	21529.792637	N
hsa-mir-125b-1	59769	8612.118781	N
hsa-mir-125b-2	60612	8733.586701	N
hsa-mir-126	43377	6250.194522	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	2.305441	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	2.593621	N
hsa-mir-1263	12	1.729081	N
