miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	349435	43460.016002	N
hsa-let-7a-2	334680	41624.903503	Y
hsa-let-7a-3	334324	41580.626983	N
hsa-let-7b	143227	17813.463768	N
hsa-let-7c	52886	6577.550635	Y
hsa-let-7d	61622	7664.066582	N
hsa-let-7e	26595	3307.679899	N
hsa-let-7f-1	245101	30483.762022	N
hsa-let-7f-2	264393	32883.151404	N
hsa-let-7g	219688	27323.090118	N
hsa-let-7i	53194	6615.857287	N
hsa-mir-1-1	8532	1061.144008	N
hsa-mir-1-2	9140	1136.762334	N
hsa-mir-100	121119	15063.842140	Y
hsa-mir-101-1	11642	1447.941695	N
hsa-mir-101-2	13092	1628.281453	N
hsa-mir-103a-1	67413	8384.306262	Y
hsa-mir-103a-2	69933	8697.724324	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	4	0.497489	N
hsa-mir-106a	189	23.506355	Y
hsa-mir-106b	5812	722.851497	N
hsa-mir-107	6403	796.355495	Y
hsa-mir-10a	134930	16781.547238	N
hsa-mir-10b	21816	2713.304933	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	2.736189	N
hsa-mir-1180	482	59.947423	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.248744	N
hsa-mir-1185-2	4	0.497489	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	15	1.865584	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.248744	N
hsa-mir-1226	32	3.979912	N
hsa-mir-1227	0	0.000000	N
