miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	155336	17571.279821	N
hsa-let-7a-2	152165	17212.583007	Y
hsa-let-7a-3	153194	17328.981311	N
hsa-let-7b	60560	6850.419130	N
hsa-let-7c	37324	4222.011949	Y
hsa-let-7d	23710	2682.025059	N
hsa-let-7e	8646	978.017236	N
hsa-let-7f-1	146945	16622.107646	N
hsa-let-7f-2	157554	17822.175291	N
hsa-let-7g	183225	20726.024523	N
hsa-let-7i	60687	6864.785101	N
hsa-mir-1-1	1079558	122117.317952	N
hsa-mir-1-2	1143576	129358.898730	N
hsa-mir-100	70543	7979.674978	Y
hsa-mir-101-1	15850	1792.918481	N
hsa-mir-101-2	17188	1944.270211	N
hsa-mir-103a-1	31353	3546.585056	Y
hsa-mir-103a-2	33220	3757.776148	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	314	35.519016	Y
hsa-mir-106b	6132	693.638872	N
hsa-mir-107	4538	513.328963	Y
hsa-mir-10a	11674	1320.538192	N
hsa-mir-10b	77683	8787.336679	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	2.488593	N
hsa-mir-1180	143	16.175858	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	28	3.167301	N
hsa-mir-1185-2	10	1.131179	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.226236	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.678707	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	7	0.791825	N
hsa-mir-1226	9	1.018061	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	6	0.678707	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.565589	N
hsa-mir-124-2	6	0.678707	N
hsa-mir-124-3	9	1.018061	N
hsa-mir-1243	6	0.678707	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	2	0.226236	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	1.357415	N
hsa-mir-1245b	3	0.339354	N
hsa-mir-1246	1	0.113118	N
hsa-mir-1247	355	40.156849	N
hsa-mir-1248	87	9.841256	N
hsa-mir-1249	111	12.556085	N
hsa-mir-1250	16	1.809886	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.452472	N
hsa-mir-1254-2	12	1.357415	N
hsa-mir-1255a	17	1.923004	N
