miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	193351	22710.492346	N
hsa-let-7a-2	186703	21929.636011	Y
hsa-let-7a-3	187260	21995.059745	N
hsa-let-7b	84825	9963.318076	N
hsa-let-7c	49823	5852.076587	Y
hsa-let-7d	22085	2594.045148	N
hsa-let-7e	8885	1043.608383	N
hsa-let-7f-1	181629	21333.657516	N
hsa-let-7f-2	194430	22837.228806	N
hsa-let-7g	222330	26114.288332	N
hsa-let-7i	57316	6732.184366	N
hsa-mir-1-1	6579	772.751779	N
hsa-mir-1-2	7198	845.457866	N
hsa-mir-100	79576	9346.784547	Y
hsa-mir-101-1	24565	2885.339328	N
hsa-mir-101-2	26140	3070.334624	N
hsa-mir-103a-1	65504	7693.924989	Y
hsa-mir-103a-2	68499	8045.709695	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.117457	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	440	51.681226	Y
hsa-mir-106b	7573	889.504365	N
hsa-mir-107	6635	779.329389	Y
hsa-mir-10a	73377	8618.666554	N
hsa-mir-10b	122817	14425.756983	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.939659	N
hsa-mir-1180	455	53.443085	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.822201	N
hsa-mir-1185-2	5	0.587287	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.587287	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.526945	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.174573	N
hsa-mir-1229	5	0.587287	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.234915	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	1.057116	N
hsa-mir-124-2	18	2.114232	N
hsa-mir-124-3	6	0.704744	N
hsa-mir-1243	1	0.117457	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.352372	N
hsa-mir-1245b	1	0.117457	N
hsa-mir-1246	2	0.234915	N
hsa-mir-1247	436	51.211396	N
hsa-mir-1248	8	0.939659	N
hsa-mir-1249	220	25.840613	N
hsa-mir-1250	13	1.526945	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.352372	N
hsa-mir-1254-2	4	0.469829	N
hsa-mir-1255a	23	2.701519	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.234915	N
hsa-mir-125a	114503	13449.216736	N
hsa-mir-125b-1	101495	11921.331778	N
hsa-mir-125b-2	103104	12110.320623	N
hsa-mir-126	57642	6770.475456	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	21	2.466604	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.409488	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.234915	N
hsa-mir-1265	7	0.822201	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.117457	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1534	180.179545	N
hsa-mir-1270	20	2.349147	N
hsa-mir-1271	512	60.138153	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.469829	N
hsa-mir-1276	7	0.822201	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	12	1.409488	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2699	317.017336	N
hsa-mir-128-2	1613	189.458674	N
