miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	188891	25561.375665	N
hsa-let-7a-2	183912	24887.600369	Y
hsa-let-7a-3	184915	25023.329757	N
hsa-let-7b	66255	8965.853030	N
hsa-let-7c	26903	3640.605902	Y
hsa-let-7d	22513	3046.536099	N
hsa-let-7e	7622	1031.435089	N
hsa-let-7f-1	154969	20970.934695	N
hsa-let-7f-2	163283	22096.013589	N
hsa-let-7g	252603	34183.101245	N
hsa-let-7i	66212	8960.034123	N
hsa-mir-1-1	8021	1085.429132	N
hsa-mir-1-2	8364	1131.845064	N
hsa-mir-100	30490	4126.011001	Y
hsa-mir-101-1	17870	2418.229472	N
hsa-mir-101-2	18911	2559.101149	N
hsa-mir-103a-1	43208	5847.054226	Y
hsa-mir-103a-2	45864	6206.473223	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	34	4.600996	N
hsa-mir-105-2	43	5.818907	N
hsa-mir-106a	353	47.769166	Y
hsa-mir-106b	10011	1354.722733	N
hsa-mir-107	6122	828.449962	Y
hsa-mir-10a	8314	1125.078894	N
hsa-mir-10b	72501	9811.083096	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	1.082587	N
hsa-mir-1180	305	41.273642	N
hsa-mir-1181	1	0.135323	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	16	2.165175	N
hsa-mir-1185-2	6	0.811941	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.947264	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	2.841792	N
hsa-mir-1227	1	0.135323	N
hsa-mir-1228	9	1.217911	N
hsa-mir-1229	7	0.947264	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	16	2.165175	N
hsa-mir-124-2	13	1.759204	N
hsa-mir-124-3	15	2.029851	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.405970	N
hsa-mir-1245b	2	0.270647	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	389	52.640809	N
hsa-mir-1248	32	4.330349	N
hsa-mir-1249	230	31.124386	N
hsa-mir-1250	7	0.947264	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.947264	N
hsa-mir-1254-2	7	0.947264	N
hsa-mir-1255a	22	2.977115	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	66878	9050.159519	N
hsa-mir-125b-1	45932	6215.675215	N
hsa-mir-125b-2	45996	6224.335914	N
hsa-mir-126	50524	6837.080349	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	24	3.247762	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	2.029851	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.270647	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	958	129.639834	N
hsa-mir-1270	9	1.217911	N
hsa-mir-1271	652	88.230868	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.135323	N
hsa-mir-1275	4	0.541294	N
hsa-mir-1276	23	3.112439	N
hsa-mir-1277	6	0.811941	N
hsa-mir-1278	14	1.894528	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3205	433.711553	N
hsa-mir-128-2	2205	298.388136	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	26	3.518409	N
hsa-mir-1285-1	4	0.541294	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.405970	N
hsa-mir-1287	24	3.247762	N
hsa-mir-1288	1	0.135323	N
hsa-mir-1289-1	1	0.135323	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	14	1.894528	N
hsa-mir-129-2	26	3.518409	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	1.217911	N
hsa-mir-1292	47	6.360201	N
hsa-mir-1293	75	10.149256	N
hsa-mir-1294	13	1.759204	N
hsa-mir-1295a	56	7.578111	N
hsa-mir-1295b	2	0.270647	N
hsa-mir-1296	261	35.319412	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	396	53.588073	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.947264	N
hsa-mir-1304	42	5.683584	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	49	6.630847	N
hsa-mir-1307	2371	320.851823	N
hsa-mir-130a	255	34.507471	N
hsa-mir-130b	1002	135.594064	N
hsa-mir-132	1220	165.094569	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	13	1.759204	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1328	179.709499	Y
hsa-mir-133a-2	1370	185.393082	Y
hsa-mir-133b	49	6.630847	Y
hsa-mir-134	76	10.284580	N
hsa-mir-1343	18	2.435822	N
hsa-mir-135a-1	23	3.112439	N
hsa-mir-135a-2	33	4.465673	N
hsa-mir-135b	3426	463.618029	N
hsa-mir-136	377	51.016928	N
hsa-mir-137	1	0.135323	N
hsa-mir-138-1	64	8.660699	N
hsa-mir-138-2	26	3.518409	N
hsa-mir-139	3303	446.973248	N
hsa-mir-140	21630	2927.045522	N
hsa-mir-141	859	116.242816	N
hsa-mir-142	13484	1824.700962	N
hsa-mir-143	130644	17679.192563	N
hsa-mir-144	1253	169.560242	N
hsa-mir-145	15858	2145.958756	N
hsa-mir-1468	39	5.277613	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	17910	2423.642408	N
hsa-mir-146b	25068	3392.287431	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	33	4.465673	N
