miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	172498	14650.670044	N
hsa-let-7a-2	167177	14198.744716	Y
hsa-let-7a-3	169090	14361.220407	N
hsa-let-7b	136478	11591.404807	N
hsa-let-7c	41709	3542.445691	Y
hsa-let-7d	22725	1930.088910	N
hsa-let-7e	13022	1105.989781	N
hsa-let-7f-1	217785	18497.003882	N
hsa-let-7f-2	234170	19888.621342	N
hsa-let-7g	252080	21409.760721	N
hsa-let-7i	42317	3594.084594	N
hsa-mir-1-1	4316	366.568261	N
hsa-mir-1-2	4461	378.883460	N
hsa-mir-100	80878	6869.163074	Y
hsa-mir-101-1	34099	2896.110087	N
hsa-mir-101-2	36460	3096.635496	N
hsa-mir-103a-1	64847	5507.611685	Y
hsa-mir-103a-2	69404	5894.648655	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	0.509594	N
hsa-mir-105-2	7	0.594527	N
hsa-mir-106a	1239	105.231250	Y
hsa-mir-106b	8258	701.371803	N
hsa-mir-107	20133	1709.944115	Y
hsa-mir-10a	455375	38676.094050	N
hsa-mir-10b	1138696	96712.190153	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.254797	N
hsa-mir-1180	863	73.296666	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.849324	N
hsa-mir-1185-2	9	0.764392	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.084932	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	66	5.605539	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	43	3.652093	N
hsa-mir-1227	1	0.084932	N
hsa-mir-1228	5	0.424662	N
hsa-mir-1229	18	1.528783	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.509594	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	68	5.775404	N
hsa-mir-124-2	58	4.926080	N
hsa-mir-124-3	60	5.095944	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.084932	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	116	9.852159	N
hsa-mir-1248	39	3.312364	N
hsa-mir-1249	104	8.832970	N
hsa-mir-1250	2	0.169865	N
hsa-mir-1251	19	1.613716	N
hsa-mir-1252	1	0.084932	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	0.849324	N
hsa-mir-1254-2	10	0.849324	N
hsa-mir-1255a	13	1.104121	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.254797	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	374830	31835.213468	N
hsa-mir-125b-1	122935	10441.165242	N
hsa-mir-125b-2	123618	10499.174075	N
hsa-mir-126	90761	7708.550035	N
hsa-mir-1260a	1	0.084932	N
hsa-mir-1260b	27	2.293175	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.764392	N
hsa-mir-1263	10	0.849324	N
hsa-mir-1264	2	0.169865	N
