miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	228416	22386.531074	N
hsa-let-7a-2	223794	21933.539398	Y
hsa-let-7a-3	223507	21905.411183	N
hsa-let-7b	103068	10101.459551	N
hsa-let-7c	100367	9836.740702	Y
hsa-let-7d	32652	3200.148031	N
hsa-let-7e	20339	1993.378991	N
hsa-let-7f-1	183451	17979.614002	N
hsa-let-7f-2	192924	18908.041122	N
hsa-let-7g	226705	22218.839867	N
hsa-let-7i	108415	10625.506822	N
hsa-mir-1-1	152625	14958.428066	N
hsa-mir-1-2	163810	16054.644400	N
hsa-mir-100	131331	12871.451704	Y
hsa-mir-101-1	20472	2006.414017	N
hsa-mir-101-2	21900	2146.369039	N
hsa-mir-103a-1	58867	5769.420376	Y
hsa-mir-103a-2	61896	6066.285756	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	9	0.882069	N
hsa-mir-105-2	12	1.176093	N
hsa-mir-106a	482	47.239720	Y
hsa-mir-106b	10392	1018.496213	N
hsa-mir-107	9214	903.043120	Y
hsa-mir-10a	46727	4579.606672	N
hsa-mir-10b	181243	17763.212960	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.784062	N
hsa-mir-1180	462	45.279566	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.470116	N
hsa-mir-1185-2	17	1.666131	N
hsa-mir-1193	1	0.098008	N
hsa-mir-1197	7	0.686054	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3074	301.275727	N
hsa-mir-1224	1	0.098008	N
hsa-mir-1225	6	0.588046	N
hsa-mir-1226	20	1.960154	N
hsa-mir-1227	3	0.294023	N
hsa-mir-1228	21	2.058162	N
hsa-mir-1229	1	0.098008	N
hsa-mir-1231	1	0.098008	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.294023	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	20	1.960154	N
hsa-mir-124-2	21	2.058162	N
hsa-mir-124-3	17	1.666131	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.764139	N
hsa-mir-1245b	7	0.686054	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	405	39.693126	N
hsa-mir-1248	36	3.528278	N
hsa-mir-1249	180	17.641389	N
hsa-mir-1250	3	0.294023	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.392031	N
hsa-mir-1254-2	5	0.490039	N
hsa-mir-1255a	32	3.136247	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.490039	N
hsa-mir-125a	94487	9260.455316	N
hsa-mir-125b-1	106879	10474.966966	N
hsa-mir-125b-2	110059	10786.631512	N
hsa-mir-126	105846	10373.724993	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	44	4.312340	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.784062	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.098008	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.784062	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	1	0.098008	N
hsa-mir-1269a	7	0.686054	N
hsa-mir-1269b	1	0.098008	N
hsa-mir-127	3687	361.354459	N
hsa-mir-1270	19	1.862147	N
hsa-mir-1271	756	74.093835	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	5	0.490039	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.196015	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	7	0.686054	N
hsa-mir-1277	3	0.294023	N
hsa-mir-1278	9	0.882069	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4263	417.806905	N
hsa-mir-128-2	2504	245.411328	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.490039	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	71	6.958548	N
hsa-mir-1288	2	0.196015	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	55	5.390425	N
hsa-mir-129-2	98	9.604756	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	26	2.548201	N
hsa-mir-1292	49	4.802378	N
hsa-mir-1293	5	0.490039	N
hsa-mir-1294	17	1.666131	N
hsa-mir-1295a	18	1.764139	N
hsa-mir-1295b	3	0.294023	N
hsa-mir-1296	378	37.046918	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	161	15.779243	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	496	48.611828	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.392031	N
hsa-mir-1304	24	2.352185	N
hsa-mir-1305	1	0.098008	N
hsa-mir-1306	46	4.508355	N
hsa-mir-1307	1704	167.005153	N
hsa-mir-130a	573	56.158423	N
hsa-mir-130b	518	50.767998	N
hsa-mir-132	2756	270.109273	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	13	1.274100	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	41149	4032.919617	Y
hsa-mir-133a-2	40707	3989.600205	Y
hsa-mir-133b	2435	238.648795	Y
hsa-mir-134	222	21.757714	N
hsa-mir-1343	13	1.274100	N
hsa-mir-135a-1	140	13.721081	N
hsa-mir-135a-2	157	15.387212	N
hsa-mir-135b	1724	168.965307	N
hsa-mir-136	496	48.611828	N
hsa-mir-137	81	7.938625	N
hsa-mir-138-1	108	10.584834	N
hsa-mir-138-2	21	2.058162	N
hsa-mir-139	7835	767.890476	N
hsa-mir-140	71571	7014.510435	N
hsa-mir-141	431	42.241327	N
hsa-mir-142	5348	524.145280	N
hsa-mir-143	794526	77869.680705	N
hsa-mir-144	5310	520.420986	N
hsa-mir-145	117362	11502.381882	N
hsa-mir-1468	71	6.958548	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	12782	1252.734660	N
hsa-mir-146b	61606	6037.863518	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	9	0.882069	N
hsa-mir-148a	28759	2818.603982	N
hsa-mir-148b	2920	286.182539	N
hsa-mir-149	3146	308.332283	N
hsa-mir-150	12583	1233.231124	N
hsa-mir-151a	21832	2139.704515	N
hsa-mir-151b	186	18.229436	N
hsa-mir-152	4714	462.008386	N
hsa-mir-153-1	2	0.196015	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	2	0.196015	N
hsa-mir-1538	1	0.098008	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	372	36.458871	N
hsa-mir-155	6890	675.273182	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2225	218.067174	N
hsa-mir-15b	25124	2462.345925	N
hsa-mir-16-1	38571	3780.255718	N
hsa-mir-16-2	42211	4137.003814	N
hsa-mir-17	2875	281.772191	Y
hsa-mir-181a-1	16174	1585.176842	N
hsa-mir-181a-2	16788	1645.353581	N
hsa-mir-181b-1	2865	280.792114	N
hsa-mir-181b-2	3541	347.045332	N
hsa-mir-181c	490	48.023782	N
hsa-mir-181d	168	16.465297	N
hsa-mir-182	10298	1009.283487	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	4974	487.490393	N
hsa-mir-184	6	0.588046	N
hsa-mir-185	7262	711.732053	N
hsa-mir-186	19298	1891.352955	N
hsa-mir-187	5	0.490039	N
hsa-mir-188	47	4.606363	N
hsa-mir-18a	266	26.070053	Y
hsa-mir-18b	4	0.392031	Y
hsa-mir-1908	8	0.784062	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	200	19.601544	N
hsa-mir-190b	53	5.194409	N
hsa-mir-191	77407	7586.483481	N
hsa-mir-1910	4	0.392031	N
hsa-mir-1911	9	0.882069	N
hsa-mir-1912	7	0.686054	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1910	187.194743	N
hsa-mir-193a	2929	287.064608	N
hsa-mir-193b	7521	737.116052	N
hsa-mir-194-1	341	33.420632	N
hsa-mir-194-2	979	95.949557	N
hsa-mir-195	13332	1306.638906	N
hsa-mir-196a-1	12	1.176093	N
hsa-mir-196a-2	29	2.842224	N
hsa-mir-196b	62	6.076479	N
hsa-mir-197	4648	455.539876	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	16	1.568123	N
hsa-mir-198	1	0.098008	N
hsa-mir-199a-1	77628	7608.143187	Y
hsa-mir-199a-2	139560	13677.957221	Y
hsa-mir-199b	255706	25061.161717	Y
hsa-mir-19a	284	27.834192	N
hsa-mir-19b-1	1530	149.951810	N
hsa-mir-19b-2	1509	147.893648	N
hsa-mir-200a	8117	795.528653	N
hsa-mir-200b	44170	4329.000935	N
hsa-mir-200c	48990	4801.398139	N
hsa-mir-202	11	1.078085	N
hsa-mir-203a	146525	14360.580982	N
hsa-mir-203b	108	10.584834	N
hsa-mir-204	1865	182.784395	N
hsa-mir-205	198115	19416.799189	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	19427	1903.995951	N
hsa-mir-208a	13	1.274100	N
hsa-mir-208b	7	0.686054	N
hsa-mir-20a	7292	714.672285	N
hsa-mir-20b	421	41.261250	N
hsa-mir-21	868007	85071.385882	N
hsa-mir-210	337	33.028601	N
hsa-mir-211	5	0.490039	N
hsa-mir-2110	398	39.007072	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	3	0.294023	N
hsa-mir-2116	18	1.764139	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	322	31.558485	N
hsa-mir-214	10889	1067.206049	N
hsa-mir-215	149	14.603150	N
hsa-mir-216a	7	0.686054	N
hsa-mir-216b	36	3.528278	N
hsa-mir-217	41	4.018316	N
hsa-mir-218-1	2947	288.828747	N
hsa-mir-218-2	2703	264.914864	N
hsa-mir-219a-1	8	0.784062	N
hsa-mir-219a-2	1	0.098008	N
hsa-mir-219b	4	0.392031	N
hsa-mir-22	19378	1899.193573	N
hsa-mir-221	31619	3098.906057	N
hsa-mir-222	15997	1567.829476	N
hsa-mir-223	31853	3121.839864	N
hsa-mir-224	19724	1933.104244	N
hsa-mir-2276	1	0.098008	N
hsa-mir-2277	29	2.842224	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	157	15.387212	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	373912	36646.262113	Y
