miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	260527	25723.993664	N
hsa-let-7a-2	254031	25082.589653	Y
hsa-let-7a-3	254227	25101.942360	N
hsa-let-7b	151921	15000.421613	N
hsa-let-7c	168834	16670.382518	Y
hsa-let-7d	27442	2709.576490	N
hsa-let-7e	19045	1880.470966	N
hsa-let-7f-1	181271	17898.390783	N
hsa-let-7f-2	193699	19125.510403	N
hsa-let-7g	247816	24468.931105	N
hsa-let-7i	72883	7196.343681	N
hsa-mir-1-1	41471	4094.776132	N
hsa-mir-1-2	44005	4344.978989	N
hsa-mir-100	170735	16858.084031	Y
hsa-mir-101-1	22751	2246.395114	N
hsa-mir-101-2	26218	2588.720808	N
hsa-mir-103a-1	40384	3987.447597	Y
hsa-mir-103a-2	41971	4144.145283	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.493692	N
hsa-mir-105-2	6	0.592430	N
hsa-mir-106a	429	42.358732	Y
hsa-mir-106b	7659	756.236657	N
hsa-mir-107	4919	485.693709	Y
hsa-mir-10a	113741	11230.593234	N
hsa-mir-10b	226875	22401.252318	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.086121	N
hsa-mir-1180	334	32.978593	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.481075	N
hsa-mir-1185-2	11	1.086121	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.098738	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	16	1.579813	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.592430	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.493692	N
hsa-mir-1229	3	0.296215	N
