miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94880	12195.009095	N
hsa-let-7a-2	91490	11759.289440	Y
hsa-let-7a-3	91876	11808.902357	N
hsa-let-7b	61780	7940.637246	N
hsa-let-7c	19527	2509.822329	Y
hsa-let-7d	12932	1662.161231	N
hsa-let-7e	7288	936.732992	N
hsa-let-7f-1	132223	16994.737432	N
hsa-let-7f-2	143382	18429.013428	N
hsa-let-7g	147762	18991.978645	N
hsa-let-7i	22203	2853.770942	N
hsa-mir-1-1	2377	305.517882	N
hsa-mir-1-2	2542	326.725476	N
hsa-mir-100	46037	5917.175735	Y
hsa-mir-101-1	26100	3354.655748	N
hsa-mir-101-2	28089	3610.303652	N
hsa-mir-103a-1	50433	6482.197446	Y
hsa-mir-103a-2	52921	6801.982255	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.257062	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	977	125.574662	Y
hsa-mir-106b	5513	708.590695	N
hsa-mir-107	15546	1998.140929	Y
hsa-mir-10a	244441	31418.214778	N
hsa-mir-10b	869071	111702.453089	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	1.028247	N
hsa-mir-1180	444	57.067707	N
hsa-mir-1181	1	0.128531	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.028247	N
hsa-mir-1185-2	6	0.771185	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.771185	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	18	2.313556	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	33	4.241519	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	7	0.899716	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.128531	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.128531	N
hsa-mir-1238	1	0.128531	N
hsa-mir-124-1	59	7.583321	N
hsa-mir-124-2	68	8.740099	N
hsa-mir-124-3	74	9.511284	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.128531	N
