miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94925	12798.126923	N
hsa-let-7a-2	90682	12226.070536	Y
hsa-let-7a-3	91681	12360.759278	N
hsa-let-7b	75731	10210.323413	N
hsa-let-7c	21569	2908.009477	Y
hsa-let-7d	15048	2028.825009	N
hsa-let-7e	11043	1488.856630	N
hsa-let-7f-1	134024	18069.593498	N
hsa-let-7f-2	145875	19667.387568	N
hsa-let-7g	152795	20600.366639	N
hsa-let-7i	34692	4677.299123	N
hsa-mir-1-1	1659	223.672295	N
hsa-mir-1-2	1663	224.211589	N
hsa-mir-100	44506	6000.457591	Y
hsa-mir-101-1	18870	2544.120675	N
hsa-mir-101-2	19863	2678.000475	N
hsa-mir-103a-1	61045	8230.304535	Y
hsa-mir-103a-2	63451	8554.690033	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.134824	N
hsa-mir-105-2	2	0.269647	N
hsa-mir-106a	978	131.857447	Y
hsa-mir-106b	5166	696.498538	N
hsa-mir-107	15174	2045.812778	Y
hsa-mir-10a	210268	28349.081400	N
hsa-mir-10b	463442	62482.902687	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.752706	N
hsa-mir-1180	796	107.319558	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.348236	N
hsa-mir-1185-2	2	0.269647	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.134824	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
