miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	198572	23039.036020	N
hsa-let-7a-2	189061	21935.535670	Y
hsa-let-7a-3	188927	21919.988509	N
hsa-let-7b	114661	13303.380684	N
hsa-let-7c	107464	12468.358917	Y
hsa-let-7d	28519	3308.876721	N
hsa-let-7e	17568	2038.302403	N
hsa-let-7f-1	113793	13202.672209	N
hsa-let-7f-2	121383	14083.291246	N
hsa-let-7g	160341	18603.338207	N
hsa-let-7i	32996	3828.314327	N
hsa-mir-1-1	11719	1359.680434	N
hsa-mir-1-2	12294	1426.393997	N
hsa-mir-100	105292	12216.355683	Y
hsa-mir-101-1	21573	2502.976875	N
hsa-mir-101-2	24548	2848.147051	N
hsa-mir-103a-1	29575	3431.397631	Y
hsa-mir-103a-2	30319	3517.719180	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	178	20.652199	Y
hsa-mir-106b	3271	379.513158	N
hsa-mir-107	2597	301.313259	Y
hsa-mir-10a	44663	5181.961534	N
hsa-mir-10b	581116	67423.163669	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.116024	N
hsa-mir-1180	528	61.260455	N
hsa-mir-1181	1	0.116024	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.464094	N
hsa-mir-1185-2	3	0.348071	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.116024	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.464094	N
hsa-mir-1224	1	0.116024	N
hsa-mir-1225	5	0.580118	N
hsa-mir-1226	12	1.392283	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	5	0.580118	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.232047	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.116024	N
hsa-mir-124-3	2	0.232047	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	1.740354	N
hsa-mir-1245b	28	3.248660	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2040	236.688121	N
hsa-mir-1248	3	0.348071	N
hsa-mir-1249	106	12.298500	N
hsa-mir-1250	2	0.232047	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.928189	N
hsa-mir-1254-2	1	0.116024	N
hsa-mir-1255a	9	1.044212	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.116024	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.928189	N
hsa-mir-125a	565006	65554.023657	N
hsa-mir-125b-1	338675	39294.288843	N
hsa-mir-125b-2	338304	39251.244092	N
hsa-mir-126	25645	2975.424928	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	1.392283	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	2.204448	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1814	210.466790	N
hsa-mir-1270	15	1.740354	N
hsa-mir-1271	1496	173.571288	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.232047	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	7	0.812165	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1634	189.582544	N
hsa-mir-128-2	1229	142.592990	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.464094	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	34	3.944802	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	13	1.508307	N
hsa-mir-129-2	16	1.856377	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	44	5.105038	N
hsa-mir-1292	60	6.961415	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	18	2.088425	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	508	58.939983	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.116024	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	329	38.171761	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	14	1.624330	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	79	9.165863	N
hsa-mir-1307	258	29.934086	N
hsa-mir-130a	1400	162.433024	N
hsa-mir-130b	231	26.801449	N
hsa-mir-132	4161	482.774152	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2125	246.550126	Y
hsa-mir-133a-2	2146	248.986621	Y
hsa-mir-133b	43	4.989014	Y
hsa-mir-134	82	9.513934	N
hsa-mir-1343	15	1.740354	N
hsa-mir-135a-1	56	6.497321	N
hsa-mir-135a-2	61	7.077439	N
hsa-mir-135b	201	23.320741	N
hsa-mir-136	193	22.392553	N
hsa-mir-137	5	0.580118	N
hsa-mir-138-1	9	1.044212	N
