miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	291903	35799.161776	N
hsa-let-7a-2	284643	34908.790952	Y
hsa-let-7a-3	284992	34951.592525	N
hsa-let-7b	89944	11030.786963	N
hsa-let-7c	30850	3783.462797	Y
hsa-let-7d	55866	6851.440279	N
hsa-let-7e	15697	1925.089644	N
hsa-let-7f-1	280103	34352.002586	N
hsa-let-7f-2	299034	36673.711961	N
hsa-let-7g	258932	31755.578247	N
hsa-let-7i	65285	8006.592178	N
hsa-mir-1-1	5802	711.560815	N
hsa-mir-1-2	6065	743.815295	N
hsa-mir-100	107136	13139.224318	Y
hsa-mir-101-1	18998	2329.926295	N
hsa-mir-101-2	20218	2479.547839	N
hsa-mir-103a-1	72985	8950.924870	Y
hsa-mir-103a-2	76291	9356.374724	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.122641	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	308	37.773308	Y
hsa-mir-106b	9750	1195.745941	N
hsa-mir-107	8521	1045.020632	Y
hsa-mir-10a	91660	11241.238248	N
hsa-mir-10b	9619	1179.680021	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	16	1.962250	N
hsa-mir-1180	497	60.952383	N
hsa-mir-1181	1	0.122641	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.613203	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.245281	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.245281	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.122641	N
hsa-mir-1226	18	2.207531	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	1.962250	N
hsa-mir-1229	2	0.245281	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	14	1.716969	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	1.103765	N
hsa-mir-124-2	11	1.349047	N
hsa-mir-124-3	4	0.490562	N
hsa-mir-1243	1	0.122641	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	202	24.773403	N
hsa-mir-1248	25	3.066015	N
hsa-mir-1249	187	22.933794	N
hsa-mir-1250	13	1.594328	N
hsa-mir-1251	1	0.122641	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.613203	N
hsa-mir-1254-2	6	0.735844	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.245281	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.735844	N
hsa-mir-125a	177298	21743.934747	N
hsa-mir-125b-1	54873	6729.658154	N
hsa-mir-125b-2	54896	6732.478888	N
hsa-mir-126	153448	18818.956216	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.367922	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.226406	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	3	0.367922	N
hsa-mir-1266	1	0.122641	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.122641	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	498	61.075023	N
hsa-mir-1270	18	2.207531	N
hsa-mir-1271	664	81.433365	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.122641	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.122641	N
hsa-mir-1275	1	0.122641	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.122641	N
hsa-mir-1278	6	0.735844	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2830	347.072924	N
hsa-mir-128-2	1765	216.460675	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	13	1.594328	N
hsa-mir-1283-2	17	2.084890	N
hsa-mir-1284	7	0.858484	N
hsa-mir-1285-1	2	0.245281	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	58	7.113155	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.490562	N
hsa-mir-129-2	7	0.858484	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	38	4.660343	N
hsa-mir-1292	29	3.556578	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	18	2.207531	N
hsa-mir-1295a	14	1.716969	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	292	35.811058	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.490562	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	916	112.338798	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.367922	N
hsa-mir-1304	15	1.839609	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	59	7.235796	N
hsa-mir-1307	975	119.574594	N
hsa-mir-130a	1444	177.093040	N
hsa-mir-130b	431	52.858103	N
hsa-mir-132	1296	158.942230	N
hsa-mir-1321	0	0.000000	N
