miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	304618	34169.317923	N
hsa-let-7a-2	297815	33406.218336	Y
hsa-let-7a-3	297119	33328.147292	N
hsa-let-7b	109106	12238.533512	N
hsa-let-7c	44613	5004.286616	Y
hsa-let-7d	46462	5211.690870	N
hsa-let-7e	15732	1764.674804	N
hsa-let-7f-1	266902	29938.674971	N
hsa-let-7f-2	283978	31854.107653	N
hsa-let-7g	291122	32655.457564	N
hsa-let-7i	80567	9037.284196	N
hsa-mir-1-1	14389	1614.029097	N
hsa-mir-1-2	15488	1737.305071	N
hsa-mir-100	142849	16023.520921	Y
hsa-mir-101-1	17093	1917.339590	N
hsa-mir-101-2	18376	2061.255035	N
hsa-mir-103a-1	77630	8707.837850	Y
hsa-mir-103a-2	80141	8989.499332	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.336513	N
hsa-mir-105-2	6	0.673026	N
hsa-mir-106a	295	33.090457	Y
hsa-mir-106b	9910	1111.615008	N
hsa-mir-107	8714	977.458444	Y
hsa-mir-10a	158429	17771.145727	N
hsa-mir-10b	40280	4518.249499	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	2.019079	N
hsa-mir-1180	399	44.756245	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.009539	N
hsa-mir-1185-2	7	0.785197	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	18	2.019079	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	1.009539	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.346052	N
hsa-mir-1229	2	0.224342	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.448684	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.224342	N
hsa-mir-124-2	1	0.112171	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.224342	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.009539	N
hsa-mir-1245b	3	0.336513	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	305	34.212167	N
hsa-mir-1248	36	4.038157	N
hsa-mir-1249	137	15.367433	N
hsa-mir-1250	4	0.448684	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.112171	N
hsa-mir-1255a	32	3.589473	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.673026	N
hsa-mir-125a	190724	21393.709470	N
hsa-mir-125b-1	80670	9048.837813	N
hsa-mir-125b-2	81008	9086.751624	N
hsa-mir-126	135039	15147.465097	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	1.346052	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	22	2.467763	N
hsa-mir-1263	2	0.224342	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.560855	N
hsa-mir-1267	1	0.112171	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.448684	N
hsa-mir-1269b	4	0.448684	N
hsa-mir-127	1286	144.251958	N
hsa-mir-1270	19	2.131250	N
hsa-mir-1271	706	79.192754	N
