miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	241687	24090.211681	N
hsa-let-7a-2	235456	23469.135211	Y
hsa-let-7a-3	235770	23500.433238	N
hsa-let-7b	77510	7725.828478	N
hsa-let-7c	71802	7156.882162	Y
hsa-let-7d	31053	3095.215478	N
hsa-let-7e	11073	1103.704022	N
hsa-let-7f-1	220108	21939.319503	N
hsa-let-7f-2	234236	23347.531408	N
hsa-let-7g	244524	24372.990360	N
hsa-let-7i	63149	6294.392241	N
hsa-mir-1-1	833785	83107.726716	N
hsa-mir-1-2	881980	87911.575297	N
hsa-mir-100	126517	12610.613361	Y
hsa-mir-101-1	13390	1334.651572	N
hsa-mir-101-2	14624	1457.650828	N
hsa-mir-103a-1	40011	3988.106351	Y
hsa-mir-103a-2	41589	4145.393892	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	278	27.709719	Y
hsa-mir-106b	7440	741.583846	N
hsa-mir-107	5491	547.316787	Y
hsa-mir-10a	14164	1411.800214	N
hsa-mir-10b	128984	12856.512198	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	1.794154	N
hsa-mir-1180	247	24.619786	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	26	2.591556	N
hsa-mir-1185-2	11	1.096428	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	1.295778	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	17	1.694479	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.199350	N
hsa-mir-1226	5	0.498376	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.697727	N
hsa-mir-1229	2	0.199350	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.598051	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.099675	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.498376	N
hsa-mir-124-2	7	0.697727	N
hsa-mir-124-3	5	0.498376	N
hsa-mir-1243	2	0.199350	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.797402	N
hsa-mir-1245b	10	0.996752	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	191	19.037972	N
hsa-mir-1248	26	2.591556	N
hsa-mir-1249	298	29.703224	N
hsa-mir-1250	6	0.598051	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.897077	N
hsa-mir-1254-2	4	0.398701	N
hsa-mir-1255a	35	3.488634	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.299026	N
hsa-mir-125a	74956	7471.257895	N
hsa-mir-125b-1	80198	7993.755545	N
hsa-mir-125b-2	81365	8110.076560	N
hsa-mir-126	66582	6636.577367	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	38	3.787659	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	1.794154	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.299026	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.199350	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4444	442.956802	N
hsa-mir-1270	1	0.099675	N
hsa-mir-1271	918	91.501878	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	5	0.498376	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.199350	N
hsa-mir-1276	2	0.199350	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	16	1.594804	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11058	1102.208893	N
hsa-mir-128-2	5818	579.910593	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	1.196103	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	93	9.269798	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.099675	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	0.996752	N
hsa-mir-129-2	3	0.299026	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	52	5.183113	N
hsa-mir-1292	42	4.186360	N
hsa-mir-1293	20	1.993505	N
hsa-mir-1294	17	1.694479	N
hsa-mir-1295a	44	4.385711	N
