miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	187519	24856.908307	N
hsa-let-7a-2	178768	23696.904230	Y
hsa-let-7a-3	178469	23657.269763	N
hsa-let-7b	60595	8032.275977	N
hsa-let-7c	14838	1966.876986	Y
hsa-let-7d	23651	3135.099581	N
hsa-let-7e	16325	2163.988866	N
hsa-let-7f-1	157025	20814.722919	N
hsa-let-7f-2	172842	22911.372958	N
hsa-let-7g	160653	21295.638790	N
hsa-let-7i	53453	7085.555702	N
hsa-mir-1-1	577	76.485242	N
hsa-mir-1-2	581	77.015469	N
hsa-mir-100	17845	2365.475119	Y
hsa-mir-101-1	18901	2505.455041	N
hsa-mir-101-2	20229	2681.490399	N
hsa-mir-103a-1	51944	6885.527574	Y
hsa-mir-103a-2	53753	7125.322726	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	218	28.897370	Y
hsa-mir-106b	5786	766.973328	N
hsa-mir-107	5325	705.864668	Y
hsa-mir-10a	60894	8071.910444	N
hsa-mir-10b	19949	2644.374510	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.325567	N
hsa-mir-1180	395	52.359914	N
hsa-mir-1181	2	0.265113	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.590681	N
hsa-mir-1185-2	9	1.193011	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	1.060454	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	20	2.651135	N
hsa-mir-1224	11	1.458124	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	1.590681	N
hsa-mir-1227	5	0.662784	N
hsa-mir-1228	18	2.386021	N
hsa-mir-1229	2	0.265113	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.265113	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.927897	N
hsa-mir-124-2	10	1.325567	N
hsa-mir-124-3	7	0.927897	N
hsa-mir-1243	3	0.397670	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.193011	N
hsa-mir-1245b	1	0.132557	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	332	44.008839	N
hsa-mir-1248	21	2.783692	N
hsa-mir-1249	118	15.641696	N
hsa-mir-1250	30	3.976702	N
hsa-mir-1251	1	0.132557	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.927897	N
hsa-mir-1254-2	3	0.397670	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.397670	N
hsa-mir-125a	106423	14107.086497	N
hsa-mir-125b-1	40098	5315.260370	N
hsa-mir-125b-2	39162	5191.187256	N
hsa-mir-126	17182	2277.589996	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.795340	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	24	3.181362	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	2	0.265113	N
hsa-mir-1266	1	0.132557	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2695	357.240428	N
hsa-mir-1270	25	3.313919	N
hsa-mir-1271	382	50.636677	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	9	1.193011	N
hsa-mir-1276	3	0.397670	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	4	0.530227	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2365	313.496702	N
hsa-mir-128-2	1483	196.581653	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	13	1.723238	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	41	5.434827	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.265113	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	188	24.920668	N
hsa-mir-129-2	246	32.608959	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	43	5.699940	N
hsa-mir-1292	23	3.048805	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.927897	N
hsa-mir-1295a	22	2.916248	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	104	13.785902	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.530227	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	659	87.354895	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.397670	N
hsa-mir-1304	33	4.374373	N
hsa-mir-1305	2	0.265113	N
hsa-mir-1306	55	7.290621	N
hsa-mir-1307	855	113.336017	N
hsa-mir-130a	347	45.997191	N
hsa-mir-130b	2893	383.486664	N
hsa-mir-132	4354	577.152069	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.132557	N
hsa-mir-1323	1	0.132557	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	72	9.544086	N
hsa-mir-133a-2	56	7.423178	Y
hsa-mir-133b	1	0.132557	Y
hsa-mir-134	276	36.585662	N
hsa-mir-1343	18	2.386021	N
hsa-mir-135a-1	1288	170.733088	N
hsa-mir-135a-2	1414	187.435238	N
hsa-mir-135b	2044	270.945987	N
hsa-mir-136	439	58.192411	N
hsa-mir-137	32	4.241816	N
hsa-mir-138-1	25	3.313919	N
hsa-mir-138-2	7	0.927897	N
hsa-mir-139	1218	161.454116	N
hsa-mir-140	16102	2134.428712	N
hsa-mir-141	2364	313.364146	N
hsa-mir-142	3766	499.208703	N
hsa-mir-143	143811	19063.118087	N
hsa-mir-144	216	28.632257	N
hsa-mir-145	15958	2115.340540	N
hsa-mir-1468	123	16.304480	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	7676	1017.505576	N
hsa-mir-146b	140814	18665.845522	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	26	3.446475	N
hsa-mir-148a	175985	23327.998808	N
hsa-mir-148b	1949	258.353096	N
hsa-mir-149	356	47.190201	N
hsa-mir-150	4323	573.042810	N
hsa-mir-151a	21127	2800.526356	N
hsa-mir-151b	139	18.425388	N
hsa-mir-152	1173	155.489062	N
hsa-mir-153-1	6	0.795340	N
hsa-mir-153-2	3	0.397670	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.132557	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	263	34.862424	N
hsa-mir-155	10327	1368.913508	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	917	121.554535	N
hsa-mir-15b	8013	1062.177199	N
hsa-mir-16-1	14377	1905.768326	N
hsa-mir-16-2	15677	2078.092095	N
hsa-mir-17	1720	227.997602	Y
hsa-mir-181a-1	16539	2192.356009	N
hsa-mir-181a-2	17324	2296.413054	N
hsa-mir-181b-1	3980	527.575846	N
hsa-mir-181b-2	4860	644.225782	N
hsa-mir-181c	858	113.733687	N
hsa-mir-181d	271	35.922878	N
