miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	196366	19745.071525	N
hsa-let-7a-2	186160	18718.833785	Y
hsa-let-7a-3	186477	18750.708894	N
hsa-let-7b	90862	9136.391681	N
hsa-let-7c	33728	3391.431166	Y
hsa-let-7d	23826	2395.761355	N
hsa-let-7e	15134	1521.759940	N
hsa-let-7f-1	223871	22510.765139	N
hsa-let-7f-2	242818	24415.931361	N
hsa-let-7g	238192	23950.775983	N
hsa-let-7i	62006	6234.851782	N
hsa-mir-1-1	5557	558.769657	N
hsa-mir-1-2	5954	598.688958	N
hsa-mir-100	49222	4949.389969	Y
hsa-mir-101-1	27443	2759.459366	N
hsa-mir-101-2	29353	2951.514440	N
hsa-mir-103a-1	57472	5778.947224	Y
hsa-mir-103a-2	59754	6008.407789	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	709	71.291648	Y
hsa-mir-106b	6565	660.126471	N
hsa-mir-107	8631	867.867718	Y
hsa-mir-10a	406484	40872.939581	N
hsa-mir-10b	669360	67305.750873	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	21	2.111600	N
hsa-mir-1180	1020	102.563443	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.307181	N
hsa-mir-1185-2	7	0.703867	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.100552	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
