miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	113925	12593.873690	N
hsa-let-7a-2	110607	12227.084373	Y
hsa-let-7a-3	111494	12325.138057	N
hsa-let-7b	63732	7045.273276	N
hsa-let-7c	16197	1790.502279	Y
hsa-let-7d	24189	2673.980344	N
hsa-let-7e	9227	1020.001514	N
hsa-let-7f-1	130761	14455.014418	N
hsa-let-7f-2	140979	15584.566328	N
hsa-let-7g	218009	24099.871049	N
hsa-let-7i	60264	6661.902164	N
hsa-mir-1-1	959	106.012946	N
hsa-mir-1-2	1081	119.499473	N
hsa-mir-100	12460	1377.394480	Y
hsa-mir-101-1	16202	1791.055006	N
hsa-mir-101-2	16822	1859.593094	N
hsa-mir-103a-1	50975	5635.046841	Y
hsa-mir-103a-2	53807	5948.111140	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	12	1.326544	N
hsa-mir-105-2	10	1.105453	N
hsa-mir-106a	446	49.303205	Y
hsa-mir-106b	26607	2941.278888	N
hsa-mir-107	14331	1584.224743	Y
hsa-mir-10a	12035	1330.412726	N
hsa-mir-10b	653735	72267.333918	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.552727	N
hsa-mir-1180	1836	202.961177	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	20	2.210906	N
hsa-mir-1185-2	7	0.773817	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.331636	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.110545	N
hsa-mir-1224	7	0.773817	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	45	4.974539	N
hsa-mir-1227	3	0.331636	N
hsa-mir-1228	8	0.884362	N
hsa-mir-1229	6	0.663272	N
hsa-mir-1231	1	0.110545	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.221091	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.552727	N
hsa-mir-124-2	14	1.547634	N
hsa-mir-124-3	6	0.663272	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.110545	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.331636	N
hsa-mir-1245b	9	0.994908	N
hsa-mir-1246	1	0.110545	N
hsa-mir-1247	280	30.952685	N
hsa-mir-1248	66	7.295990	N
hsa-mir-1249	147	16.250160	N
hsa-mir-1250	6	0.663272	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	8	0.884362	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	29	3.205814	N
hsa-mir-1254-2	32	3.537450	N
hsa-mir-1255a	7	0.773817	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	89990	9947.971853	N
hsa-mir-125b-1	51144	5653.728997	N
hsa-mir-125b-2	51146	5653.950088	N
hsa-mir-126	12329	1362.913046	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	40	4.421812	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	25	2.763633	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	0.994908	N
hsa-mir-1267	3	0.331636	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	21	2.321451	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1656	183.063022	N
hsa-mir-1270	3	0.331636	N
hsa-mir-1271	338	37.364313	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.221091	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	9	0.994908	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	11	1.215998	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3940	435.548495	N
hsa-mir-128-2	2726	301.346497	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	22	2.431997	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	306	33.826863	N
hsa-mir-1288	1	0.110545	N
hsa-mir-1289-1	2	0.221091	N
hsa-mir-1289-2	1	0.110545	N
hsa-mir-129-1	220	24.319967	N
hsa-mir-129-2	126	13.928708	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	43	4.753448	N
hsa-mir-1292	40	4.421812	N
hsa-mir-1293	17	1.879270	N
hsa-mir-1294	18	1.989815	N
hsa-mir-1295a	5	0.552727	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	1284	141.940170	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	16	1.768725	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	3018	333.625726	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
