miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	194812	25118.894795	N
hsa-let-7a-2	184459	23783.987717	Y
hsa-let-7a-3	184872	23837.239588	N
hsa-let-7b	105065	13546.992391	N
hsa-let-7c	42732	5509.828000	Y
hsa-let-7d	30172	3890.352205	N
hsa-let-7e	18034	2325.288733	N
hsa-let-7f-1	192613	24835.357592	N
hsa-let-7f-2	211593	27282.622767	N
hsa-let-7g	220725	28460.095136	N
hsa-let-7i	34465	4443.888000	N
hsa-mir-1-1	3236	417.247108	N
hsa-mir-1-2	3394	437.619494	N
hsa-mir-100	27338	3524.938638	Y
hsa-mir-101-1	20918	2697.149258	N
hsa-mir-101-2	22353	2882.176947	N
hsa-mir-103a-1	60227	7765.618529	Y
hsa-mir-103a-2	62462	8053.797542	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.128939	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1047	134.999296	Y
hsa-mir-106b	6143	792.073233	N
hsa-mir-107	11347	1463.072599	Y
hsa-mir-10a	284250	36650.955001	N
hsa-mir-10b	481559	62091.810868	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.160452	N
hsa-mir-1180	1269	163.623789	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.902574	N
hsa-mir-1185-2	4	0.515757	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.128939	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.644696	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	3.352418	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.257878	N
hsa-mir-1229	15	1.934087	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.128939	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	28	3.610296	N
hsa-mir-124-2	31	3.997114	N
hsa-mir-124-3	26	3.352418	N
hsa-mir-1243	1	0.128939	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.773635	N
hsa-mir-1245b	1	0.128939	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	96	12.378159	N
hsa-mir-1248	22	2.836661	N
hsa-mir-1249	79	10.186193	N
hsa-mir-1250	5	0.644696	N
hsa-mir-1251	5	0.644696	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.289392	N
hsa-mir-1254-2	6	0.773635	N
hsa-mir-1255a	9	1.160452	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.128939	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	288013	37136.153044	N
hsa-mir-125b-1	69323	8938.449089	N
hsa-mir-125b-2	69312	8937.030758	N
hsa-mir-126	48025	6192.302951	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.902574	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.644696	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	1	0.128939	N
hsa-mir-1269a	22	2.836661	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1049	135.257174	N
hsa-mir-1270	56	7.220593	N
hsa-mir-1271	515	66.403665	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.128939	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.128939	N
hsa-mir-1276	3	0.386817	N
hsa-mir-1277	2	0.257878	N
hsa-mir-1278	10	1.289392	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8961	1155.423774	N
hsa-mir-128-2	4466	575.842269	N
hsa-mir-1281	1	0.128939	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	1.289392	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	4	0.515757	N
hsa-mir-1287	57	7.349532	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.128939	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	123	15.859516	N
hsa-mir-129-2	101	13.022855	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	11	1.418331	N
hsa-mir-1292	27	3.481357	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	10	1.289392	N
hsa-mir-1295a	28	3.610296	N
hsa-mir-1295b	3	0.386817	N
hsa-mir-1296	283	36.489781	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	729	93.996644	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	1	0.128939	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.773635	N
hsa-mir-1304	5	0.644696	N
hsa-mir-1305	1	0.128939	N
hsa-mir-1306	135	17.406786	N
hsa-mir-1307	979	126.231433	N
hsa-mir-130a	802	103.409203	N
hsa-mir-130b	464	59.827768	N
hsa-mir-132	1869	240.987282	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	372	47.965366	Y
hsa-mir-133a-2	390	50.286271	Y
hsa-mir-133b	9	1.160452	Y
hsa-mir-134	80	10.315132	N
hsa-mir-1343	9	1.160452	N
hsa-mir-135a-1	5133	661.844686	N
hsa-mir-135a-2	6487	836.428303	N
hsa-mir-135b	579	74.655771	N
hsa-mir-136	83	10.701950	N
hsa-mir-137	13	1.676209	N
hsa-mir-138-1	489	63.051247	N
hsa-mir-138-2	160	20.630265	N
hsa-mir-139	6511	839.522843	N
hsa-mir-140	34967	4508.615457	N
hsa-mir-141	224	28.882371	N
hsa-mir-142	821	105.859047	N
hsa-mir-143	198256	25562.961248	N
hsa-mir-144	1607	207.205223	N
hsa-mir-145	32423	4180.594244	N
hsa-mir-1468	189	24.369500	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2882	371.602647	N
hsa-mir-146b	13256	1709.217448	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.257878	N
hsa-mir-148a	13642	1758.987962	N
hsa-mir-148b	2076	267.677687	N
hsa-mir-149	386	49.770514	N
hsa-mir-150	1835	236.603351	N
hsa-mir-151a	27030	3485.225378	N
hsa-mir-151b	192	24.756318	N
hsa-mir-152	2183	281.474177	N
hsa-mir-153-1	2	0.257878	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.128939	N
hsa-mir-1538	3	0.386817	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	105	13.538611	N
hsa-mir-155	1498	193.150855	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	803	103.538142	N
hsa-mir-15b	9709	1251.870262	N
