miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	146261	19537.358096	N
hsa-let-7a-2	145495	19435.036792	Y
hsa-let-7a-3	145580	19446.390983	N
hsa-let-7b	60845	8127.597605	N
hsa-let-7c	45134	6028.942235	Y
hsa-let-7d	24751	3306.207056	N
hsa-let-7e	16319	2179.871235	N
hsa-let-7f-1	169626	22658.425037	N
hsa-let-7f-2	176116	23525.350971	N
hsa-let-7g	175870	23492.490605	N
hsa-let-7i	69827	9327.401725	N
hsa-mir-1-1	5685	759.395059	N
hsa-mir-1-2	5727	765.005366	N
hsa-mir-100	79257	10587.049115	Y
hsa-mir-101-1	25920	3462.360587	N
hsa-mir-101-2	27299	3646.565651	N
hsa-mir-103a-1	62880	8399.430313	Y
hsa-mir-103a-2	65164	8704.524124	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	84	11.220613	N
hsa-mir-105-2	90	12.022085	N
hsa-mir-106a	294	39.272146	Y
hsa-mir-106b	9118	1217.970827	N
hsa-mir-107	9327	1245.888781	Y
hsa-mir-10a	350699	46845.925755	N
hsa-mir-10b	2877	384.305996	N
hsa-mir-1178	1	0.133579	N
hsa-mir-1179	54	7.213251	N
hsa-mir-1180	850	113.541917	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	126	16.830920	N
hsa-mir-1185-2	59	7.881145	N
hsa-mir-1193	2	0.267157	N
hsa-mir-1197	146	19.502494	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	19	2.537996	N
hsa-mir-1224	46	6.144621	N
hsa-mir-1225	2	0.267157	N
hsa-mir-1226	34	4.541677	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	2.137260	N
hsa-mir-1229	9	1.202209	N
hsa-mir-1231	4	0.534315	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.667894	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	38303	5116.465956	N
hsa-mir-124-2	38018	5078.396019	N
hsa-mir-124-3	38451	5136.235607	N
hsa-mir-1243	5	0.667894	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.133579	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	0.400736	N
hsa-mir-1247	86	11.487770	N
hsa-mir-1248	73	9.751247	N
hsa-mir-1249	843	112.606866	N
hsa-mir-1250	145	19.368915	N
hsa-mir-1251	7	0.935051	N
hsa-mir-1252	12	1.602945	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.801472	N
hsa-mir-1254-2	11	1.469366	N
hsa-mir-1255a	35	4.675255	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.133579	N
hsa-mir-1258	20	2.671575	N
hsa-mir-125a	109695	14652.918388	N
hsa-mir-125b-1	135517	18102.188260	N
hsa-mir-125b-2	139241	18599.635437	N
hsa-mir-126	54948	7339.883856	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	15	2.003681	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.469366	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	12	1.602945	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	4.274519	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	13556	1810.793215	N
hsa-mir-1270	36	4.808834	N
hsa-mir-1271	840	112.206130	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.267157	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.267157	N
hsa-mir-1276	8	1.068630	N
hsa-mir-1277	5	0.667894	N
hsa-mir-1278	14	1.870102	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	134671	17989.180657	N
hsa-mir-128-2	79069	10561.936314	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	6	0.801472	N
hsa-mir-1283-2	1	0.133579	N
hsa-mir-1284	28	3.740204	N
hsa-mir-1285-1	2	0.267157	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	6	0.801472	N
hsa-mir-1287	93	12.422822	N
hsa-mir-1288	5	0.667894	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9725	1299.053114	N
hsa-mir-129-2	12494	1668.932607	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	27	3.606626	N
hsa-mir-1292	31	4.140941	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	9	1.202209	N
hsa-mir-1295a	13	1.736523	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	1837	245.384120	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	66	8.816196	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1586	211.855860	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	1	0.133579	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.935051	N
hsa-mir-1304	15	2.003681	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	62	8.281881	N
hsa-mir-1307	815	108.866662	N
hsa-mir-130a	423	56.503801	N
hsa-mir-130b	1065	142.261344	N
hsa-mir-132	8104	1082.521998	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	7	0.935051	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	783	104.592143	Y
hsa-mir-133a-2	706	94.306581	Y
hsa-mir-133b	29	3.873783	Y
hsa-mir-134	742	99.115415	N
hsa-mir-1343	24	3.205889	N
hsa-mir-135a-1	1717	229.354673	N
hsa-mir-135a-2	1679	224.278682	N
hsa-mir-135b	3670	490.233926	N
hsa-mir-136	2082	278.110908	N
hsa-mir-137	2010	268.493240	N
hsa-mir-138-1	2997	400.335443	N
