miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	323073	37965.584395	N
hsa-let-7a-2	310973	36543.665599	Y
hsa-let-7a-3	310716	36513.464513	N
hsa-let-7b	88594	10411.030893	N
hsa-let-7c	33958	3990.538717	Y
hsa-let-7d	63591	7472.829600	N
hsa-let-7e	19461	2286.938983	N
hsa-let-7f-1	274524	32260.399632	N
hsa-let-7f-2	292854	34414.430337	N
hsa-let-7g	250584	29447.115667	N
hsa-let-7i	66420	7805.276564	N
hsa-mir-1-1	4424	519.881715	N
hsa-mir-1-2	4953	582.046595	N
hsa-mir-100	53084	6238.110526	Y
hsa-mir-101-1	19033	2236.643012	N
hsa-mir-101-2	20937	2460.389573	N
hsa-mir-103a-1	87813	10319.252498	Y
hsa-mir-103a-2	92360	10853.588429	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	687	80.732084	Y
hsa-mir-106b	12524	1471.744711	N
hsa-mir-107	13148	1545.073416	Y
hsa-mir-10a	81378	9563.050230	N
hsa-mir-10b	17460	2051.793568	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.527681	N
hsa-mir-1180	582	68.393119	N
hsa-mir-1181	14	1.645195	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.940112	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	22	2.585307	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.235028	N
hsa-mir-1226	26	3.055363	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	0.470056	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	4	0.470056	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	174	20.447427	N
hsa-mir-1248	29	3.407905	N
hsa-mir-1249	46	5.405642	N
hsa-mir-1250	5	0.587570	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.587570	N
hsa-mir-1254-2	5	0.587570	N
hsa-mir-1255a	25	2.937849	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.117514	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.822598	N
hsa-mir-125a	133904	15735.587972	N
hsa-mir-125b-1	29649	3484.171106	N
hsa-mir-125b-2	30093	3536.347300	N
hsa-mir-126	126227	14833.433377	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.057626	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.762709	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	1	0.117514	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	501	58.874489	N
hsa-mir-1270	50	5.875698	N
hsa-mir-1271	547	64.280131	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.117514	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.352542	N
hsa-mir-1276	7	0.822598	N
hsa-mir-1277	1	0.117514	N
hsa-mir-1278	11	1.292653	N
hsa-mir-1279	0	0.000000	N
