miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	26516	8967.654419	N
hsa-let-7a-2	26676	9021.766076	N
hsa-let-7a-3	26592	8993.357456	N
hsa-let-7b	17490	5915.080547	N
hsa-let-7c	651	220.166806	N
hsa-let-7d	5960	2015.659237	N
hsa-let-7e	1189	402.117254	N
hsa-let-7f-1	36114	12213.677465	N
hsa-let-7f-2	37028	12522.790308	N
hsa-let-7g	5313	1796.845223	N
hsa-let-7i	6507	2200.653466	N
hsa-mir-1-1	37	12.513321	N
hsa-mir-1-2	39	13.189716	N
hsa-mir-100	317	107.208721	N
hsa-mir-101-1	26559	8982.196927	N
hsa-mir-101-2	27671	9358.272945	N
hsa-mir-103a-1	110368	37326.221258	Y
hsa-mir-103a-2	110515	37375.936343	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	340	114.987272	Y
hsa-mir-106b	7186	2430.289812	N
hsa-mir-107	241	81.505684	Y
hsa-mir-10a	15113	5111.184237	N
hsa-mir-10b	39063	13211.022950	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.338198	N
hsa-mir-1180	38	12.851519	N
hsa-mir-1181	3	1.014594	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.338198	N
hsa-mir-1185-2	1	0.338198	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	3.043781	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.014594	N
hsa-mir-1229	1	0.338198	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	2.029187	N
hsa-mir-1248	9	3.043781	N
hsa-mir-1249	19	6.425759	N
hsa-mir-1250	5	1.690989	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.338198	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	1.014594	N
hsa-mir-1254-2	2	0.676396	N
hsa-mir-1255a	9	3.043781	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.676396	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	621	210.020870	N
hsa-mir-125b-1	80	27.055829	N
hsa-mir-125b-2	62	20.968267	N
hsa-mir-126	20765	7022.678534	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	6.763957	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	2.029187	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	347	117.354657	N
hsa-mir-1270	27	9.131342	N
hsa-mir-1271	5	1.690989	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	17	5.749364	N
hsa-mir-1275	0	0.000000	N
