miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	208222	26862.010165	N
hsa-let-7a-2	202921	26178.146232	Y
hsa-let-7a-3	204235	26347.660891	N
hsa-let-7b	66181	8537.785127	N
hsa-let-7c	34821	4492.138467	Y
hsa-let-7d	35858	4625.918301	N
hsa-let-7e	17920	2311.798091	N
hsa-let-7f-1	175330	22618.725410	N
hsa-let-7f-2	184936	23857.962712	N
hsa-let-7g	160607	20719.361386	N
hsa-let-7i	68153	8792.186122	N
hsa-mir-1-1	4790	617.941566	N
hsa-mir-1-2	5132	662.061819	N
hsa-mir-100	83248	10739.540597	Y
hsa-mir-101-1	11201	1445.002814	N
hsa-mir-101-2	11663	1504.603858	N
hsa-mir-103a-1	55671	7181.925867	Y
hsa-mir-103a-2	59180	7634.609991	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	453	58.439985	Y
hsa-mir-106b	8503	1096.943034	N
hsa-mir-107	9921	1279.874379	Y
hsa-mir-10a	79496	10255.507872	N
hsa-mir-10b	34129	4402.865907	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.516026	N
hsa-mir-1180	415	53.537735	N
hsa-mir-1181	1	0.129007	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.161059	N
hsa-mir-1185-2	1	0.129007	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.129007	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.258013	N
hsa-mir-1226	19	2.451125	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.516026	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
