miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	163911	16503.791187	N
hsa-let-7a-2	159549	16064.592249	Y
hsa-let-7a-3	159667	16076.473376	N
hsa-let-7b	139074	14003.015390	N
hsa-let-7c	42677	4297.041056	Y
hsa-let-7d	23128	2328.700835	N
hsa-let-7e	12964	1305.312938	N
hsa-let-7f-1	205361	20677.288662	N
hsa-let-7f-2	222211	22373.873282	N
hsa-let-7g	230234	23181.689210	N
hsa-let-7i	38211	3847.370616	N
hsa-mir-1-1	3733	375.866492	N
hsa-mir-1-2	3942	396.910182	N
hsa-mir-100	64005	6444.504365	Y
hsa-mir-101-1	26288	2646.873381	N
hsa-mir-101-2	28066	2825.895782	N
hsa-mir-103a-1	59273	5968.051046	Y
hsa-mir-103a-2	62421	6285.015342	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.503438	N
hsa-mir-105-2	3	0.302063	N
hsa-mir-106a	1053	106.023953	Y
hsa-mir-106b	6286	632.921716	N
hsa-mir-107	18721	1884.970959	Y
hsa-mir-10a	293330	29534.668624	N
hsa-mir-10b	853509	85937.699802	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.208250	N
hsa-mir-1180	938	94.444889	N
hsa-mir-1181	1	0.100688	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.604125	N
hsa-mir-1185-2	5	0.503438	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.100688	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.201375	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.201375	N
hsa-mir-1226	55	5.537813	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.201375	N
hsa-mir-1229	15	1.510313	N
hsa-mir-1231	3	0.302063	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.100688	N
hsa-mir-124-1	73	7.350189	N
