miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	324300	28163.800944	N
hsa-let-7a-2	310798	26991.221110	Y
hsa-let-7a-3	309882	26911.671182	N
hsa-let-7b	111271	9663.318825	N
hsa-let-7c	71468	6206.631285	Y
hsa-let-7d	46432	4032.382379	N
hsa-let-7e	32742	2843.475703	N
hsa-let-7f-1	264448	22965.960013	N
hsa-let-7f-2	285477	24792.221407	N
hsa-let-7g	355606	30882.567371	N
hsa-let-7i	136698	11871.524087	N
hsa-mir-1-1	2065	179.334718	N
hsa-mir-1-2	2243	194.793110	N
hsa-mir-100	179168	15559.826974	Y
hsa-mir-101-1	15826	1374.407381	N
hsa-mir-101-2	17414	1512.317082	N
hsa-mir-103a-1	69841	6065.334634	Y
hsa-mir-103a-2	72639	6308.326663	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.260535	N
hsa-mir-105-2	2	0.173690	N
hsa-mir-106a	271	23.534968	Y
hsa-mir-106b	7906	686.595776	N
hsa-mir-107	6124	531.838165	Y
hsa-mir-10a	259595	22544.501715	N
hsa-mir-10b	83418	7244.427836	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	418	36.301168	N
hsa-mir-1180	1029	89.363402	N
hsa-mir-1181	1	0.086845	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	46	3.994865	N
hsa-mir-1185-2	46	3.994865	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	27	2.344812	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	26	2.257967	N
hsa-mir-1224	148	12.853045	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	1.997433	N
hsa-mir-1227	2	0.173690	N
hsa-mir-1228	15	1.302673	N
hsa-mir-1229	6	0.521069	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.173690	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	24	2.084278	N
hsa-mir-124-2	36	3.126416	N
hsa-mir-124-3	27	2.344812	N
hsa-mir-1243	1	0.086845	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	29	2.518502	N
hsa-mir-1245b	4	0.347380	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2301	199.830114	N
hsa-mir-1248	49	4.255400	N
hsa-mir-1249	269	23.361278	N
hsa-mir-1250	52	4.515935	N
hsa-mir-1251	1	0.086845	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.128984	N
hsa-mir-1254-2	10	0.868449	N
hsa-mir-1255a	28	2.431657	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.173690	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.434224	N
hsa-mir-125a	327319	28425.985696	N
hsa-mir-125b-1	215618	18725.323565	N
hsa-mir-125b-2	215322	18699.617474	N
hsa-mir-126	58126	5047.946635	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	11	0.955294	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	21	1.823743	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	2	0.173690	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	2	0.173690	N
hsa-mir-127	8630	749.471484	N
hsa-mir-1270	86	7.468661	N
hsa-mir-1271	1211	105.169173	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.173690	N
hsa-mir-1275	4	0.347380	N
hsa-mir-1276	6	0.521069	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	3	0.260535	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6805	590.979542	N
hsa-mir-128-2	4242	368.396064	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	15	1.302673	N
hsa-mir-1285-1	3	0.260535	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	76	6.600212	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.086845	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1180	102.476982	N
hsa-mir-129-2	1545	134.175370	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	29	2.518502	N
hsa-mir-1292	34	2.952727	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	10	0.868449	N
hsa-mir-1295a	38	3.300106	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	608	52.801699	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	5	0.434224	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1307	113.506284	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.260535	N
hsa-mir-1304	19	1.650053	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	118	10.247698	N
hsa-mir-1307	1006	87.365969	N
hsa-mir-130a	1059	91.968749	N
hsa-mir-130b	1997	173.429265	N
hsa-mir-132	6076	527.669610	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	364	31.611543	Y
hsa-mir-133a-2	375	32.566837	Y
