miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	139572	20798.119568	N
hsa-let-7a-2	138710	20669.669886	Y
hsa-let-7a-3	140052	20869.646073	N
hsa-let-7b	59481	8863.475124	N
hsa-let-7c	70706	10536.152253	Y
hsa-let-7d	24061	3585.415090	N
hsa-let-7e	31189	4647.583693	N
hsa-let-7f-1	159235	23728.173054	N
hsa-let-7f-2	166317	24783.487033	N
hsa-let-7g	180834	26946.716777	N
hsa-let-7i	39447	5878.137611	N
hsa-mir-1-1	1852	275.973099	N
hsa-mir-1-2	1858	276.867181	N
hsa-mir-100	93044	13864.816991	Y
hsa-mir-101-1	24859	3704.327905	N
hsa-mir-101-2	25184	3752.757310	N
hsa-mir-103a-1	89977	13407.792425	Y
hsa-mir-103a-2	93397	13917.418775	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	237	35.316212	N
hsa-mir-105-2	242	36.061280	N
hsa-mir-106a	289	43.064917	Y
hsa-mir-106b	4175	622.131582	N
hsa-mir-107	10811	1610.985518	Y
hsa-mir-10a	442	65.863990	N
hsa-mir-10b	399	59.456408	N
hsa-mir-1178	1	0.149014	N
hsa-mir-1179	184	27.418494	N
hsa-mir-1180	1821	271.353679	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	96	14.305301	N
hsa-mir-1185-2	60	8.940813	N
hsa-mir-1193	1	0.149014	N
hsa-mir-1197	359	53.495865	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	21	3.129285	N
hsa-mir-1224	123	18.328667	N
hsa-mir-1225	10	1.490136	N
hsa-mir-1226	16	2.384217	N
hsa-mir-1227	2	0.298027	N
hsa-mir-1228	30	4.470407	N
hsa-mir-1229	21	3.129285	N
hsa-mir-1231	1	0.149014	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.596054	N
hsa-mir-1236	3	0.447041	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.149014	N
hsa-mir-124-1	41825	6232.491839	N
hsa-mir-124-2	42141	6279.580122	N
hsa-mir-124-3	42237	6293.885423	N
hsa-mir-1243	4	0.596054	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	61	9.089827	N
hsa-mir-1248	28	4.172379	N
hsa-mir-1249	970	144.543146	N
hsa-mir-1250	286	42.617876	N
hsa-mir-1251	15	2.235203	N
hsa-mir-1252	30	4.470407	N
hsa-mir-1253	4	0.596054	N
hsa-mir-1254-1	1	0.149014	N
hsa-mir-1254-2	1	0.149014	N
hsa-mir-1255a	5	0.745068	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.447041	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	2.086190	N
hsa-mir-125a	39592	5899.744576	N
hsa-mir-125b-1	60883	9072.392125	N
hsa-mir-125b-2	64819	9658.909468	N
hsa-mir-126	37208	5544.496266	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.341122	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.937176	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	121	18.030640	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.298027	N
hsa-mir-1267	3	0.447041	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.596054	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	20232	3014.842197	N
hsa-mir-1270	40	5.960542	N
hsa-mir-1271	899	133.963184	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.149014	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	10	1.490136	N
hsa-mir-1277	6	0.894081	N
hsa-mir-1278	4	0.596054	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	112795	16807.983669	N
hsa-mir-128-2	77158	11497.587694	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	8	1.192108	N
hsa-mir-1283-2	4	0.596054	N
hsa-mir-1284	11	1.639149	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	5	0.745068	N
hsa-mir-1287	67	9.983908	N
hsa-mir-1288	5	0.745068	N
hsa-mir-1289-1	1	0.149014	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6237	929.397528	N
hsa-mir-129-2	9684	1443.047244	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	40	5.960542	N
hsa-mir-1292	60	8.940813	N
hsa-mir-1293	1	0.149014	N
hsa-mir-1294	3	0.447041	N
hsa-mir-1295a	15	2.235203	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	2504	373.129936	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	382	56.923177	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2599	387.286223	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.447041	N
hsa-mir-1304	11	1.639149	N
hsa-mir-1305	2	0.298027	N
hsa-mir-1306	56	8.344759	N
hsa-mir-1307	1166	173.749802	N
hsa-mir-130a	209	31.143833	N
hsa-mir-130b	439	65.416950	N
hsa-mir-132	10628	1583.716037	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	3	0.447041	N
hsa-mir-1323	1	0.149014	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	367	54.687974	Y
hsa-mir-133a-2	329	49.025459	Y
hsa-mir-133b	14	2.086190	Y
hsa-mir-134	1167	173.898816	N
hsa-mir-1343	44	6.556596	N
hsa-mir-135a-1	4818	717.947297	N
hsa-mir-135a-2	4969	740.448343	N
hsa-mir-135b	218	32.484954	N
hsa-mir-136	3375	502.920740	N
hsa-mir-137	9100	1356.023329	N
hsa-mir-138-1	7103	1058.443264	N
hsa-mir-138-2	2348	349.883822	N
hsa-mir-139	33001	4917.596250	N
hsa-mir-140	38635	5757.138606	N
hsa-mir-141	3	0.447041	N
hsa-mir-142	2354	350.777903	N
hsa-mir-143	89048	13269.358835	N
hsa-mir-144	1261	187.906090	N
hsa-mir-145	8163	1216.397630	N
hsa-mir-1468	75	11.176016	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	7559	1126.393444	N
hsa-mir-146b	38553	5744.919495	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	1.043095	N
hsa-mir-148a	3251	484.443060	N
hsa-mir-148b	5597	834.028854	N
hsa-mir-149	7783	1159.772480	N
hsa-mir-150	1703	253.770080	N
hsa-mir-151a	30831	4594.236841	N
hsa-mir-151b	376	56.029096	N
hsa-mir-152	2978	443.762360	N
hsa-mir-153-1	315	46.939269	N
hsa-mir-153-2	179	26.673426	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	4	0.596054	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	2583	384.902006	N
hsa-mir-155	2669	397.717172	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1695	252.577972	N
hsa-mir-15b	5174	770.996121	N
hsa-mir-16-1	20143	3001.579991	N
hsa-mir-16-2	20580	3066.698913	N
hsa-mir-17	1224	182.392588	Y
hsa-mir-181a-1	48506	7228.051384	N
hsa-mir-181a-2	48887	7284.825548	N
hsa-mir-181b-1	13049	1944.477848	N
hsa-mir-181b-2	15259	2273.797800	N
hsa-mir-181c	2471	368.212489	N
hsa-mir-181d	1515	225.755532	N
hsa-mir-182	1021	152.142837	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	345	51.409676	N
hsa-mir-184	116	17.285572	N
hsa-mir-185	5241	780.980029	N
hsa-mir-186	10902	1624.545751	N
hsa-mir-187	51	7.599691	N
hsa-mir-188	6	0.894081	N
hsa-mir-18a	170	25.332304	Y
hsa-mir-18b	5	0.745068	Y
hsa-mir-1908	4	0.596054	N
hsa-mir-1909	1	0.149014	N
hsa-mir-190a	280	41.723795	N
hsa-mir-190b	13	1.937176	N
hsa-mir-191	47534	7083.210211	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	3	0.447041	N
hsa-mir-1912	103	15.348396	N
hsa-mir-1913	1	0.149014	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	957	142.605970	N
hsa-mir-193a	654	97.454863	N
hsa-mir-193b	2368	352.864093	N
hsa-mir-194-1	262	39.041551	N
hsa-mir-194-2	803	119.657883	N
hsa-mir-195	6470	964.117686	N
hsa-mir-196a-1	2	0.298027	N
hsa-mir-196a-2	7	1.043095	N
hsa-mir-196b	11	1.639149	N
hsa-mir-197	4135	616.171040	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	3.725339	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4032	600.822644	Y
hsa-mir-199a-2	6920	1031.173784	Y
hsa-mir-199b	11156	1662.395193	Y
hsa-mir-19a	123	18.328667	N
hsa-mir-19b-1	699	104.160473	N
hsa-mir-19b-2	709	105.650609	N
hsa-mir-200a	166	24.736250	N
hsa-mir-200b	389	57.966272	N
hsa-mir-200c	110	16.391491	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	982	146.331309	N
hsa-mir-203b	55	8.195745	N
hsa-mir-204	5116	762.353335	N
hsa-mir-205	23	3.427312	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	4	0.596054	N
