miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	110636	15339.386491	N
hsa-let-7a-2	105603	14641.574457	Y
hsa-let-7a-3	106109	14711.730008	N
hsa-let-7b	30082	4170.789114	N
hsa-let-7c	6014	833.825069	Y
hsa-let-7d	22968	3184.451977	N
hsa-let-7e	8227	1140.651620	N
hsa-let-7f-1	133097	18453.544270	N
hsa-let-7f-2	141203	19577.419562	N
hsa-let-7g	186432	25848.299851	N
hsa-let-7i	43286	6001.488518	N
hsa-mir-1-1	16630	2305.705171	N
hsa-mir-1-2	17414	2414.404682	N
hsa-mir-100	31622	4384.306009	Y
hsa-mir-101-1	16651	2308.616765	N
hsa-mir-101-2	17186	2382.793089	N
hsa-mir-103a-1	55892	7749.276816	Y
hsa-mir-103a-2	59082	8191.561812	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.415942	N
hsa-mir-105-2	4	0.554589	N
hsa-mir-106a	669	92.755067	Y
hsa-mir-106b	9629	1335.035183	N
hsa-mir-107	9477	1313.960788	Y
hsa-mir-10a	98699	13684.353260	N
hsa-mir-10b	46344	6425.472066	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.802415	N
hsa-mir-1180	332	46.030915	N
hsa-mir-1181	9	1.247826	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.277295	N
hsa-mir-1185-2	13	1.802415	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	1.802415	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	16	2.218357	N
hsa-mir-1224	10	1.386473	N
hsa-mir-1225	2	0.277295	N
hsa-mir-1226	19	2.634299	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.277295	N
hsa-mir-1229	3	0.415942	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.554589	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.277295	N
hsa-mir-1238	1	0.138647	N
hsa-mir-124-1	67	9.289371	N
hsa-mir-124-2	77	10.675845	N
hsa-mir-124-3	79	10.953139	N
hsa-mir-1243	1	0.138647	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.970531	N
hsa-mir-1245b	3	0.415942	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	113	15.667149	N
hsa-mir-1248	17	2.357005	N
hsa-mir-1249	54	7.486956	N
hsa-mir-1250	9	1.247826	N
hsa-mir-1251	1	0.138647	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.554589	N
hsa-mir-1254-2	13	1.802415	N
hsa-mir-1255a	14	1.941063	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.138647	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.138647	N
hsa-mir-125a	85801	11896.079941	N
hsa-mir-125b-1	22525	3123.031208	N
hsa-mir-125b-2	22402	3105.977586	N
hsa-mir-126	25784	3574.882871	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.831884	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.247826	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	5	0.693237	N
hsa-mir-1266	8	1.109179	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.277295	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1042	144.470522	N
hsa-mir-1270	13	1.802415	N
hsa-mir-1271	257	35.632365	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.277295	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.138647	N
hsa-mir-1276	6	0.831884	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	12	1.663768	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3340	463.082097	N
hsa-mir-128-2	2442	338.576791	N
hsa-mir-1281	0	0.000000	N
