miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	336246	44419.755500	N
hsa-let-7a-2	327372	43247.456320	Y
hsa-let-7a-3	329750	43561.601852	N
hsa-let-7b	274594	36275.222134	N
hsa-let-7c	189255	25001.519207	Y
hsa-let-7d	60077	7936.468095	N
hsa-let-7e	22351	2952.677371	N
hsa-let-7f-1	151032	19952.072330	N
hsa-let-7f-2	157872	20855.670076	N
hsa-let-7g	206799	27319.168162	N
hsa-let-7i	39781	5255.266363	N
hsa-mir-1-1	729	96.304497	N
hsa-mir-1-2	741	97.889756	N
hsa-mir-100	27710	3660.627710	Y
hsa-mir-101-1	2759	364.477512	N
hsa-mir-101-2	3099	409.393189	N
hsa-mir-103a-1	36085	4767.006529	Y
hsa-mir-103a-2	37457	4948.254498	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.132105	N
hsa-mir-106a	296	39.103060	Y
hsa-mir-106b	8153	1077.051524	N
hsa-mir-107	4096	541.101808	Y
hsa-mir-10a	174187	23010.962067	N
hsa-mir-10b	448574	59258.838481	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	42	5.548407	N
hsa-mir-1180	579	76.488757	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.396315	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	490	64.731417	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	12	1.585259	N
hsa-mir-1226	22	2.906309	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	81	10.700500	N
hsa-mir-1229	3	0.396315	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.660525	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.132105	N
hsa-mir-124-2	3	0.396315	N
hsa-mir-124-3	2	0.264210	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	2.113679	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	538	71.072454	N
hsa-mir-1248	36	4.755778	N
hsa-mir-1249	48	6.341037	N
hsa-mir-1250	3	0.396315	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.585259	N
