miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	69253	16873.151800	N
hsa-let-7a-2	68525	16695.778191	N
hsa-let-7a-3	68840	16772.526387	N
hsa-let-7b	36991	9012.674660	N
hsa-let-7c	1723	419.800450	N
hsa-let-7d	7904	1925.770607	N
hsa-let-7e	3220	784.537115	N
hsa-let-7f-1	72092	17564.860144	N
hsa-let-7f-2	74059	18044.109990	N
hsa-let-7g	10635	2591.165284	N
hsa-let-7i	9769	2380.168656	N
hsa-mir-1-1	48	11.694963	N
hsa-mir-1-2	38	9.258513	N
hsa-mir-100	485	118.167857	N
hsa-mir-101-1	24735	6026.560723	N
hsa-mir-101-2	25001	6091.370311	N
hsa-mir-103a-1	149965	36538.232418	Y
hsa-mir-103a-2	150228	36602.311071	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	437	106.472894	Y
hsa-mir-106b	8411	2049.298655	N
hsa-mir-107	416	101.356348	Y
hsa-mir-10a	24378	5939.579435	N
hsa-mir-10b	64571	15732.405598	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.487290	N
hsa-mir-1180	46	11.207673	N
hsa-mir-1181	1	0.243645	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.487290	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	3.898321	N
hsa-mir-1227	1	0.243645	N
hsa-mir-1228	12	2.923741	N
hsa-mir-1229	14	3.411031	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.730935	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.730935	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.243645	N
hsa-mir-1248	28	6.822062	N
hsa-mir-1249	59	14.375059	N
hsa-mir-1250	3	0.730935	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	1.218225	N
hsa-mir-1254-2	7	1.705515	N
hsa-mir-1255a	15	3.654676	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.243645	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	921	224.397106	N
hsa-mir-125b-1	176	42.881532	N
hsa-mir-125b-2	154	37.521340	N
hsa-mir-126	40749	9928.292820	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.243645	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	3.411031	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.974580	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	559	136.197592	N
hsa-mir-1270	64	15.593284	N
hsa-mir-1271	23	5.603837	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	40	9.745803	N
hsa-mir-1275	4	0.974580	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	91	22.171701	N
hsa-mir-1278	2	0.487290	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	559	136.197592	N
hsa-mir-128-2	268	65.296878	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	4.872901	N
hsa-mir-1285-1	9	2.192806	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	123	29.968343	N
hsa-mir-1288	8	1.949161	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.487290	N
hsa-mir-129-2	1	0.243645	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	28	6.822062	N
hsa-mir-1292	5	1.218225	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.974580	N
hsa-mir-1295a	6	1.461870	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	70	17.055155	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	272	66.271458	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	15	3.654676	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	82	19.978895	N
hsa-mir-1307	18471	4500.368026	N
hsa-mir-130a	1826	444.895892	N
hsa-mir-130b	1347	328.189905	N
hsa-mir-132	232	56.525655	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	28	6.822062	N
hsa-mir-133a-2	41	9.989448	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1084	264.111252	N
hsa-mir-1343	22	5.360191	N
hsa-mir-135a-1	1	0.243645	N
hsa-mir-135a-2	5	1.218225	N
hsa-mir-135b	3	0.730935	N
hsa-mir-136	75	18.273380	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	1217	296.516046	N
hsa-mir-140	22866	5571.188094	N
hsa-mir-141	174	42.394242	N
hsa-mir-142	298374	72697.353113	N
hsa-mir-143	41559	10125.645324	N
hsa-mir-144	1265	308.211009	N
hsa-mir-145	6416	1563.226748	N
hsa-mir-1468	29	7.065707	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2311	563.063749	N
hsa-mir-146b	4652	1133.436850	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.243645	N
hsa-mir-148a	121482	29598.489985	N
hsa-mir-148b	900	219.280560	N
hsa-mir-149	6	1.461870	N
hsa-mir-150	13297	3239.748451	N
hsa-mir-151a	4771	1162.430613	N
hsa-mir-151b	5	1.218225	N
hsa-mir-152	366	89.174094	N
hsa-mir-153-1	32	7.796642	N
hsa-mir-153-2	57	13.887769	N
hsa-mir-1537	61	14.862349	N
hsa-mir-1538	5	1.218225	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	22	5.360191	N
hsa-mir-155	5796	1412.166806	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	9841	2397.711101	N
hsa-mir-15b	10460	2548.527397	N
hsa-mir-16-1	8746	2130.919753	N
hsa-mir-16-2	8742	2129.945173	N
hsa-mir-17	28188	6867.867138	Y
hsa-mir-181a-1	19359	4716.724845	N
hsa-mir-181a-2	19980	4868.028431	N
hsa-mir-181b-1	1813	441.728506	N
hsa-mir-181b-2	1796	437.586540	N
hsa-mir-181c	528	128.644595	N
hsa-mir-181d	88	21.440766	N
hsa-mir-182	13418	3269.229504	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3763	916.836386	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	2246	547.226820	N
hsa-mir-186	4795	1168.278095	N
hsa-mir-187	10	2.436451	N
hsa-mir-188	81	19.735250	N
hsa-mir-18a	787	191.748667	Y
hsa-mir-18b	15	3.654676	Y
hsa-mir-1908	2	0.487290	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	19	4.629256	N
hsa-mir-190b	40	9.745803	N
hsa-mir-191	32543	7928.941404	N
hsa-mir-1910	10	2.436451	N
hsa-mir-1911	0	0.000000	N
