miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	105222	12476.507688	N
hsa-let-7a-2	103033	12216.950985	Y
hsa-let-7a-3	102672	12174.146066	N
hsa-let-7b	68547	8127.836122	N
hsa-let-7c	22317	2646.197773	Y
hsa-let-7d	13454	1595.283633	N
hsa-let-7e	8825	1046.408359	N
hsa-let-7f-1	146790	17405.357848	N
hsa-let-7f-2	159689	18934.833363	N
hsa-let-7g	153947	18253.986134	N
hsa-let-7i	25772	3055.868128	N
hsa-mir-1-1	3111	368.881179	N
hsa-mir-1-2	3291	390.224352	N
hsa-mir-100	51742	6135.213746	Y
hsa-mir-101-1	25864	3066.776861	N
hsa-mir-101-2	27761	3291.710193	N
hsa-mir-103a-1	50338	5968.736994	Y
hsa-mir-103a-2	52877	6269.794311	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.118573	N
hsa-mir-105-2	1	0.118573	N
hsa-mir-106a	1114	132.090528	Y
hsa-mir-106b	5136	608.991879	N
hsa-mir-107	14711	1744.330127	Y
hsa-mir-10a	255486	30293.788781	N
hsa-mir-10b	1026578	121724.623263	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.830012	N
hsa-mir-1180	544	64.503813	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.948585	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.118573	N
hsa-mir-1226	21	2.490037	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.067159	N
hsa-mir-1229	10	1.185732	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	12	1.422878	N
hsa-mir-1236	2	0.237146	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	85	10.078721	N
hsa-mir-124-2	80	9.485855	N
hsa-mir-124-3	75	8.892989	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.118573	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	85	10.078721	N
hsa-mir-1248	45	5.335793	N
hsa-mir-1249	69	8.181550	N
hsa-mir-1250	4	0.474293	N
hsa-mir-1251	22	2.608610	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.948585	N
hsa-mir-1254-2	5	0.592866	N
hsa-mir-1255a	2	0.237146	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	206312	24463.070974	N
hsa-mir-125b-1	59187	7017.991109	N
hsa-mir-125b-2	60103	7126.604147	N
hsa-mir-126	62817	7448.411771	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	15	1.778598	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.897171	N
hsa-mir-1263	14	1.660025	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	1	0.118573	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	36	4.268635	N
hsa-mir-1269b	10	1.185732	N
hsa-mir-127	1017	120.588929	N
hsa-mir-1270	94	11.145879	N
hsa-mir-1271	464	55.017958	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.118573	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.474293	N
hsa-mir-1277	2	0.237146	N
hsa-mir-1278	4	0.474293	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4505	534.172199	N
hsa-mir-128-2	2327	275.919802	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.592866	N
hsa-mir-1285-1	2	0.237146	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	48	5.691513	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	101	11.975892	N
hsa-mir-129-2	96	11.383026	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	38	4.505781	N
hsa-mir-1292	13	1.541451	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.355720	N
hsa-mir-1295a	15	1.778598	N
hsa-mir-1295b	1	0.118573	N
hsa-mir-1296	440	52.172201	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	9	1.067159	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	512	60.709471	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	13	1.541451	N
hsa-mir-1304	1	0.118573	N
hsa-mir-1305	2	0.237146	N
hsa-mir-1306	68	8.062977	N
hsa-mir-1307	1109	131.497662	N
hsa-mir-130a	794	94.147109	N
hsa-mir-130b	299	35.453382	N
hsa-mir-132	1183	140.272078	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	486	57.626568	Y
hsa-mir-133a-2	512	60.709471	Y
hsa-mir-133b	7	0.830012	Y
hsa-mir-134	60	7.114391	N
hsa-mir-1343	15	1.778598	N
hsa-mir-135a-1	14864	1762.471824	N
hsa-mir-135a-2	15871	1881.875021	N
hsa-mir-135b	1583	187.701352	N
hsa-mir-136	159	18.853136	N
hsa-mir-137	4	0.474293	N
hsa-mir-138-1	993	117.743173	N
hsa-mir-138-2	369	43.753505	N
hsa-mir-139	4973	589.664450	N
hsa-mir-140	45979	5451.876480	N
hsa-mir-141	174	20.631734	N
hsa-mir-142	1022	121.181795	N
hsa-mir-143	279978	33197.883231	N
hsa-mir-144	750	88.929889	N
hsa-mir-145	58294	6912.105255	N
hsa-mir-1468	137	16.244526	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6902	818.392124	N
hsa-mir-146b	20846	2471.776618	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.237146	N
hsa-mir-148a	17872	2119.139965	N
hsa-mir-148b	2977	352.992372	N
hsa-mir-149	528	62.606642	N
hsa-mir-150	1992	236.197785	N
hsa-mir-151a	21152	2508.060012	N
hsa-mir-151b	124	14.703075	N
hsa-mir-152	3190	378.248461	N
hsa-mir-153-1	1	0.118573	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.118573	N
hsa-mir-1539	1	0.118573	N
hsa-mir-154	76	9.011562	N
hsa-mir-155	1408	166.951045	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1262	149.639360	N
hsa-mir-15b	5629	667.448459	N
hsa-mir-16-1	12929	1533.032711	N
hsa-mir-16-2	13936	1652.435908	N
hsa-mir-17	2689	318.843295	Y
hsa-mir-181a-1	17255	2045.980310	N
hsa-mir-181a-2	18061	2141.550297	N
hsa-mir-181b-1	3767	446.665188	N
hsa-mir-181b-2	4617	547.452396	N
hsa-mir-181c	293	34.741943	N
hsa-mir-181d	151	17.904551	N
hsa-mir-182	4494	532.867894	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2738	324.653381	N
hsa-mir-184	226	26.797540	N
hsa-mir-185	1883	223.273308	N
hsa-mir-186	9011	1068.462971	N
hsa-mir-187	144	17.074539	N
hsa-mir-188	158	18.734563	N
hsa-mir-18a	132	15.651660	N
hsa-mir-18b	5	0.592866	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	2	0.237146	N
hsa-mir-190a	1706	202.285854	N
hsa-mir-190b	10	1.185732	N
hsa-mir-191	51352	6088.970204	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	3	0.355720	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	99127	11753.804124	Y
hsa-mir-193a	882	104.581549	N
hsa-mir-193b	2112	250.426567	N
hsa-mir-194-1	13638	1617.101099	N
hsa-mir-194-2	64980	7704.885571	N
hsa-mir-195	9053	1073.443045	N
hsa-mir-196a-1	1966	233.114882	N
hsa-mir-196a-2	5793	686.894462	N
hsa-mir-196b	2738	324.653381	N
hsa-mir-197	2784	330.107747	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	2.964330	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	26307	3119.304782	Y
hsa-mir-199a-2	45694	5418.083122	Y
hsa-mir-199b	59755	7085.340679	Y
hsa-mir-19a	259	30.710455	N
hsa-mir-19b-1	1750	207.503074	N
hsa-mir-19b-2	1823	216.158917	N
hsa-mir-200a	21320	2527.980307	N
hsa-mir-200b	64030	7592.241045	N
hsa-mir-200c	16638	1972.820655	N
hsa-mir-202	2	0.237146	N
hsa-mir-203a	1136	134.699138	N
hsa-mir-203b	5	0.592866	N
hsa-mir-204	111313	13198.736958	N
hsa-mir-205	288	34.149077	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	26	3.082903	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	6711	795.744646	N
