miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	110756	12574.910331	N
hsa-let-7a-2	108077	12270.744554	Y
hsa-let-7a-3	107862	12246.334087	N
hsa-let-7b	63059	7159.533304	N
hsa-let-7c	26144	2968.312829	Y
hsa-let-7d	15123	1717.020919	N
hsa-let-7e	9518	1080.645712	N
hsa-let-7f-1	144812	16441.528359	N
hsa-let-7f-2	155642	17671.134690	N
hsa-let-7g	166345	18886.321816	N
hsa-let-7i	31696	3598.670572	N
hsa-mir-1-1	3074	349.012914	N
hsa-mir-1-2	3169	359.798935	N
hsa-mir-100	57484	6526.564209	Y
hsa-mir-101-1	22798	2588.417835	N
hsa-mir-101-2	24474	2778.705943	N
hsa-mir-103a-1	47064	5343.508070	Y
hsa-mir-103a-2	49417	5610.660766	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.340611	N
hsa-mir-105-2	1	0.113537	N
hsa-mir-106a	1122	127.388578	Y
hsa-mir-106b	4894	555.650359	N
hsa-mir-107	9997	1135.029963	Y
hsa-mir-10a	360353	40913.419251	N
hsa-mir-10b	907983	103089.718005	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	700	79.475940	N
hsa-mir-1181	1	0.113537	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.362445	N
hsa-mir-1185-2	9	1.021834	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	0.908296	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.908296	N
