miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	467720	41571.936863	N
hsa-let-7a-2	457890	40698.225798	Y
hsa-let-7a-3	457996	40707.647301	N
hsa-let-7b	188077	16716.679144	N
hsa-let-7c	48071	4272.651537	Y
hsa-let-7d	79815	7094.124991	N
hsa-let-7e	25182	2238.229099	N
hsa-let-7f-1	330582	29382.823125	N
hsa-let-7f-2	348371	30963.946842	N
hsa-let-7g	343962	30572.065653	N
hsa-let-7i	73694	6550.077643	N
hsa-mir-1-1	11927	1060.096833	N
hsa-mir-1-2	12310	1094.138679	N
hsa-mir-100	145650	12945.678192	Y
hsa-mir-101-1	23425	2082.063245	N
hsa-mir-101-2	26406	2347.020792	N
hsa-mir-103a-1	95969	8529.926471	Y
hsa-mir-103a-2	100349	8919.230078	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	442	39.285889	Y
hsa-mir-106b	11213	996.635012	N
hsa-mir-107	11930	1060.363480	Y
hsa-mir-10a	188131	16721.478778	N
hsa-mir-10b	12788	1136.624324	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.711057	N
hsa-mir-1180	1645	146.211058	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.533293	N
hsa-mir-1185-2	5	0.444411	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.088882	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.533293	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.355528	N
hsa-mir-1226	35	3.110874	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	0.799939	N
hsa-mir-1229	14	1.244349	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.622175	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.088882	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.177764	N
hsa-mir-124-2	2	0.177764	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.088882	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	414	36.797190	N
hsa-mir-1248	61	5.421808	N
hsa-mir-1249	121	10.754734	N
hsa-mir-1250	20	1.777642	N
hsa-mir-1251	1	0.088882	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	15	1.333232	N
hsa-mir-1254-2	7	0.622175	N
hsa-mir-1255a	14	1.244349	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.355528	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	0.799939	N
hsa-mir-125a	356005	31642.472810	N
hsa-mir-125b-1	89166	7925.261529	N
hsa-mir-125b-2	88756	7888.819867	N
hsa-mir-126	265655	23611.974872	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	1.066585	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	1.599878	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	661	58.751070	N
hsa-mir-1270	58	5.155162	N
hsa-mir-1271	641	56.973428	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.355528	N
hsa-mir-1275	1	0.088882	N
hsa-mir-1276	3	0.266646	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	3	0.266646	N
hsa-mir-1279	0	0.000000	N
