miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	497193	33782.045663	N
hsa-let-7a-2	477354	32434.074144	Y
hsa-let-7a-3	477044	32413.011027	N
hsa-let-7b	137481	9341.220451	N
hsa-let-7c	90712	6163.475604	Y
hsa-let-7d	64616	4390.368856	N
hsa-let-7e	46946	3189.771207	N
hsa-let-7f-1	376076	25552.685989	N
hsa-let-7f-2	406093	27592.207190	N
hsa-let-7g	333730	22675.464255	N
hsa-let-7i	143783	9769.413229	N
hsa-mir-1-1	2546	172.989339	N
hsa-mir-1-2	2654	180.327457	N
hsa-mir-100	149489	10157.110467	Y
hsa-mir-101-1	19387	1317.260137	N
hsa-mir-101-2	21141	1436.436610	N
hsa-mir-103a-1	97552	6628.223082	Y
hsa-mir-103a-2	100439	6824.381848	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.339728	N
hsa-mir-105-2	4	0.271782	N
hsa-mir-106a	245	16.646657	Y
hsa-mir-106b	9452	642.221221	N
hsa-mir-107	7857	533.848089	Y
hsa-mir-10a	352099	23923.555835	N
hsa-mir-10b	97086	6596.560461	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	193	13.113489	N
hsa-mir-1180	956	64.955934	N
hsa-mir-1181	1	0.067946	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	63	4.280569	N
hsa-mir-1185-2	22	1.494802	N
hsa-mir-1193	1	0.067946	N
hsa-mir-1197	45	3.057549	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	145	9.852103	N
hsa-mir-1224	61	4.144678	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	55	3.737005	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	41	2.785767	N
hsa-mir-1229	1	0.067946	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.135891	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	11	0.747401	N
hsa-mir-124-2	14	0.951238	N
hsa-mir-124-3	17	1.155074	N
hsa-mir-1243	2	0.135891	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	27	1.834530	N
hsa-mir-1245b	12	0.815346	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1333	90.571402	N
hsa-mir-1248	20	1.358911	N
hsa-mir-1249	157	10.667449	N
hsa-mir-1250	70	4.756188	N
hsa-mir-1251	1	0.067946	N
hsa-mir-1252	3	0.203837	N
hsa-mir-1253	2	0.135891	N
hsa-mir-1254-1	12	0.815346	N
hsa-mir-1254-2	16	1.087129	N
hsa-mir-1255a	31	2.106312	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.067946	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.067946	N
hsa-mir-125a	319832	21731.157174	N
hsa-mir-125b-1	207305	14085.449667	N
hsa-mir-125b-2	207452	14095.437661	N
hsa-mir-126	51000	3465.222416	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	34	2.310148	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	1.902475	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	2	0.135891	N
hsa-mir-1266	7	0.475619	N
hsa-mir-1267	1	0.067946	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	10339	702.488913	N
hsa-mir-1270	105	7.134281	N
hsa-mir-1271	1664	113.061375	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.203837	N
hsa-mir-1275	3	0.203837	N
hsa-mir-1276	15	1.019183	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	7	0.475619	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	7779	528.548337	N
hsa-mir-128-2	4828	328.041055	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	18	1.223020	N
hsa-mir-1285-1	1	0.067946	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	102	6.930445	N
hsa-mir-1288	4	0.271782	N
hsa-mir-1289-1	4	0.271782	N
hsa-mir-1289-2	1	0.067946	N
hsa-mir-129-1	1245	84.592194	N
hsa-mir-129-2	1515	102.937489	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	23	1.562747	N
hsa-mir-1292	54	3.669059	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	15	1.019183	N
hsa-mir-1295a	37	2.513985	N
hsa-mir-1295b	7	0.475619	N
hsa-mir-1296	693	47.086258	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	48	3.261386	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1719	116.798379	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.135891	N
hsa-mir-1304	37	2.513985	N
hsa-mir-1305	1	0.067946	N
hsa-mir-1306	121	8.221410	N
hsa-mir-1307	1412	95.939099	N
hsa-mir-130a	849	57.685761	N
hsa-mir-130b	3660	248.680668	N
hsa-mir-132	8714	592.077414	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.067946	N
hsa-mir-1323	3	0.203837	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	404	27.449997	N
hsa-mir-133a-2	407	27.653834	Y
hsa-mir-133b	2	0.135891	Y
hsa-mir-134	596	40.495540	N
hsa-mir-1343	19	1.290965	N
hsa-mir-135a-1	1224	83.165338	N
hsa-mir-135a-2	1264	85.883159	N
hsa-mir-135b	1981	134.600110	N
hsa-mir-136	835	56.734524	N
hsa-mir-137	80	5.435643	N
hsa-mir-138-1	79	5.367697	N
hsa-mir-138-2	15	1.019183	N
hsa-mir-139	2581	175.367432	N
hsa-mir-140	44084	2995.311078	N
hsa-mir-141	1076	73.109398	N
hsa-mir-142	4692	318.800462	N
hsa-mir-143	348119	23653.132595	N
hsa-mir-144	167	11.346905	N
hsa-mir-145	62913	4274.657605	N
hsa-mir-1468	388	26.362869	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5520	375.059367	N
hsa-mir-146b	191255	12994.923789	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	24	1.630693	N
hsa-mir-148a	83585	5679.227758	N
hsa-mir-148b	3764	255.747003	N
hsa-mir-149	979	66.518681	N
hsa-mir-150	8775	596.222092	N
hsa-mir-151a	31611	2147.826388	N
hsa-mir-151b	179	12.162251	N
hsa-mir-152	4991	339.116178	N
hsa-mir-153-1	40	2.717822	N
hsa-mir-153-2	21	1.426856	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	8	0.543564	N
hsa-mir-1539	3	0.203837	N
hsa-mir-154	522	35.467571	N
hsa-mir-155	10126	688.016513	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1030	69.983904	N
hsa-mir-15b	12374	840.758082	N
hsa-mir-16-1	18418	1251.420911	N
hsa-mir-16-2	19965	1356.532658	N
hsa-mir-17	1856	126.106918	Y
hsa-mir-181a-1	29873	2029.737044	N
hsa-mir-181a-2	31242	2122.754485	N
hsa-mir-181b-1	6927	470.658739	N
hsa-mir-181b-2	8825	599.619369	N
hsa-mir-181c	956	64.955934	N
hsa-mir-181d	407	27.653834	N
hsa-mir-182	31001	2106.379610	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	19492	1324.394418	N
