miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	105360	12825.322660	N
hsa-let-7a-2	101886	12402.437590	Y
hsa-let-7a-3	102389	12463.667064	N
hsa-let-7b	74691	9092.028994	N
hsa-let-7c	22199	2702.252636	Y
hsa-let-7d	14108	1717.346736	N
hsa-let-7e	7963	969.324643	N
hsa-let-7f-1	140853	17145.834972	N
hsa-let-7f-2	152297	18538.896784	N
hsa-let-7g	163435	19894.709652	N
hsa-let-7i	29511	3592.331976	N
hsa-mir-1-1	2917	355.082253	N
hsa-mir-1-2	3000	365.185725	N
hsa-mir-100	65128	7927.938631	Y
hsa-mir-101-1	30278	3685.697793	N
hsa-mir-101-2	32455	3950.700901	N
hsa-mir-103a-1	47490	5780.890026	Y
hsa-mir-103a-2	50140	6103.470749	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	49	5.964700	N
hsa-mir-105-2	37	4.503957	N
hsa-mir-106a	1043	126.962904	Y
hsa-mir-106b	5214	634.692790	N
hsa-mir-107	14264	1736.336394	Y
hsa-mir-10a	256592	31234.578511	N
hsa-mir-10b	822037	100065.392590	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.365186	N
hsa-mir-1180	527	64.150959	N
hsa-mir-1181	1	0.121729	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.608643	N
hsa-mir-1185-2	2	0.243457	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.608643	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.973829	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.243457	N
hsa-mir-1226	32	3.895314	N
hsa-mir-1227	1	0.121729	N
hsa-mir-1228	3	0.365186	N
hsa-mir-1229	24	2.921486	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	1.095557	N
hsa-mir-1236	1	0.121729	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.121729	N
hsa-mir-124-1	61	7.425443	N
hsa-mir-124-2	82	9.981743	N
hsa-mir-124-3	76	9.251372	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.486914	N
hsa-mir-1245b	2	0.243457	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	42	5.112600	N
hsa-mir-1248	80	9.738286	N
hsa-mir-1249	84	10.225200	N
hsa-mir-1250	4	0.486914	N
hsa-mir-1251	26	3.164943	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.365186	N
hsa-mir-1254-2	5	0.608643	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	205536	25019.604387	N
hsa-mir-125b-1	65664	7993.185147	N
hsa-mir-125b-2	66330	8074.256378	N
hsa-mir-126	63126	7684.238024	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.852100	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.730371	N
hsa-mir-1263	57	6.938529	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	80	9.738286	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1432	174.315319	N
hsa-mir-1270	92	11.199029	N
hsa-mir-1271	586	71.332945	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.365186	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.121729	N
hsa-mir-1278	3	0.365186	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3564	433.840641	N
hsa-mir-128-2	1980	241.022578	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	1.217286	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	36	4.382229	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	67	8.155815	N
hsa-mir-129-2	37	4.503957	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	23	2.799757	N
hsa-mir-1292	24	2.921486	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	17	2.069386	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	469	57.090702	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.121729	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	441	53.682302	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	12	1.460743	N
hsa-mir-1304	1	0.121729	N
hsa-mir-1305	1	0.121729	N
hsa-mir-1306	62	7.547172	N
hsa-mir-1307	1272	154.838747	N
hsa-mir-130a	799	97.261131	N
hsa-mir-130b	308	37.492401	N
hsa-mir-132	1506	183.323234	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	471	57.334159	Y
hsa-mir-133a-2	495	60.255645	Y
hsa-mir-133b	13	1.582471	Y
hsa-mir-134	83	10.103472	N
hsa-mir-1343	20	2.434571	N
hsa-mir-135a-1	13845	1685.332121	N
hsa-mir-135a-2	14683	1787.340666	N
hsa-mir-135b	1971	239.927021	N
hsa-mir-136	250	30.432144	N
hsa-mir-137	4	0.486914	N
hsa-mir-138-1	867	105.538675	N
hsa-mir-138-2	292	35.544744	N
hsa-mir-139	4808	585.270989	N
hsa-mir-140	37954	4620.086335	N
hsa-mir-141	216	26.293372	N
hsa-mir-142	1020	124.163146	N
hsa-mir-143	261192	31794.529956	N
hsa-mir-144	329	40.048701	N
hsa-mir-145	48874	5949.362374	N
hsa-mir-1468	149	18.137558	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6690	814.364167	N
