miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	99505	9074.895131	N
hsa-let-7a-2	96123	8766.455401	Y
hsa-let-7a-3	96766	8825.097254	N
hsa-let-7b	55323	5045.479356	N
hsa-let-7c	20385	1859.120017	Y
hsa-let-7d	12544	1144.017733	N
hsa-let-7e	8624	786.512191	N
hsa-let-7f-1	143157	13055.974697	N
hsa-let-7f-2	153538	14002.725980	N
hsa-let-7g	179012	16325.964798	N
hsa-let-7i	26170	2386.714292	N
hsa-mir-1-1	3375	307.801327	N
hsa-mir-1-2	3635	331.513429	N
hsa-mir-100	68506	6247.774140	Y
hsa-mir-101-1	41182	3755.814595	N
hsa-mir-101-2	43324	3951.165837	N
hsa-mir-103a-1	43744	3989.470003	Y
hsa-mir-103a-2	45027	4106.480107	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	543	49.521814	Y
hsa-mir-106b	4748	433.019467	N
hsa-mir-107	9249	843.512437	Y
hsa-mir-10a	436762	39832.866159	N
hsa-mir-10b	1288902	117548.369269	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.003204	N
hsa-mir-1180	491	44.779393	N
hsa-mir-1181	1	0.091200	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.273601	N
hsa-mir-1185-2	6	0.547202	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	32	2.918413	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	16	1.459206	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.091200	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	95	8.664037	N
hsa-mir-124-2	118	10.761646	N
hsa-mir-124-3	111	10.123244	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.273601	N
hsa-mir-1245b	1	0.091200	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	287	26.174513	N
hsa-mir-1248	27	2.462411	N
hsa-mir-1249	81	7.387232	N
hsa-mir-1250	3	0.273601	N
hsa-mir-1251	29	2.644811	N
hsa-mir-1252	2	0.182401	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	0.912004	N
hsa-mir-1254-2	11	1.003204	N
hsa-mir-1255a	13	1.185605	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.091200	N
hsa-mir-125a	266195	24277.088683	N
hsa-mir-125b-1	78880	7193.887020	N
hsa-mir-125b-2	80225	7316.551549	N
hsa-mir-126	82796	7551.027760	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	22	2.006409	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	22	2.006409	N
hsa-mir-1263	53	4.833621	N
hsa-mir-1264	2	0.182401	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12	1.094405	N
hsa-mir-1269b	29	2.644811	N
hsa-mir-127	924	84.269163	N
hsa-mir-1270	42	3.830417	N
hsa-mir-1271	706	64.387478	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.091200	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.273601	N
hsa-mir-1276	4	0.364802	N
hsa-mir-1277	6	0.547202	N
hsa-mir-1278	12	1.094405	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6568	599.004183	N
hsa-mir-128-2	3515	320.569382	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	8	0.729603	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	43	3.921617	N
hsa-mir-1288	1	0.091200	N
hsa-mir-1289-1	1	0.091200	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	133	12.129652	N
hsa-mir-129-2	127	11.582450	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	34	3.100813	N
hsa-mir-1292	23	2.097609	N
hsa-mir-1293	1	0.091200	N
hsa-mir-1294	4	0.364802	N
hsa-mir-1295a	10	0.912004	N
hsa-mir-1295b	1	0.091200	N
hsa-mir-1296	418	38.121764	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	12	1.094405	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	553	50.433817	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	8	0.729603	N
hsa-mir-1304	7	0.638403	N
hsa-mir-1305	5	0.456002	N
hsa-mir-1306	85	7.752033	N
hsa-mir-1307	1140	103.968448	N
hsa-mir-130a	892	81.350751	N
hsa-mir-130b	282	25.718511	N
hsa-mir-132	1006	91.747596	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.182401	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	452	41.222578	Y
hsa-mir-133a-2	480	43.776189	Y
hsa-mir-133b	9	0.820804	Y
hsa-mir-134	47	4.286418	N
hsa-mir-1343	10	0.912004	N
hsa-mir-135a-1	20263	1847.993569	N
hsa-mir-135a-2	21158	1929.617921	N
hsa-mir-135b	4923	448.979536	N
hsa-mir-136	226	20.611289	N
hsa-mir-137	4	0.364802	N
hsa-mir-138-1	584	53.261030	N
hsa-mir-138-2	278	25.353709	N
hsa-mir-139	3652	333.063836	N
hsa-mir-140	53162	4848.395306	N
hsa-mir-141	395	36.024155	N
hsa-mir-142	1077	98.222824	N
hsa-mir-143	474572	43281.153028	N
hsa-mir-144	1031	94.027605	N
hsa-mir-145	50069	4566.312490	N
hsa-mir-1468	172	15.686468	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5318	485.003691	N
hsa-mir-146b	16307	1487.204813	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	10	0.912004	N
hsa-mir-148a	28215	2573.219096	N
hsa-mir-148b	5222	476.248454	N
hsa-mir-149	306	27.907320	N
hsa-mir-150	1474	134.429380	N
hsa-mir-151a	23416	2135.548408	N
hsa-mir-151b	196	17.875277	N
hsa-mir-152	3516	320.660583	N
hsa-mir-153-1	3	0.273601	N
hsa-mir-153-2	2	0.182401	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	91	8.299236	N
hsa-mir-155	625	57.000246	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1080	98.496425	N
hsa-mir-15b	6024	549.391169	N
hsa-mir-16-1	17802	1623.549401	N
hsa-mir-16-2	18264	1665.683982	N
hsa-mir-17	1916	174.739953	Y
hsa-mir-181a-1	15280	1393.542009	N
hsa-mir-181a-2	15837	1444.340628	N
hsa-mir-181b-1	2277	207.663295	N
hsa-mir-181b-2	2784	253.901895	N
hsa-mir-181c	294	26.812916	N
hsa-mir-181d	95	8.664037	N
hsa-mir-182	7027	640.865163	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	5693	519.203839	N
hsa-mir-184	591	53.899432	N
hsa-mir-185	1887	172.095142	N
hsa-mir-186	12678	1156.238586	N
hsa-mir-187	250	22.800098	N
hsa-mir-188	125	11.400049	N
hsa-mir-18a	154	14.044861	N
hsa-mir-18b	16	1.459206	N
hsa-mir-1908	3	0.273601	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1577	143.823020	N
hsa-mir-190b	9	0.820804	N
hsa-mir-191	62892	5735.775133	N
hsa-mir-1910	1	0.091200	N
hsa-mir-1911	1	0.091200	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.091200	N
hsa-mir-1915	4	0.364802	N
hsa-mir-192	128707	11738.129015	Y
hsa-mir-193a	865	78.888340	N
hsa-mir-193b	905	82.536356	N
hsa-mir-194-1	23028	2100.162656	N
hsa-mir-194-2	91015	8300.603792	N
hsa-mir-195	11207	1022.082807	N
hsa-mir-196a-1	1559	142.181413	N
hsa-mir-196a-2	3765	343.369481	N
hsa-mir-196b	2003	182.674388	N
hsa-mir-197	2343	213.682521	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	16	1.459206	N
hsa-mir-198	1	0.091200	N
hsa-mir-199a-1	32633	2976.142433	Y
hsa-mir-199a-2	55083	5023.591262	Y
hsa-mir-199b	69838	6369.253064	Y
hsa-mir-19a	200	18.240079	N
hsa-mir-19b-1	1183	107.890065	N
hsa-mir-19b-2	1178	107.434063	N
hsa-mir-200a	33017	3011.163384	N
hsa-mir-200b	108888	9930.628421	N
hsa-mir-200c	17158	1564.816347	N
hsa-mir-202	7	0.638403	N
hsa-mir-203a	2555	233.017005	N
hsa-mir-203b	26	2.371210	N
hsa-mir-204	139921	12760.850225	N
hsa-mir-205	190	17.328075	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	16	1.459206	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4161	379.484836	N
hsa-mir-20b	523	47.697806	N
hsa-mir-21	630784	57527.748860	N
hsa-mir-210	202	18.422479	N
hsa-mir-211	49	4.468819	N
hsa-mir-2110	176	16.051269	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	1	0.091200	N
hsa-mir-2116	18	1.641607	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	153	13.953660	N
hsa-mir-214	5659	516.103025	N
hsa-mir-215	148	13.497658	Y
hsa-mir-216a	311	28.363322	N
hsa-mir-216b	1847	168.447126	N
hsa-mir-217	1760	160.512692	N
hsa-mir-218-1	5779	527.047073	N
hsa-mir-218-2	5368	489.563711	N
hsa-mir-219a-1	5	0.456002	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.182401	N
hsa-mir-22	22498	2051.826447	N
hsa-mir-221	10794	984.417045	N
hsa-mir-222	7200	656.642831	N
hsa-mir-223	2342	213.591321	N
hsa-mir-224	696	63.475474	N
hsa-mir-2276	4	0.364802	N
hsa-mir-2277	22	2.006409	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	106	9.667242	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	116325	10608.885746	Y
hsa-mir-23b	147935	13491.730176	Y
hsa-mir-23c	2	0.182401	N
hsa-mir-24-1	26830	2446.906551	N
hsa-mir-24-2	26954	2458.215400	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	10459	953.864913	N
hsa-mir-2681	1	0.091200	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	456938	41672.925294	N
hsa-mir-26a-2	469033	42775.994050	N
hsa-mir-26b	142343	12981.737577	N
hsa-mir-27a	18887	1722.501827	Y
hsa-mir-27b	283593	25863.793125	Y
hsa-mir-28	9716	886.103021	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	61	5.563224	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	32	2.918413	N
hsa-mir-29a	97764	8916.115246	N
hsa-mir-29b-1	1580	144.096621	Y
hsa-mir-29b-2	2335	212.952918	Y
hsa-mir-29c	7851	716.014287	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	32	2.918413	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	11	1.003204	N
hsa-mir-302b	6	0.547202	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	4	0.364802	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	14	1.276806	N
hsa-mir-3065	481	43.867389	N
hsa-mir-3074	59	5.380823	N
hsa-mir-30a	1800691	164223.727333	Y
hsa-mir-30b	63619	5802.077819	Y
hsa-mir-30c-1	160455	14633.559100	Y
hsa-mir-30c-2	167183	15247.155346	Y
hsa-mir-30d	513260	46809.513843	N
hsa-mir-30e	53598	4888.158678	Y
hsa-mir-31	1037	94.574808	N
hsa-mir-3115	2	0.182401	N
hsa-mir-3116-1	3	0.273601	N
hsa-mir-3116-2	3	0.273601	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	3	0.273601	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	2	0.182401	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	1	0.091200	N
hsa-mir-3127	3	0.273601	N
hsa-mir-3128	8	0.729603	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	2	0.182401	N
hsa-mir-3130-2	1	0.091200	N
hsa-mir-3131	3	0.273601	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.091200	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	2	0.182401	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	0.091200	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	30	2.736012	N
hsa-mir-3146	1	0.091200	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	3	0.273601	N
hsa-mir-3149	2	0.182401	N
hsa-mir-3150a	1	0.091200	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	2	0.182401	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	1	0.091200	N
hsa-mir-3158-1	2	0.182401	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	9	0.820804	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	35	3.192014	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	1	0.091200	N
hsa-mir-3177	1	0.091200	N
hsa-mir-3178	1	0.091200	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
