miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	183262	22412.670909	N
hsa-let-7a-2	179095	21903.052987	Y
hsa-let-7a-3	178679	21852.176804	N
hsa-let-7b	83515	10213.760687	N
hsa-let-7c	37782	4620.682587	Y
hsa-let-7d	32034	3917.710709	N
hsa-let-7e	10123	1238.027892	N
hsa-let-7f-1	158582	19394.343498	N
hsa-let-7f-2	166141	20318.797991	N
hsa-let-7g	274630	33586.841854	N
hsa-let-7i	55062	6734.000969	N
hsa-mir-1-1	2241	274.070978	N
hsa-mir-1-2	2416	295.473218	N
hsa-mir-100	21905	2678.949025	Y
hsa-mir-101-1	8825	1079.284417	N
hsa-mir-101-2	9525	1164.893379	N
hsa-mir-103a-1	55202	6751.122762	Y
hsa-mir-103a-2	57476	7029.229590	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.244597	N
hsa-mir-105-2	3	0.366896	N
hsa-mir-106a	683	83.529887	Y
hsa-mir-106b	15149	1852.700241	N
hsa-mir-107	7928	969.582647	Y
hsa-mir-10a	177152	21665.426967	N
hsa-mir-10b	385233	47113.424782	N
hsa-mir-1178	2	0.244597	N
hsa-mir-1179	19	2.323672	N
hsa-mir-1180	306	37.423346	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.589881	N
hsa-mir-1185-2	5	0.611493	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	19	2.323672	N
hsa-mir-1227	1	0.122299	N
hsa-mir-1228	35	4.280448	N
hsa-mir-1229	10	1.222985	N
hsa-mir-1231	1	0.122299	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.856090	N
hsa-mir-1236	1	0.122299	N
hsa-mir-1237	1	0.122299	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.856090	N
hsa-mir-124-2	2	0.244597	N
hsa-mir-124-3	4	0.489194	N
hsa-mir-1243	1	0.122299	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.122299	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.222985	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	360	44.027466	N
hsa-mir-1248	45	5.503433	N
hsa-mir-1249	61	7.460210	N
hsa-mir-1250	6	0.733791	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	2.201373	N
hsa-mir-1254-2	19	2.323672	N
hsa-mir-1255a	23	2.812866	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.611493	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
