miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	354180	21862.552703	N
hsa-let-7a-2	340664	21028.247371	Y
hsa-let-7a-3	341803	21098.554694	N
hsa-let-7b	116871	7214.123883	N
hsa-let-7c	60322	3723.510374	Y
hsa-let-7d	45455	2805.811545	N
hsa-let-7e	30148	1860.952733	N
hsa-let-7f-1	374959	23145.182955	N
hsa-let-7f-2	404087	24943.173906	N
hsa-let-7g	413181	25504.521397	N
hsa-let-7i	117513	7253.752769	N
hsa-mir-1-1	13217	815.848888	N
hsa-mir-1-2	13643	842.144691	N
hsa-mir-100	98767	6096.613989	Y
hsa-mir-101-1	45421	2803.712819	N
hsa-mir-101-2	49451	3052.473583	N
hsa-mir-103a-1	114915	7093.385408	Y
hsa-mir-103a-2	119430	7372.083882	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.061727	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1276	78.763954	Y
hsa-mir-106b	13710	846.280415	N
hsa-mir-107	19775	1220.656106	Y
hsa-mir-10a	448640	27693.307484	N
hsa-mir-10b	772501	47684.352096	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	0.864181	N
hsa-mir-1180	1513	93.393309	N
hsa-mir-1181	3	0.185182	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	54	3.333271	N
hsa-mir-1185-2	16	0.987636	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	19	1.172817	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	28	1.728363	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	57	3.518452	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	0.617272	N
hsa-mir-1229	8	0.493818	N
hsa-mir-1231	1	0.061727	N
