miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	115521	7343.293988	N
hsa-let-7a-2	111914	7114.008738	Y
hsa-let-7a-3	112645	7160.476028	N
hsa-let-7b	77812	4946.255588	N
hsa-let-7c	26571	1689.031990	Y
hsa-let-7d	28662	1821.950055	N
hsa-let-7e	6619	420.748287	N
hsa-let-7f-1	175345	11146.110961	N
hsa-let-7f-2	191141	12150.211270	N
hsa-let-7g	185467	11789.533557	N
hsa-let-7i	59470	3780.314345	N
hsa-mir-1-1	3471017	220641.253699	N
hsa-mir-1-2	3699487	235164.348006	N
hsa-mir-100	81910	5206.752111	Y
hsa-mir-101-1	30211	1920.414943	N
hsa-mir-101-2	31852	2024.727972	N
hsa-mir-103a-1	31140	1979.468450	Y
hsa-mir-103a-2	32723	2080.094608	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.127133	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	166	10.552080	Y
hsa-mir-106b	5016	318.850795	N
hsa-mir-107	6276	398.944894	Y
hsa-mir-10a	19440	1235.737529	N
hsa-mir-10b	39296	2497.918825	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.444967	N
hsa-mir-1180	335	21.294860	N
hsa-mir-1181	1	0.063567	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	37	2.351970	N
hsa-mir-1185-2	34	2.161269	N
hsa-mir-1193	4	0.254267	N
hsa-mir-1197	2	0.127133	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	34	2.161269	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.063567	N
hsa-mir-1226	33	2.097703	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.190700	N
hsa-mir-1229	6	0.381400	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.190700	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.444967	N
hsa-mir-124-2	17	1.080635	N
hsa-mir-124-3	18	1.144201	N
hsa-mir-1243	7	0.444967	N
hsa-mir-1244-1	1	0.063567	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.254267	N
hsa-mir-1245b	1	0.063567	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1299	82.573202	N
hsa-mir-1248	13	0.826368	N
hsa-mir-1249	160	10.170679	N
hsa-mir-1250	11	0.699234	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.381400	N
hsa-mir-1254-2	11	0.699234	N
hsa-mir-1255a	8	0.508534	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	19	1.207768	N
hsa-mir-125a	119904	7621.907033	N
hsa-mir-125b-1	96894	6159.236223	N
hsa-mir-125b-2	97478	6196.359202	N
hsa-mir-126	87801	5581.223807	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	24	1.525602	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.572101	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.127133	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	24911	1583.511193	N
hsa-mir-1270	4	0.254267	N
hsa-mir-1271	1667	105.965764	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.127133	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.063567	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	1	0.063567	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	50339	3199.886394	N
hsa-mir-128-2	25305	1608.556491	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.063567	N
hsa-mir-1283-2	1	0.063567	N
hsa-mir-1284	13	0.826368	N
hsa-mir-1285-1	1	0.063567	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	54	3.432604	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	15	0.953501	N
hsa-mir-129-2	40	2.542670	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	35	2.224836	N
hsa-mir-1292	21	1.334902	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	6	0.381400	N
hsa-mir-1295a	18	1.144201	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	812	51.616197	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	9	0.572101	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	511	32.482607	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.381400	N
hsa-mir-1304	12	0.762801	N
hsa-mir-1305	3	0.190700	N
hsa-mir-1306	145	9.217178	N
hsa-mir-1307	887	56.383703	N
hsa-mir-130a	442	28.096501	N
hsa-mir-130b	322	20.468492	N
hsa-mir-132	1438	91.408980	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	48	3.051204	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	738138	46921.030269	Y
