miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	323490	32042.967233	N
hsa-let-7a-2	308894	30597.175555	Y
hsa-let-7a-3	308271	30535.464935	N
hsa-let-7b	90382	8952.695491	N
hsa-let-7c	2879	285.176366	Y
hsa-let-7d	50792	5031.149005	N
hsa-let-7e	17227	1706.402660	N
hsa-let-7f-1	322288	31923.904367	N
hsa-let-7f-2	344409	34115.077133	N
hsa-let-7g	453352	44906.313274	N
hsa-let-7i	103279	10230.194482	N
hsa-mir-1-1	5139	509.038328	N
hsa-mir-1-2	5376	532.514117	N
hsa-mir-100	20922	2072.407062	N
hsa-mir-101-1	42709	4230.495804	N
hsa-mir-101-2	45638	4520.624868	N
hsa-mir-103a-1	127007	12580.546970	Y
hsa-mir-103a-2	131606	13036.096156	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.198108	N
hsa-mir-105-2	1	0.099054	N
hsa-mir-106a	634	62.800214	Y
hsa-mir-106b	15101	1495.813930	N
hsa-mir-107	12900	1277.796152	Y
hsa-mir-10a	205857	20390.952133	N
hsa-mir-10b	367844	36436.406809	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	53	5.249860	N
hsa-mir-1180	356	35.263212	N
hsa-mir-1181	1	0.099054	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	62	6.141346	N
hsa-mir-1185-2	27	2.674457	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	11	1.089594	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14	1.386756	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.198108	N
hsa-mir-1226	47	4.655536	N
hsa-mir-1227	4	0.396216	N
hsa-mir-1228	71	7.032832	N
hsa-mir-1229	11	1.089594	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.495270	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	3	0.297162	N
hsa-mir-124-3	3	0.297162	N
hsa-mir-1243	1	0.099054	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.099054	N
hsa-mir-1245b	1	0.099054	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	77	7.627155	N
hsa-mir-1248	54	5.348914	N
hsa-mir-1249	361	35.758481	N
hsa-mir-1250	43	4.259321	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	11	1.089594	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.683917	N
hsa-mir-1254-2	22	2.179187	N
hsa-mir-1255a	54	5.348914	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.099054	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.099054	N
hsa-mir-125a	175738	17407.545753	N
hsa-mir-125b-1	21369	2116.684184	N
hsa-mir-125b-2	21331	2112.920134	N
hsa-mir-126	235037	23281.346841	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	1.287702	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.188648	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.495270	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3564	353.028332	N
hsa-mir-1270	23	2.278241	N
hsa-mir-1271	971	96.181400	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.297162	N
hsa-mir-1275	4	0.396216	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	6	0.594324	N
hsa-mir-1278	8	0.792432	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5692	563.815170	N
hsa-mir-128-2	3680	364.518592	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	26	2.575403	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.297162	N
hsa-mir-1287	66	6.537562	N
hsa-mir-1288	1	0.099054	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	22	2.179187	N
hsa-mir-129-2	32	3.169727	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	56	5.547022	N
hsa-mir-1292	50	4.952698	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	19	1.882025	N
hsa-mir-1295a	7	0.693378	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	230	22.782412	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	6	0.594324	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1887	186.914833	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	16	1.584863	N
hsa-mir-1304	38	3.764051	N
hsa-mir-1305	1	0.099054	N
hsa-mir-1306	139	13.768501	N
hsa-mir-1307	1228	121.638269	N
hsa-mir-130a	974	96.478562	N
hsa-mir-130b	1297	128.472993	N
hsa-mir-132	2420	239.710596	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	693	68.644398	Y
hsa-mir-133a-2	672	66.564265	N
hsa-mir-133b	2	0.198108	Y
hsa-mir-134	372	36.848075	N
hsa-mir-1343	16	1.584863	N
hsa-mir-135a-1	37	3.664997	N
hsa-mir-135a-2	37	3.664997	N
hsa-mir-135b	261	25.853085	N
hsa-mir-136	887	87.860867	N
hsa-mir-137	10	0.990540	N
hsa-mir-138-1	216	21.395657	N
hsa-mir-138-2	97	9.608235	N
hsa-mir-139	57548	5700.357595	N
hsa-mir-140	86868	8604.619857	N
hsa-mir-141	22	2.179187	N
hsa-mir-142	46411	4597.193583	N
hsa-mir-143	336675	33348.993765	N
hsa-mir-144	2721	269.525840	N
hsa-mir-145	76375	7565.246599	N
hsa-mir-1468	130	12.877015	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	30467	3017.877161	N
hsa-mir-146b	75179	7446.778057	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.594324	N
hsa-mir-148a	35995	3565.447481	N
hsa-mir-148b	5147	509.830759	N
hsa-mir-149	303	30.013351	N
hsa-mir-150	99477	9853.591306	N
hsa-mir-151a	22976	2275.863907	N
hsa-mir-151b	540	53.489141	N
hsa-mir-152	1791	177.405652	N
hsa-mir-153-1	2	0.198108	N
hsa-mir-153-2	3	0.297162	N
hsa-mir-1537	4	0.396216	N
hsa-mir-1538	10	0.990540	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	439	43.484691	N
hsa-mir-155	26232	2598.383618	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3547	351.344415	N
hsa-mir-15b	26437	2618.689680	N
hsa-mir-16-1	60415	5984.345313	N
hsa-mir-16-2	63778	6317.463798	N
hsa-mir-17	2771	274.478538	Y
hsa-mir-181a-1	63462	6286.162745	N
hsa-mir-181a-2	63331	6273.186676	N
hsa-mir-181b-1	11168	1106.234684	N
hsa-mir-181b-2	13639	1350.997033	N
hsa-mir-181c	410	40.612126	N
hsa-mir-181d	155	15.353365	N
hsa-mir-182	1984	196.523067	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	649	64.286023	N
hsa-mir-184	24	2.377295	N
hsa-mir-185	9747	965.479000	N
hsa-mir-186	20217	2002.574016	N
hsa-mir-187	28	2.773511	N
hsa-mir-188	53	5.249860	N
hsa-mir-18a	346	34.272672	N
hsa-mir-18b	21	2.080133	N
hsa-mir-1908	4	0.396216	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	112	11.094044	N
hsa-mir-190b	35	3.466889	N
hsa-mir-191	137277	13597.831194	N
hsa-mir-1910	10	0.990540	N
hsa-mir-1911	1	0.099054	N
hsa-mir-1912	3	0.297162	N
hsa-mir-1913	1	0.099054	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2374	235.154114	Y
hsa-mir-193a	1574	155.910941	N
hsa-mir-193b	349	34.569834	N
hsa-mir-194-1	411	40.711180	N
hsa-mir-194-2	1329	131.642720	N
hsa-mir-195	21005	2080.628541	N
hsa-mir-196a-1	5	0.495270	N
hsa-mir-196a-2	13	1.287702	N
hsa-mir-196b	81	8.023371	N
hsa-mir-197	4165	412.559765	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	61	6.042292	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	49619	4914.958704	Y
hsa-mir-199a-2	87735	8690.499645	Y
hsa-mir-199b	117025	11591.790288	Y
hsa-mir-19a	393	38.928208	N
hsa-mir-19b-1	2569	254.469637	N
hsa-mir-19b-2	2507	248.328291	N
hsa-mir-200a	254	25.159707	N
hsa-mir-200b	1014	100.440721	N
hsa-mir-200c	1226	121.440161	N
hsa-mir-202	3	0.297162	N
hsa-mir-203a	38	3.764051	N
hsa-mir-203b	2	0.198108	N
hsa-mir-204	5797	574.215837	N
hsa-mir-205	32	3.169727	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	9066	898.023249	N
hsa-mir-20b	410	40.612126	N
hsa-mir-21	643667	63757.768679	N
hsa-mir-210	42	4.160267	N
hsa-mir-211	50	4.952698	N
hsa-mir-2110	495	49.031713	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	5	0.495270	N
hsa-mir-2115	11	1.089594	N
hsa-mir-2116	46	4.556482	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	234	23.178628	N
hsa-mir-214	9681	958.941438	N
hsa-mir-215	314	31.102945	Y
hsa-mir-216a	33	3.268781	N
hsa-mir-216b	117	11.589314	N
hsa-mir-217	175	17.334444	N
hsa-mir-218-1	6259	619.978769	N
hsa-mir-218-2	5261	521.122911	N
hsa-mir-219a-1	3	0.297162	N
hsa-mir-219a-2	7	0.693378	N
hsa-mir-219b	1	0.099054	N
hsa-mir-22	28957	2868.305673	N
hsa-mir-221	34751	3442.224348	N
hsa-mir-222	17329	1716.506165	N
hsa-mir-223	102184	10121.730390	N
hsa-mir-224	2146	212.569810	N
hsa-mir-2276	28	2.773511	N
hsa-mir-2277	36	3.565943	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	239	23.673898	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	248706	24635.315492	Y
hsa-mir-23b	77391	7665.885428	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	26061	2581.445390	N
hsa-mir-24-2	26622	2637.014664	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	20395	2020.205622	N
hsa-mir-2681	15	1.485809	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	720970	71414.937358	N
hsa-mir-26a-2	747135	74006.684360	N
hsa-mir-26b	310736	30779.632959	N
hsa-mir-27a	43319	4290.918723	Y
hsa-mir-27b	122801	12163.925992	Y
hsa-mir-28	19100	1891.930737	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	68	6.735670	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	311	30.805783	N
hsa-mir-29a	91153	9029.066098	N
hsa-mir-29b-1	3345	331.335514	Y
hsa-mir-29b-2	4564	452.082298	Y
hsa-mir-29c	8745	866.226926	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	44	4.358374	N
hsa-mir-301b	4	0.396216	N
hsa-mir-302a	1	0.099054	N
hsa-mir-302b	4	0.396216	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	64	6.339454	N
hsa-mir-3065	68	6.735670	N
hsa-mir-3074	18	1.782971	N
hsa-mir-30a	134072	13280.363235	Y
hsa-mir-30b	18353	1817.937425	Y
hsa-mir-30c-1	32730	3242.036284	Y
hsa-mir-30c-2	33007	3269.474232	Y
hsa-mir-30d	212930	21091.560830	N
hsa-mir-30e	37204	3685.203725	Y
hsa-mir-31	338	33.480240	N
hsa-mir-3115	1	0.099054	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	1	0.099054	N
hsa-mir-3121	1	0.099054	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.099054	N
hsa-mir-3125	1	0.099054	N
hsa-mir-3126	4	0.396216	N
hsa-mir-3127	14	1.386756	N
hsa-mir-3128	10	0.990540	N
hsa-mir-3129	10	0.990540	N
hsa-mir-3130-1	3	0.297162	N
hsa-mir-3130-2	5	0.495270	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
