miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	258740	16094.571438	N
hsa-let-7a-2	252820	15726.325852	Y
hsa-let-7a-3	254091	15805.386686	N
hsa-let-7b	90902	5654.435854	N
hsa-let-7c	42517	2644.712429	Y
hsa-let-7d	31806	1978.449174	N
hsa-let-7e	29352	1825.801426	N
hsa-let-7f-1	279515	17386.852189	N
hsa-let-7f-2	297589	18511.120892	N
hsa-let-7g	322617	20067.953751	N
hsa-let-7i	100393	6244.810661	N
hsa-mir-1-1	6462	401.959962	N
hsa-mir-1-2	6792	422.487166	N
hsa-mir-100	72368	4501.553474	Y
hsa-mir-101-1	35626	2216.067102	N
hsa-mir-101-2	37573	2337.177602	N
hsa-mir-103a-1	73483	4570.910539	Y
hsa-mir-103a-2	76686	4770.148818	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	556	34.585227	Y
hsa-mir-106b	9280	577.249837	N
hsa-mir-107	11748	730.768436	Y
hsa-mir-10a	556033	34587.280051	N
hsa-mir-10b	989397	61544.101017	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	0.684240	N
hsa-mir-1180	920	57.227355	N
hsa-mir-1181	1	0.062204	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	16	0.995258	N
hsa-mir-1185-2	23	1.430684	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	40	2.488146	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	1.803906	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	1.119666	N
hsa-mir-1229	24	1.492888	N
hsa-mir-1231	6	0.373222	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	49	3.047979	N
hsa-mir-124-2	45	2.799164	N
hsa-mir-124-3	46	2.861368	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	0.808647	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	81	5.038495	N
