miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	111758	14467.341554	N
hsa-let-7a-2	109019	14112.771424	Y
hsa-let-7a-3	108551	14052.187700	N
hsa-let-7b	80371	10404.219009	N
hsa-let-7c	29593	3830.884935	Y
hsa-let-7d	15006	1942.562746	N
hsa-let-7e	9585	1240.801274	N
hsa-let-7f-1	135869	17588.568421	N
hsa-let-7f-2	146761	18998.563985	N
hsa-let-7g	148097	19171.512394	N
hsa-let-7i	25293	3274.239606	N
hsa-mir-1-1	2229	288.549404	N
hsa-mir-1-2	2355	304.860407	N
hsa-mir-100	55812	7224.997466	Y
hsa-mir-101-1	18165	2351.502884	N
hsa-mir-101-2	19547	2530.406104	N
hsa-mir-103a-1	50512	6538.899735	Y
hsa-mir-103a-2	52454	6790.296300	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.647262	N
hsa-mir-105-2	2	0.258905	N
hsa-mir-106a	880	113.918114	Y
hsa-mir-106b	4008	518.845228	N
hsa-mir-107	11341	1468.119692	Y
hsa-mir-10a	317661	41121.979503	N
hsa-mir-10b	828956	107310.345435	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	1.035619	N
hsa-mir-1180	680	88.027633	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.035619	N
hsa-mir-1185-2	9	1.165072	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.258905	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.258905	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.129452	N
hsa-mir-1226	34	4.401382	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.517810	N
hsa-mir-1229	7	0.906167	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.517810	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.258905	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	55	7.119882	N
hsa-mir-124-2	54	6.990430	N
hsa-mir-124-3	67	8.673311	N
hsa-mir-1243	2	0.258905	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.388357	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	0.388357	N
hsa-mir-1247	83	10.744549	N
hsa-mir-1248	29	3.754120	N
hsa-mir-1249	92	11.909621	N
hsa-mir-1250	7	0.906167	N
hsa-mir-1251	28	3.624667	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.517810	N
hsa-mir-1254-2	5	0.647262	N
hsa-mir-1255a	4	0.517810	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	233571	30236.327011	N
hsa-mir-125b-1	66123	8559.781184	N
hsa-mir-125b-2	67279	8709.428161	N
hsa-mir-126	47850	6194.297440	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.906167	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.647262	N
hsa-mir-1263	3	0.388357	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	28	3.624667	N
hsa-mir-1269b	7	0.906167	N
hsa-mir-127	1493	193.272436	N
hsa-mir-1270	57	7.378787	N
hsa-mir-1271	513	66.409082	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.388357	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	2	0.258905	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4121	533.473349	N
hsa-mir-128-2	2112	273.403473	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.129452	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	39	5.048644	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	86	11.132907	N
hsa-mir-129-2	79	10.226740	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	19	2.459596	N
hsa-mir-1292	14	1.812334	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.517810	N
hsa-mir-1295a	15	1.941786	N
hsa-mir-1295b	1	0.129452	N
hsa-mir-1296	492	63.690582	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	448	57.994676	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	13	1.682881	N
hsa-mir-1304	6	0.776714	N
hsa-mir-1305	3	0.388357	N
hsa-mir-1306	82	10.615097	N
hsa-mir-1307	1466	189.777221	N
hsa-mir-130a	776	100.455064	N
hsa-mir-130b	237	30.680219	N
hsa-mir-132	1357	175.666910	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	404	52.298770	Y
hsa-mir-133a-2	395	51.133699	Y
hsa-mir-133b	8	1.035619	Y
hsa-mir-134	57	7.378787	N
hsa-mir-1343	21	2.718500	N
hsa-mir-135a-1	10947	1417.115446	N
hsa-mir-135a-2	12132	1570.516542	N
hsa-mir-135b	1382	178.903220	N
hsa-mir-136	148	19.158956	N
hsa-mir-137	7	0.906167	N
hsa-mir-138-1	804	104.079731	N
hsa-mir-138-2	306	39.612435	N
hsa-mir-139	4194	542.923374	N
hsa-mir-140	39650	5132.787743	N
hsa-mir-141	192	24.854861	N
hsa-mir-142	616	79.742680	N
hsa-mir-143	253352	32797.024977	N
hsa-mir-144	674	87.250919	N
hsa-mir-145	49797	6446.341267	N
hsa-mir-1468	155	20.065122	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	7964	1030.958930	N
hsa-mir-146b	27616	3574.957536	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.776714	N
hsa-mir-148a	16009	2072.403505	N
hsa-mir-148b	2695	348.874224	N
hsa-mir-149	509	65.891273	N
hsa-mir-150	1642	212.560844	N
hsa-mir-151a	21044	2724.196350	N
hsa-mir-151b	106	13.721955	N
hsa-mir-152	3485	451.141621	N
hsa-mir-153-1	1	0.129452	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	108	13.980859	N
hsa-mir-155	1192	154.307263	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	850	110.034542	N
hsa-mir-15b	5659	732.571143	N
hsa-mir-16-1	10836	1402.746229	N
hsa-mir-16-2	11793	1526.632178	N
hsa-mir-17	2398	310.426860	Y
hsa-mir-181a-1	18085	2341.146692	N
hsa-mir-181a-2	18304	2369.496768	N
hsa-mir-181b-1	3546	459.038218	N
hsa-mir-181b-2	4422	572.438522	N
hsa-mir-181c	303	39.224078	N
hsa-mir-181d	163	21.100742	N
hsa-mir-182	4599	595.351597	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3006	389.133921	N
hsa-mir-184	211	27.314457	N
hsa-mir-185	2089	270.426068	N
hsa-mir-186	7264	940.342249	N
hsa-mir-187	104	13.463050	N
hsa-mir-188	147	19.029503	N
hsa-mir-18a	124	16.052098	N
hsa-mir-18b	17	2.200691	N
hsa-mir-1908	2	0.258905	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1095	141.750380	N
hsa-mir-190b	4	0.517810	N
hsa-mir-191	47860	6195.591964	N
hsa-mir-1910	2	0.258905	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.129452	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	80316	10397.099127	Y
hsa-mir-193a	1061	137.348999	N
hsa-mir-193b	1257	162.721669	N
hsa-mir-194-1	9978	1291.676068	N
hsa-mir-194-2	47984	6211.644062	N
hsa-mir-195	9218	1193.292243	N
hsa-mir-196a-1	2097	271.461687	N
hsa-mir-196a-2	5975	773.478103	N
hsa-mir-196b	2680	346.932438	N
hsa-mir-197	2722	352.369439	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	38	4.919191	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	22915	2966.401794	Y
hsa-mir-199a-2	40140	5196.219420	Y
hsa-mir-199b	53501	6925.832965	Y
hsa-mir-19a	206	26.667195	N
hsa-mir-19b-1	1134	146.799024	N
hsa-mir-19b-2	1182	153.012739	N
hsa-mir-200a	18286	2367.166625	N
hsa-mir-200b	70409	9114.614179	N
hsa-mir-200c	19018	2461.925783	N
hsa-mir-202	5	0.647262	N
hsa-mir-203a	1349	174.631290	N
hsa-mir-203b	10	1.294524	N
hsa-mir-204	92066	11918.164852	N
hsa-mir-205	49	6.343168	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	50	6.472620	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	5895	763.121910	N
hsa-mir-20b	737	95.406420	N
hsa-mir-21	319687	41384.250070	N
hsa-mir-210	233	30.162410	N
hsa-mir-211	64	8.284954	N
hsa-mir-2110	164	21.230194	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	0.388357	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	22	2.847953	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	112	14.498669	N
hsa-mir-214	3941	510.171917	N
hsa-mir-215	52	6.731525	Y
hsa-mir-216a	41	5.307548	N
hsa-mir-216b	267	34.563791	N
hsa-mir-217	206	26.667195	N
hsa-mir-218-1	2142	277.287045	N
hsa-mir-218-2	1885	244.017778	N
hsa-mir-219a-1	7	0.906167	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	4	0.517810	N
hsa-mir-22	9366	1212.451198	N
hsa-mir-221	12937	1674.725726	N
hsa-mir-222	7241	937.364844	N
hsa-mir-223	2253	291.656262	N
hsa-mir-224	1008	130.488021	N
hsa-mir-2276	4	0.517810	N
hsa-mir-2277	19	2.459596	N
hsa-mir-2278	2	0.258905	N
hsa-mir-2355	81	10.485645	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	116022	15019.326596	Y
hsa-mir-23b	102162	13225.116303	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	15435	1998.097826	N
hsa-mir-24-2	15356	1987.871087	N
hsa-mir-2467	1	0.129452	N
hsa-mir-25	8659	1120.928350	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	401122	51926.206435	N
hsa-mir-26a-2	410116	53090.501339	N
hsa-mir-26b	139512	18060.163522	N
hsa-mir-27a	13401	1734.791641	Y
hsa-mir-27b	144780	18742.118776	Y
hsa-mir-28	8370	1083.516606	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	30	3.883572	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	54	6.990430	N
hsa-mir-29a	65311	8454.665834	N
hsa-mir-29b-1	824	106.668779	Y
hsa-mir-29b-2	1629	210.877963	Y
hsa-mir-29c	8447	1093.484441	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	56	7.249335	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	8	1.035619	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	13	1.682881	N
hsa-mir-3065	197	25.502123	N
hsa-mir-3074	29	3.754120	N
hsa-mir-30a	993896	128662.224637	Y
hsa-mir-30b	38109	4933.301592	Y
hsa-mir-30c-1	107169	13873.284481	Y
hsa-mir-30c-2	112847	14608.315220	Y
hsa-mir-30d	329730	42684.340544	N
hsa-mir-30e	29612	3833.344531	Y
hsa-mir-31	1789	231.590347	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	7	0.906167	N
hsa-mir-3116-2	2	0.258905	N
hsa-mir-3117	8	1.035619	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	2	0.258905	N
hsa-mir-3125	1	0.129452	N
hsa-mir-3126	2	0.258905	N
hsa-mir-3127	3	0.388357	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	3	0.388357	N
hsa-mir-3130-1	4	0.517810	N
hsa-mir-3130-2	4	0.517810	N
hsa-mir-3131	4	0.517810	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	1	0.129452	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	0.258905	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	4	0.517810	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	14	1.812334	N
hsa-mir-3145	6	0.776714	N
