miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	214659	20962.938317	N
hsa-let-7a-2	205939	20111.369913	Y
hsa-let-7a-3	207407	20254.730282	N
hsa-let-7b	115769	11305.644795	N
hsa-let-7c	48435	4730.013265	Y
hsa-let-7d	38381	3748.170520	N
hsa-let-7e	20612	2012.904582	N
hsa-let-7f-1	217246	21215.576788	N
hsa-let-7f-2	234981	22947.522390	N
hsa-let-7g	241397	23574.089234	N
hsa-let-7i	61361	5992.326705	N
hsa-mir-1-1	4148	405.080934	N
hsa-mir-1-2	4288	418.752903	N
hsa-mir-100	50247	4906.967617	Y
hsa-mir-101-1	17944	1752.355900	N
hsa-mir-101-2	19225	1877.454424	N
hsa-mir-103a-1	100715	9835.517414	Y
hsa-mir-103a-2	103359	10093.722330	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1283	125.293837	Y
hsa-mir-106b	7139	697.172803	N
hsa-mir-107	16293	1591.124313	Y
hsa-mir-10a	415924	40617.859753	N
hsa-mir-10b	589217	57541.121623	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.171883	N
hsa-mir-1180	1442	140.821289	N
hsa-mir-1181	4	0.390628	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.683598	N
hsa-mir-1185-2	1	0.097657	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.292971	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.292971	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	2.929708	N
hsa-mir-1227	3	0.292971	N
hsa-mir-1228	17	1.660168	N
hsa-mir-1229	18	1.757825	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.097657	N
hsa-mir-1236	3	0.292971	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.195314	N
hsa-mir-124-1	27	2.636737	N
hsa-mir-124-2	29	2.832051	N
hsa-mir-124-3	30	2.929708	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.292971	N
hsa-mir-1245b	1	0.097657	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	139	13.574313	N
hsa-mir-1248	15	1.464854	N
hsa-mir-1249	143	13.964941	N
hsa-mir-1250	2	0.195314	N
hsa-mir-1251	6	0.585942	N
hsa-mir-1252	2	0.195314	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.585942	N
hsa-mir-1254-2	9	0.878912	N
hsa-mir-1255a	11	1.074226	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.097657	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	360920	35246.338134	N
hsa-mir-125b-1	114296	11161.796141	N
hsa-mir-125b-2	114725	11203.690963	N
hsa-mir-126	74265	7252.491692	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	0.976569	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	0.976569	N
hsa-mir-1263	34	3.320336	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.585942	N
hsa-mir-1267	2	0.195314	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	109	10.644605	N
hsa-mir-1269b	14	1.367197	N
hsa-mir-127	978	95.508475	N
hsa-mir-1270	138	13.476656	N
hsa-mir-1271	1155	112.793751	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	8	0.781255	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
