miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	132177	16984.183971	N
hsa-let-7a-2	125170	16083.814186	Y
hsa-let-7a-3	125650	16145.492150	N
hsa-let-7b	83852	10774.626405	N
hsa-let-7c	29031	3730.360387	Y
hsa-let-7d	21415	2751.736684	N
hsa-let-7e	13882	1783.778130	N
hsa-let-7f-1	147156	18908.921949	N
hsa-let-7f-2	161304	20726.879951	N
hsa-let-7g	176016	22617.309561	N
hsa-let-7i	36620	4705.514704	N
hsa-mir-1-1	1519	195.185058	N
hsa-mir-1-2	1547	198.782940	N
hsa-mir-100	54942	7059.814005	Y
hsa-mir-101-1	17316	2225.032567	N
hsa-mir-101-2	18695	2402.228219	N
hsa-mir-103a-1	62431	8022.118746	Y
hsa-mir-103a-2	65195	8377.281025	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	654	84.036227	Y
hsa-mir-106b	4371	561.654964	N
hsa-mir-107	15053	1934.246664	Y
hsa-mir-10a	254354	32683.410349	N
hsa-mir-10b	644268	82785.705823	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.899470	N
hsa-mir-1180	923	118.601586	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.642479	N
hsa-mir-1185-2	12	1.541949	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.128496	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.770975	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	39	5.011335	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.541949	N
hsa-mir-1229	22	2.826907	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.642479	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.385487	N
hsa-mir-124-1	34	4.368856	N
hsa-mir-124-2	36	4.625847	N
hsa-mir-124-3	21	2.698411	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.256992	N
hsa-mir-1245b	1	0.128496	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	89	11.436123	N
hsa-mir-1248	30	3.854873	N
hsa-mir-1249	90	11.564618	N
hsa-mir-1250	4	0.513983	N
hsa-mir-1251	24	3.083898	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.770975	N
hsa-mir-1254-2	6	0.770975	N
hsa-mir-1255a	12	1.541949	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.513983	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	195362	25103.188519	N
hsa-mir-125b-1	59640	7663.487082	N
hsa-mir-125b-2	59988	7708.203606	N
hsa-mir-126	42116	5411.727397	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	2.312924	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	25	3.212394	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.385487	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	43	5.525318	N
hsa-mir-1269b	16	2.055932	N
hsa-mir-127	1383	177.709635	N
hsa-mir-1270	74	9.508686	N
hsa-mir-1271	414	53.197244	N
hsa-mir-1272	2	0.256992	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.128496	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	8	1.027966	N
hsa-mir-1276	1	0.128496	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	3	0.385487	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4910	630.914178	N
hsa-mir-128-2	2810	361.073084	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.385487	N
hsa-mir-1285-1	5	0.642479	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	26	3.340890	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	96	12.335593	N
hsa-mir-129-2	77	9.894173	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	18	2.312924	N
hsa-mir-1292	32	4.111864	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.513983	N
hsa-mir-1295a	30	3.854873	N
hsa-mir-1295b	6	0.770975	N
hsa-mir-1296	292	37.520762	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	720	92.516947	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.513983	N
hsa-mir-1304	10	1.284958	N
hsa-mir-1305	1	0.128496	N
hsa-mir-1306	105	13.492055	N
hsa-mir-1307	1950	250.566731	N
hsa-mir-130a	776	99.712709	N
hsa-mir-130b	389	49.984850	N
hsa-mir-132	2770	355.933253	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	233	29.939512	Y
hsa-mir-133a-2	238	30.581991	Y
hsa-mir-133b	4	0.513983	Y
hsa-mir-134	101	12.978072	N
hsa-mir-1343	19	2.441419	N
hsa-mir-135a-1	6059	778.555805	N
hsa-mir-135a-2	7358	945.471797	N
hsa-mir-135b	1309	168.200949	N
hsa-mir-136	140	17.989406	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1123	144.300738	N
hsa-mir-138-2	393	50.498833	N
hsa-mir-139	5186	666.379007	N
hsa-mir-140	50056	6431.983725	N
hsa-mir-141	129	16.575953	N
hsa-mir-142	1437	184.648406	N
hsa-mir-143	226766	29138.469343	N
hsa-mir-144	195	25.056673	N
hsa-mir-145	42315	5437.298053	N
hsa-mir-1468	170	21.844279	N
