miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	253719	33302.540307	N
hsa-let-7a-2	243951	32020.416328	Y
hsa-let-7a-3	244892	32143.929705	N
hsa-let-7b	83728	10989.934119	N
hsa-let-7c	32604	4279.521928	Y
hsa-let-7d	39997	5249.909170	N
hsa-let-7e	14661	1924.367286	N
hsa-let-7f-1	200971	26378.965816	N
hsa-let-7f-2	214737	28185.857574	N
hsa-let-7g	212481	27889.740488	N
hsa-let-7i	66945	8787.038262	N
hsa-mir-1-1	6847	898.720606	N
hsa-mir-1-2	7234	949.517287	N
hsa-mir-100	84385	11076.170345	Y
hsa-mir-101-1	15661	2055.624860	N
hsa-mir-101-2	16894	2217.465448	N
hsa-mir-103a-1	59822	7852.090566	Y
hsa-mir-103a-2	62453	8197.429242	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	230	30.189242	Y
hsa-mir-106b	6649	872.731607	N
hsa-mir-107	6416	842.148592	Y
hsa-mir-10a	87580	11495.538293	N
hsa-mir-10b	11017	1446.064688	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.575091	N
hsa-mir-1180	425	55.784469	N
hsa-mir-1181	1	0.131258	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.050061	N
hsa-mir-1185-2	8	1.050061	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.262515	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.131258	N
hsa-mir-1226	17	2.231379	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	2.100121	N
hsa-mir-1229	5	0.656288	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.131258	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.393773	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.443833	N
hsa-mir-1245b	3	0.393773	N
hsa-mir-1246	1	0.131258	N
hsa-mir-1247	226	29.664212	N
hsa-mir-1248	7	0.918803	N
hsa-mir-1249	76	9.975576	N
hsa-mir-1250	13	1.706348	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.918803	N
hsa-mir-1254-2	7	0.918803	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.262515	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.918803	N
hsa-mir-125a	117104	15370.786894	N
hsa-mir-125b-1	58739	7709.938613	N
hsa-mir-125b-2	58868	7726.870840	N
hsa-mir-126	102920	13509.029471	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.181318	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.787545	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.262515	N
hsa-mir-1267	2	0.262515	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.262515	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1263	165.778315	N
hsa-mir-1270	29	3.806470	N
hsa-mir-1271	354	46.465181	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.131258	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.131258	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	10	1.312576	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2401	315.149434	N
hsa-mir-128-2	1603	210.405890	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.656288	N
hsa-mir-1283-2	12	1.575091	N
hsa-mir-1284	9	1.181318	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	5	0.656288	N
hsa-mir-1287	57	7.481682	N
hsa-mir-1288	4	0.525030	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.525030	N
hsa-mir-129-2	5	0.656288	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	12	1.575091	N
hsa-mir-1292	18	2.362636	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	9	1.181318	N
hsa-mir-1295a	25	3.281439	N
hsa-mir-1295b	1	0.131258	N
hsa-mir-1296	148	19.426121	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	19	2.493894	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	675	88.598862	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.393773	N
