miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	130274	21502.919979	N
hsa-let-7a-2	127716	21080.698590	Y
hsa-let-7a-3	127736	21083.999774	N
hsa-let-7b	56444	9316.600514	N
hsa-let-7c	26240	4331.152957	Y
hsa-let-7d	16948	2797.423030	N
hsa-let-7e	9943	1641.183455	N
hsa-let-7f-1	126248	20838.391710	N
hsa-let-7f-2	135334	22338.119444	N
hsa-let-7g	143568	23697.216756	N
hsa-let-7i	43063	7107.943589	N
hsa-mir-1-1	2697	445.164616	N
hsa-mir-1-2	2931	483.788465	N
hsa-mir-100	41046	6775.019217	Y
hsa-mir-101-1	14422	2380.483534	N
hsa-mir-101-2	15702	2591.759288	N
hsa-mir-103a-1	34029	5616.798931	Y
hsa-mir-103a-2	35485	5857.125101	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	505	83.354887	Y
hsa-mir-106b	5154	850.715028	N
hsa-mir-107	4365	720.483333	Y
hsa-mir-10a	191146	31550.402555	N
hsa-mir-10b	370603	61171.428321	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.660237	N
hsa-mir-1180	365	60.246602	N
hsa-mir-1181	1	0.165059	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.330118	N
hsa-mir-1185-2	3	0.495178	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.165059	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.165059	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.495178	N
hsa-mir-1226	6	0.990355	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.495178	N
hsa-mir-1229	8	1.320473	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.165059	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.165059	N
hsa-mir-1238	1	0.165059	N
hsa-mir-124-1	5	0.825296	N
hsa-mir-124-2	3	0.495178	N
hsa-mir-124-3	6	0.990355	N
hsa-mir-1243	2	0.330118	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.165059	N
hsa-mir-1245b	2	0.330118	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	49	8.087900	N
hsa-mir-1248	113	18.651688	N
hsa-mir-1249	71	11.719202	N
hsa-mir-1250	10	1.650592	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.660237	N
hsa-mir-1254-2	7	1.155414	N
hsa-mir-1255a	6	0.990355	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.165059	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	117149	19336.518205	N
hsa-mir-125b-1	47763	7883.721748	N
hsa-mir-125b-2	48848	8062.810961	N
hsa-mir-126	35314	5828.899981	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.495178	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	3.136124	N
hsa-mir-1263	1	0.165059	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	1.815651	N
hsa-mir-1269b	2	0.330118	N
hsa-mir-127	924	152.514685	N
hsa-mir-1270	133	21.952871	N
hsa-mir-1271	452	74.606751	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.165059	N
hsa-mir-1275	3	0.495178	N
hsa-mir-1276	7	1.155414	N
hsa-mir-1277	4	0.660237	N
hsa-mir-1278	8	1.320473	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1919	316.748572	N
hsa-mir-128-2	1196	197.410783	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.330118	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.330118	N
hsa-mir-1287	30	4.951775	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	34	5.612012	N
hsa-mir-129-2	50	8.252959	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	31	5.116835	N
hsa-mir-1292	14	2.310829	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	1.155414	N
hsa-mir-1295a	15	2.475888	N
hsa-mir-1295b	7	1.155414	N
hsa-mir-1296	417	68.829679	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.165059	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	289	47.702104	N
hsa-mir-1302-1	0	0.000000	N
