miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	143117	17543.162883	N
hsa-let-7a-2	138581	16987.143774	Y
hsa-let-7a-3	139867	17144.780585	N
hsa-let-7b	92135	11293.831706	N
hsa-let-7c	35578	4361.121663	Y
hsa-let-7d	20605	2525.743771	N
hsa-let-7e	12145	1488.724004	N
hsa-let-7f-1	166459	20404.405839	N
hsa-let-7f-2	179132	21957.851643	N
hsa-let-7g	189349	23210.243010	N
hsa-let-7i	38033	4662.053522	N
hsa-mir-1-1	3115	381.834110	N
hsa-mir-1-2	3213	393.846869	N
hsa-mir-100	61089	7488.238835	Y
hsa-mir-101-1	19600	2402.551706	N
hsa-mir-101-2	20736	2541.801642	N
hsa-mir-103a-1	54329	6659.603655	Y
hsa-mir-103a-2	56655	6944.722801	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.122579	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	826	101.250393	Y
hsa-mir-106b	5413	663.521040	N
hsa-mir-107	12569	1540.697571	Y
hsa-mir-10a	244298	29945.845749	N
hsa-mir-10b	629265	77134.780577	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.858054	N
hsa-mir-1180	772	94.631118	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.858054	N
hsa-mir-1185-2	7	0.858054	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.490317	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.612896	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	4.535429	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.348371	N
hsa-mir-1229	6	0.735475	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.612896	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	95	11.645021	N
hsa-mir-124-2	86	10.541809	N
hsa-mir-124-3	103	12.625654	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.245158	N
hsa-mir-1245b	3	0.367738	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	101	12.380496	N
hsa-mir-1248	34	4.167692	N
hsa-mir-1249	102	12.503075	N
hsa-mir-1250	3	0.367738	N
hsa-mir-1251	8	0.980633	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.470950	N
hsa-mir-1254-2	4	0.490317	N
hsa-mir-1255a	26	3.187058	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.122579	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	202249	24791.514285	N
hsa-mir-125b-1	87519	10728.006263	N
hsa-mir-125b-2	88172	10808.050460	N
hsa-mir-126	53621	6572.817604	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	2.451583	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.980633	N
hsa-mir-1263	50	6.128958	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.122579	N
hsa-mir-1267	3	0.367738	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12	1.470950	N
hsa-mir-1269b	29	3.554796	N
hsa-mir-127	2218	271.880596	N
hsa-mir-1270	67	8.212804	N
hsa-mir-1271	552	67.663701	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.367738	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.122579	N
hsa-mir-1276	13	1.593529	N
hsa-mir-1277	7	0.858054	N
hsa-mir-1278	2	0.245158	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3744	458.936408	N
hsa-mir-128-2	2297	281.564350	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.858054	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
