miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	251580	13537.521502	N
hsa-let-7a-2	241613	13001.197165	Y
hsa-let-7a-3	241244	12981.341273	N
hsa-let-7b	94338	5076.328418	N
hsa-let-7c	23973	1289.987292	Y
hsa-let-7d	50926	2740.328405	N
hsa-let-7e	23669	1273.629050	N
hsa-let-7f-1	268677	14457.511188	N
hsa-let-7f-2	287267	15457.839214	N
hsa-let-7g	363797	19575.919032	N
hsa-let-7i	73507	3955.412167	N
hsa-mir-1-1	73718	3966.766079	N
hsa-mir-1-2	77423	4166.132154	N
hsa-mir-100	72880	3921.673293	Y
hsa-mir-101-1	31411	1690.226123	N
hsa-mir-101-2	33363	1795.263256	N
hsa-mir-103a-1	123060	6621.859433	Y
hsa-mir-103a-2	128410	6909.742969	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.215240	N
hsa-mir-105-2	2	0.107620	N
hsa-mir-106a	1280	68.876809	Y
hsa-mir-106b	15560	837.283705	N
hsa-mir-107	16239	873.820700	Y
hsa-mir-10a	505532	27202.680341	N
hsa-mir-10b	102229	5500.943182	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	35	1.883350	N
hsa-mir-1180	778	41.864185	N
hsa-mir-1181	8	0.430480	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.538100	N
hsa-mir-1185-2	3	0.161430	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.107620	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	38	2.044780	N
hsa-mir-1224	26	1.399060	N
hsa-mir-1225	1	0.053810	N
hsa-mir-1226	29	1.560490	N
hsa-mir-1227	4	0.215240	N
hsa-mir-1228	4	0.215240	N
hsa-mir-1229	4	0.215240	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	13	0.699530	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	71	3.820510	N
hsa-mir-124-2	58	3.120980	N
hsa-mir-124-3	67	3.605270	N
hsa-mir-1243	6	0.322860	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.161430	N
hsa-mir-1245b	5	0.269050	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	324	17.434442	N
hsa-mir-1248	22	1.183820	N
hsa-mir-1249	200	10.762001	N
hsa-mir-1250	30	1.614300	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	4	0.215240	N
hsa-mir-1253	3	0.161430	N
hsa-mir-1254-1	15	0.807150	N
hsa-mir-1254-2	18	0.968580	N
hsa-mir-1255a	38	2.044780	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	6	0.322860	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.161430	N
hsa-mir-125a	260209	14001.848051	N
hsa-mir-125b-1	85694	4611.194720	N
hsa-mir-125b-2	86532	4656.287506	N
hsa-mir-126	71566	3850.966944	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	17	0.914770	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	65	3.497650	N
hsa-mir-1263	3	0.161430	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	9	0.484290	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2759	148.461809	N
hsa-mir-1270	11	0.591910	N
hsa-mir-1271	798	42.940385	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.053810	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.107620	N
hsa-mir-1275	6	0.322860	N
hsa-mir-1276	4	0.215240	N
hsa-mir-1277	3	0.161430	N
hsa-mir-1278	9	0.484290	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5704	306.932279	N
hsa-mir-128-2	3954	212.764767	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.376670	N
hsa-mir-1285-1	1	0.053810	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	37	1.990970	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	470	25.290703	N
hsa-mir-129-2	758	40.787985	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	65	3.497650	N
hsa-mir-1292	68	3.659080	N
hsa-mir-1293	5	0.269050	N
hsa-mir-1294	24	1.291440	N
hsa-mir-1295a	57	3.067170	N
hsa-mir-1295b	1	0.053810	N
hsa-mir-1296	342	18.403022	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1013	54.509537	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	11	0.591910	N
hsa-mir-1304	39	2.098590	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	187	10.062471	N
hsa-mir-1307	2691	144.802728	N
hsa-mir-130a	974	52.410947	N
hsa-mir-130b	2395	128.874966	N
hsa-mir-132	5143	276.744865	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	3	0.161430	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10762	579.103293	Y
hsa-mir-133a-2	10813	581.847603	Y
hsa-mir-133b	401	21.577813	Y
hsa-mir-134	132	7.102921	N
hsa-mir-1343	36	1.937160	N
hsa-mir-135a-1	377	20.286373	N
hsa-mir-135a-2	389	20.932093	N
hsa-mir-135b	1881	101.216623	N
hsa-mir-136	241	12.968212	N
hsa-mir-137	440	23.676403	N
hsa-mir-138-1	265	14.259652	N
hsa-mir-138-2	106	5.703861	N
hsa-mir-139	13057	702.597258	N
hsa-mir-140	75016	4036.611468	N
hsa-mir-141	3205	172.461072	N
hsa-mir-142	10136	545.418229	N
hsa-mir-143	3554541	191269.875264	N
hsa-mir-144	2923	157.286650	N
hsa-mir-145	555506	29891.781619	N
hsa-mir-1468	133	7.156731	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	19929	1072.379625	N
hsa-mir-146b	117741	6335.644007	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	100	5.381001	N
hsa-mir-148a	122361	6584.246238	N
hsa-mir-148b	4414	237.517370	N
hsa-mir-149	942	50.689026	N
hsa-mir-150	25796	1388.082935	N
hsa-mir-151a	42869	2306.781180	N
hsa-mir-151b	287	15.443472	N
hsa-mir-152	3822	205.661846	N
hsa-mir-153-1	19	1.022390	N
hsa-mir-153-2	14	0.753340	N
hsa-mir-1537	4	0.215240	N
hsa-mir-1538	3	0.161430	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	160	8.609601	N
hsa-mir-155	16691	898.142823	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1938	104.283793	N
hsa-mir-15b	24764	1332.551008	N
