miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	383981	18216.306669	N
hsa-let-7a-2	366660	17394.587241	Y
hsa-let-7a-3	367147	17417.690835	N
hsa-let-7b	138922	6590.549415	N
hsa-let-7c	80134	3801.608722	Y
hsa-let-7d	62715	2975.240110	N
hsa-let-7e	41751	1980.694409	N
hsa-let-7f-1	333754	15833.505345	N
hsa-let-7f-2	358473	17006.190672	N
hsa-let-7g	377399	17904.052337	N
hsa-let-7i	220119	10442.587544	N
hsa-mir-1-1	2953	140.092227	N
hsa-mir-1-2	3179	150.813813	N
hsa-mir-100	176105	8354.534953	Y
hsa-mir-101-1	36340	1723.993073	N
hsa-mir-101-2	38259	1815.031673	N
hsa-mir-103a-1	131717	6248.739561	Y
hsa-mir-103a-2	137620	6528.781694	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	3	0.142322	N
hsa-mir-106a	556	26.376999	Y
hsa-mir-106b	13657	647.896902	N
hsa-mir-107	16494	782.486014	Y
hsa-mir-10a	310219	14716.989743	N
hsa-mir-10b	93506	4435.985039	N
hsa-mir-1178	1	0.047441	N
hsa-mir-1179	222	10.531823	N
hsa-mir-1180	1139	54.034896	N
hsa-mir-1181	3	0.142322	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	40	1.897626	N
hsa-mir-1185-2	35	1.660423	N
hsa-mir-1193	1	0.047441	N
hsa-mir-1197	38	1.802745	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	103	4.886387	N
hsa-mir-1224	125	5.930081	N
hsa-mir-1225	8	0.379525	N
hsa-mir-1226	38	1.802745	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	60	2.846439	N
hsa-mir-1229	11	0.521847	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.094881	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	24	1.138576	N
hsa-mir-124-2	32	1.518101	N
hsa-mir-124-3	27	1.280897	N
hsa-mir-1243	4	0.189763	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	50	2.372032	N
hsa-mir-1245b	5	0.237203	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1922	91.180921	N
hsa-mir-1248	49	2.324592	N
hsa-mir-1249	169	8.017469	N
hsa-mir-1250	46	2.182270	N
hsa-mir-1251	2	0.094881	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	20	0.948813	N
hsa-mir-1254-2	9	0.426966	N
hsa-mir-1255a	45	2.134829	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.142322	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	20	0.948813	N
hsa-mir-125a	195257	9263.118204	N
hsa-mir-125b-1	152685	7243.475025	N
hsa-mir-125b-2	152015	7211.689793	N
hsa-mir-126	50522	2396.796314	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	38	1.802745	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	30	1.423219	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.142322	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	15932	755.824371	N
hsa-mir-1270	117	5.550556	N
hsa-mir-1271	1321	62.669093	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.142322	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.047441	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	17	0.806491	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	7698	365.198092	N
hsa-mir-128-2	5429	257.555267	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	23	1.091135	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.094881	N
hsa-mir-1287	143	6.784012	N
hsa-mir-1288	6	0.284644	N
hsa-mir-1289-1	2	0.094881	N
hsa-mir-1289-2	1	0.047441	N
hsa-mir-129-1	1953	92.651582	N
hsa-mir-129-2	2652	125.812593	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	46	2.182270	N
hsa-mir-1292	81	3.842692	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	36	1.707863	N
hsa-mir-1295a	57	2.704117	N
hsa-mir-1295b	1	0.047441	N
hsa-mir-1296	782	37.098585	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2019	95.782664	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	10	0.474406	N
hsa-mir-1304	81	3.842692	N
hsa-mir-1305	1	0.047441	N
hsa-mir-1306	128	6.072403	N
hsa-mir-1307	2236	106.077284	N
hsa-mir-130a	987	46.823918	N
hsa-mir-130b	2042	96.873799	N
hsa-mir-132	10798	512.264095	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	5	0.237203	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	493	23.388238	Y
hsa-mir-133a-2	491	23.293357	Y
hsa-mir-133b	15	0.711610	Y
hsa-mir-134	1027	48.721543	N
hsa-mir-1343	27	1.280897	N
hsa-mir-135a-1	1343	63.712787	N
hsa-mir-135a-2	1450	68.788937	N
hsa-mir-135b	6032	286.161976	N
hsa-mir-136	1591	75.478068	N
hsa-mir-137	121	5.740318	N
hsa-mir-138-1	79	3.747811	N
hsa-mir-138-2	34	1.612982	N
hsa-mir-139	2137	101.380660	N
hsa-mir-140	73064	3466.203355	N
hsa-mir-141	977	46.349511	N
hsa-mir-142	16971	805.115202	N
hsa-mir-143	848040	40231.565383	N
hsa-mir-144	1744	82.736487	N
hsa-mir-145	100654	4775.090776	N
hsa-mir-1468	323	15.323329	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	39587	1878.032851	N
hsa-mir-146b	368050	17460.529738	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
