miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	141924	13020.069075	N
hsa-let-7a-2	138738	12727.786303	Y
hsa-let-7a-3	139765	12822.003003	N
hsa-let-7b	92785	8512.070609	N
hsa-let-7c	35055	3215.936145	Y
hsa-let-7d	20543	1884.609220	N
hsa-let-7e	10331	947.763124	N
hsa-let-7f-1	188027	17249.545728	N
hsa-let-7f-2	201441	18480.142431	N
hsa-let-7g	223952	20545.295435	N
hsa-let-7i	31731	2910.993291	N
hsa-mir-1-1	3723	341.547005	N
hsa-mir-1-2	3984	365.491074	N
hsa-mir-100	54374	4988.255939	Y
hsa-mir-101-1	34256	3142.636103	N
hsa-mir-101-2	36513	3349.692667	N
hsa-mir-103a-1	66330	6085.096120	Y
hsa-mir-103a-2	70501	6467.742523	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1309	120.087303	Y
hsa-mir-106b	7666	703.276750	N
hsa-mir-107	36610	3358.591421	Y
hsa-mir-10a	414773	38051.161962	N
hsa-mir-10b	850575	78031.518651	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.192616	N
hsa-mir-1180	1163	106.693303	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.183479	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	33	3.027411	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.366959	N
hsa-mir-1226	49	4.495247	N
hsa-mir-1227	2	0.183479	N
hsa-mir-1228	7	0.642178	N
hsa-mir-1229	16	1.467836	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.183479	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.275219	N
hsa-mir-124-1	70	6.421781	N
hsa-mir-124-2	69	6.330041	N
hsa-mir-124-3	75	6.880480	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
