miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	282789	28613.630838	N
hsa-let-7a-2	271008	27421.585939	Y
hsa-let-7a-3	270479	27368.059774	N
hsa-let-7b	104050	10528.161593	N
hsa-let-7c	22573	2284.019141	Y
hsa-let-7d	55747	5640.686442	N
hsa-let-7e	12501	1264.897146	N
hsa-let-7f-1	278651	28194.932782	N
hsa-let-7f-2	296958	30047.302357	N
hsa-let-7g	291235	29468.228174	N
hsa-let-7i	79735	8067.880486	N
hsa-mir-1-1	6195	626.832879	N
hsa-mir-1-2	6344	641.909247	N
hsa-mir-100	59208	5990.883148	Y
hsa-mir-101-1	23814	2409.588084	N
hsa-mir-101-2	26301	2661.231889	N
hsa-mir-103a-1	77894	7881.601337	Y
hsa-mir-103a-2	82363	8333.791189	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1051	106.344045	Y
hsa-mir-106b	18535	1875.439453	N
hsa-mir-107	15148	1532.730339	Y
hsa-mir-10a	98305	9946.861368	N
hsa-mir-10b	6960	704.238392	N
hsa-mir-1178	2	0.202367	N
hsa-mir-1179	2	0.202367	N
hsa-mir-1180	328	33.188246	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.101184	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.505918	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	1.618939	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	26	2.630776	N
hsa-mir-1229	12	1.214204	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	4	0.404735	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
