miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	135251	14804.168298	N
hsa-let-7a-2	131439	14386.918225	Y
hsa-let-7a-3	131168	14357.255379	N
hsa-let-7b	112617	12326.718628	N
hsa-let-7c	34982	3829.024668	Y
hsa-let-7d	22341	2445.378769	N
hsa-let-7e	12285	1344.679208	N
hsa-let-7f-1	168939	18491.555612	N
hsa-let-7f-2	181554	19872.355628	N
hsa-let-7g	187046	20473.493456	N
hsa-let-7i	39760	4352.010200	N
hsa-mir-1-1	4851	530.975892	N
hsa-mir-1-2	5216	570.927696	N
hsa-mir-100	66029	7227.336053	Y
hsa-mir-101-1	30373	3324.537369	N
hsa-mir-101-2	32236	3528.455754	N
hsa-mir-103a-1	62433	6833.728692	Y
hsa-mir-103a-2	65198	7136.377289	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1193	130.582197	Y
hsa-mir-106b	6704	733.799708	N
hsa-mir-107	11596	1269.263337	Y
hsa-mir-10a	226208	24760.048371	N
hsa-mir-10b	521958	57131.955226	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.656742	N
hsa-mir-1180	986	107.924599	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.875656	N
hsa-mir-1185-2	9	0.985113	N
hsa-mir-1193	1	0.109457	N
hsa-mir-1197	2	0.218914	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.218914	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	51	5.582307	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.875656	N
hsa-mir-1229	22	2.408054	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.328371	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.109457	N
