miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	243547	20338.840658	N
hsa-let-7a-2	230541	19252.697278	Y
hsa-let-7a-3	231505	19333.201831	N
hsa-let-7b	121340	10133.218333	N
hsa-let-7c	40254	3361.649669	Y
hsa-let-7d	37355	3119.551433	N
hsa-let-7e	18963	1583.618092	N
hsa-let-7f-1	271033	22634.222552	N
hsa-let-7f-2	294603	24602.575578	N
hsa-let-7g	310038	25891.567048	N
hsa-let-7i	48660	4063.642691	N
hsa-mir-1-1	3703	309.241037	N
hsa-mir-1-2	4002	334.210811	N
hsa-mir-100	90259	7537.614583	Y
hsa-mir-101-1	20774	1734.856417	N
hsa-mir-101-2	22765	1901.126713	N
hsa-mir-103a-1	78318	6540.410363	Y
hsa-mir-103a-2	81601	6814.576802	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1117	93.281728	Y
hsa-mir-106b	7884	658.400308	N
hsa-mir-107	20781	1735.440994	Y
hsa-mir-10a	584444	48807.472025	N
hsa-mir-10b	1305868	109054.273598	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	0.918620	N
hsa-mir-1180	1235	103.136020	N
hsa-mir-1181	6	0.501066	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.083511	N
hsa-mir-1185-2	5	0.417555	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	58	4.843635	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	62	5.177679	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.417555	N
hsa-mir-1229	24	2.004263	N
hsa-mir-1231	2	0.167022	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.334044	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.250533	N
hsa-mir-124-1	95	7.933540	N
hsa-mir-124-2	99	8.267584	N
hsa-mir-124-3	80	6.680876	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.250533	N
hsa-mir-1245b	3	0.250533	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	70	5.845766	N
hsa-mir-1248	56	4.676613	N
hsa-mir-1249	140	11.691533	N
hsa-mir-1250	3	0.250533	N
hsa-mir-1251	17	1.419686	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	0.835109	N
hsa-mir-1254-2	8	0.668088	N
hsa-mir-1255a	14	1.169153	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	475374	39698.933014	N
hsa-mir-125b-1	119775	10002.523701	N
hsa-mir-125b-2	119739	9999.517307	N
hsa-mir-126	86075	7188.204780	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	41	3.423949	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	0.835109	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	168	14.029839	N
hsa-mir-1269b	32	2.672350	N
hsa-mir-127	1354	113.073823	N
hsa-mir-1270	195	16.284635	N
hsa-mir-1271	998	83.343925	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.083511	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.083511	N
hsa-mir-1276	9	0.751599	N
hsa-mir-1277	4	0.334044	N
hsa-mir-1278	15	1.252664	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	7778	649.548147	N
hsa-mir-128-2	4503	376.049795	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	16	1.336175	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	38	3.173416	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	389	32.485758	N
hsa-mir-129-2	284	23.717109	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	25	2.087774	N
hsa-mir-1292	28	2.338307	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	8	0.668088	N
hsa-mir-1295a	17	1.419686	N
hsa-mir-1295b	3	0.250533	N
hsa-mir-1296	655	54.699670	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.083511	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1045	87.268940	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	22	1.837241	N
hsa-mir-1304	6	0.501066	N
hsa-mir-1305	1	0.083511	N
hsa-mir-1306	188	15.700058	N
hsa-mir-1307	1602	133.784537	N
hsa-mir-130a	1084	90.525867	N
hsa-mir-130b	560	46.766130	N
hsa-mir-132	1728	144.306917	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	678	56.620422	Y
hsa-mir-133a-2	647	54.031583	Y
hsa-mir-133b	9	0.751599	Y
hsa-mir-134	85	7.098431	N
hsa-mir-1343	28	2.338307	N
hsa-mir-135a-1	9602	801.872115	N
hsa-mir-135a-2	10905	910.686879	N
hsa-mir-135b	1790	149.484595	N
hsa-mir-136	92	7.683007	N
hsa-mir-137	13	1.085642	N
hsa-mir-138-1	793	66.224181	N
hsa-mir-138-2	298	24.886262	N
hsa-mir-139	7152	597.270294	N
hsa-mir-140	38765	3237.301868	N
hsa-mir-141	271	22.631467	N
hsa-mir-142	872	72.821546	N
hsa-mir-143	248348	20739.776715	N
hsa-mir-144	1568	130.945165	N
hsa-mir-145	49034	4094.875785	N
hsa-mir-1468	293	24.468708	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	4452	371.790737	N
hsa-mir-146b	13953	1165.228246	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.417555	N
hsa-mir-148a	17231	1438.977131	N
hsa-mir-148b	3071	256.462119	N
hsa-mir-149	931	77.748692	N
hsa-mir-150	2136	178.379383	N
hsa-mir-151a	31973	2670.095515	N
hsa-mir-151b	195	16.284635	N
hsa-mir-152	3385	282.684556	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	3	0.250533	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	8	0.668088	N
hsa-mir-1539	1	0.083511	N
hsa-mir-154	96	8.017051	N
hsa-mir-155	1411	117.833946	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	900	75.159852	N
hsa-mir-15b	10403	868.764384	N
hsa-mir-16-1	16866	1408.495635	N
hsa-mir-16-2	18726	1563.825997	N
hsa-mir-17	3076	256.879674	Y
hsa-mir-181a-1	22716	1897.034677	N
hsa-mir-181a-2	23645	1974.616347	N
hsa-mir-181b-1	4539	379.056189	N
hsa-mir-181b-2	5788	483.361362	N
hsa-mir-181c	326	27.224569	N
hsa-mir-181d	189	15.783569	N
hsa-mir-182	8007	668.672154	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	4977	415.633984	N
hsa-mir-184	158	13.194730	N
hsa-mir-185	3228	269.573338	N
hsa-mir-186	7477	624.411352	N
hsa-mir-187	153	12.777175	N
hsa-mir-188	196	16.368146	N
hsa-mir-18a	160	13.361752	N
hsa-mir-18b	22	1.837241	N
hsa-mir-1908	1	0.083511	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	2890	241.346637	N
hsa-mir-190b	13	1.085642	N
hsa-mir-191	102625	8570.310956	N
hsa-mir-1910	3	0.250533	N
hsa-mir-1911	6	0.501066	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	73707	6155.341385	Y
hsa-mir-193a	1934	161.510172	N
hsa-mir-193b	1230	102.718465	N
hsa-mir-194-1	8600	718.194146	N
hsa-mir-194-2	39849	3327.827735	N
hsa-mir-195	13064	1090.987014	N
hsa-mir-196a-1	4245	354.503971	N
hsa-mir-196a-2	10509	877.616544	N
hsa-mir-196b	3763	314.251694	N
hsa-mir-197	3181	265.648323	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	16	1.336175	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	32268	2694.731244	Y
hsa-mir-199a-2	59560	4973.912015	Y
hsa-mir-199b	81986	6846.728517	Y
hsa-mir-19a	266	22.213912	N
hsa-mir-19b-1	1576	131.613253	N
hsa-mir-19b-2	1607	134.202092	N
hsa-mir-200a	31770	2653.142793	N
hsa-mir-200b	159592	13327.679085	N
hsa-mir-200c	27901	2330.038938	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	3212	268.237162	N
hsa-mir-203b	36	3.006394	N
hsa-mir-204	219748	18351.363625	N
hsa-mir-205	66	5.511723	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	71	5.929277	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	9408	785.670991	N
hsa-mir-20b	1220	101.883356	N
hsa-mir-21	372636	31119.185321	N
