miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	322907	29782.495651	N
hsa-let-7a-2	311692	28748.109005	Y
hsa-let-7a-3	313258	28892.544982	N
hsa-let-7b	83653	7715.519046	N
hsa-let-7c	24518	2261.354595	Y
hsa-let-7d	59771	5512.824273	N
hsa-let-7e	19975	1842.342689	N
hsa-let-7f-1	329716	30410.506232	N
hsa-let-7f-2	349531	32238.091733	N
hsa-let-7g	366852	33835.649566	N
hsa-let-7i	84705	7812.547557	N
hsa-mir-1-1	8851	816.349193	N
hsa-mir-1-2	9488	875.101248	N
hsa-mir-100	66408	6124.970878	Y
hsa-mir-101-1	29085	2682.580080	N
hsa-mir-101-2	31031	2862.064379	N
hsa-mir-103a-1	85371	7873.974352	Y
hsa-mir-103a-2	89577	8261.903932	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	401	36.985202	Y
hsa-mir-106b	11573	1067.405854	N
hsa-mir-107	11529	1063.347628	Y
hsa-mir-10a	78041	7197.910677	N
hsa-mir-10b	4419	407.575086	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.184465	N
hsa-mir-1180	783	72.217989	N
hsa-mir-1181	1	0.092232	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.830092	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.368930	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	13	1.199022	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.291254	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.461162	N
hsa-mir-1229	3	0.276697	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.184465	N
hsa-mir-1236	4	0.368930	N
hsa-mir-1237	1	0.092232	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.092232	N
hsa-mir-124-3	1	0.092232	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.092232	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	292	26.931868	N
hsa-mir-1248	29	2.674740	N
hsa-mir-1249	123	11.344588	N
hsa-mir-1250	24	2.213578	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.199022	N
hsa-mir-1254-2	3	0.276697	N
hsa-mir-1255a	38	3.504832	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.092232	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.553395	N
hsa-mir-125a	157448	14521.810847	N
hsa-mir-125b-1	38719	3571.147263	N
hsa-mir-125b-2	38547	3555.283285	N
hsa-mir-126	181291	16720.908556	N
hsa-mir-1260a	1	0.092232	N
hsa-mir-1260b	10	0.922324	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.383486	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.276697	N
