miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	292747	36946.052783	N
hsa-let-7a-2	282876	35700.286005	Y
hsa-let-7a-3	283070	35724.769721	N
hsa-let-7b	131929	16650.062333	N
hsa-let-7c	240002	30289.384896	Y
hsa-let-7d	37952	4789.721484	N
hsa-let-7e	20022	2526.870878	N
hsa-let-7f-1	164859	20805.983719	N
hsa-let-7f-2	175348	22129.745013	N
hsa-let-7g	233119	29420.717817	Y
hsa-let-7i	61632	7778.249223	Y
hsa-mir-1-1	12007	1515.340057	N
hsa-mir-1-2	12535	1581.976149	N
hsa-mir-100	130708	16495.966371	Y
hsa-mir-101-1	10324	1302.937516	N
hsa-mir-101-2	11762	1484.419901	N
hsa-mir-103a-1	33773	4262.311964	Y
hsa-mir-103a-2	34980	4414.641060	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	0.757228	N
hsa-mir-105-2	2	0.252409	N
hsa-mir-106a	215	27.134015	Y
hsa-mir-106b	4572	577.007974	N
hsa-mir-107	4245	535.739031	Y
hsa-mir-10a	34296	4328.317032	N
hsa-mir-10b	112578	14207.874821	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.883433	N
hsa-mir-1180	375	47.326770	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.893071	N
hsa-mir-1185-2	12	1.514457	N
hsa-mir-1193	1	0.126205	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	114	14.387338	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	2.145480	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.504819	N
hsa-mir-1229	1	0.126205	N
